Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.941719
1,0.297466,0.297466,3.398209,0.837857
2,0.296318,0.296318,4.141530,0.733995
3,0.296318,0.296318,4.847048,0.630133
4,0.296318,0.296318,5.374045,0.616305
5,0.243141,0.243141,5.432057,0.616305
6,0.265568,0.265568,5.411461,0.616305
7,0.232347,0.232347,5.413951,0.616305
8,0.236568,0.236568,5.351824,0.616305
9,0.224413,0.224413,5.343831,0.616306
10,0.224132,0.224132,5.295927,0.616306
11,0.174996,0.174996,5.257033,0.616304
12,0.176679,0.176679,5.192734,0.616305
13,0.118510,0.118510,5.124436,0.616304
14,0.132875,0.132875,5.059991,0.616304
15,0.110990,0.110990,4.983387,0.616305
16,0.116914,0.116914,4.863254,0.616306
17,0.110327,0.110327,4.669303,0.616305
18,0.122448,0.122448,4.482063,0.616305
19,0.130986,0.130986,4.408926,0.616304
20,0.135572,0.135572,4.367915,0.616305
21,0.137428,0.137428,4.333949,0.616305
22,0.136173,0.136173,4.311571,0.616304
23,0.134702,0.134702,4.297105,0.616306
24,0.134485,0.134485,4.289599,0.616306
25,0.134590,0.134590,4.287200,0.616305
26,0.134921,0.134921,4.285582,0.616306
27,0.135176,0.135176,4.284530,0.616306
28,0.135377,0.135377,4.283643,0.616305
29,0.135694,0.135694,4.282651,0.616305
30,0.136024,0.136024,4.281604,0.616305
31,0.136274,0.136274,4.280648,0.616305
32,0.136553,0.136553,4.279852,0.616305
33,0.136884,0.136884,4.279123,0.616306
34,0.137238,0.137238,4.278447,0.616306
35,0.137461,0.137461,4.277958,0.616306
36,0.137682,0.137682,4.277565,0.616306
37,0.137811,0.137811,4.277199,0.616305
38,0.137940,0.137940,4.276844,0.616306
39,0.137917,0.137917,4.276507,0.616304
40,0.137899,0.137899,4.276250,0.616305
41,0.137888,0.137888,4.276009,0.616305
42,0.137885,0.137885,4.275797,0.616306
43,0.137881,0.137881,4.275566,0.616305
44,0.137870,0.137870,4.275318,0.616305
45,0.137857,0.137857,4.275063,0.616306
46,0.137846,0.137846,4.274815,0.616305
47,0.137834,0.137834,4.274587,0.616305
48,0.137825,0.137825,4.274388,0.616304
49,0.137836,0.137836,4.274267,0.616305
50,0.137847,0.137847,4.274156,0.616305
51,0.137873,0.137873,4.274098,0.616306
52,0.137907,0.137907,4.274067,0.616304
53,0.137938,0.137938,4.274044,0.616305
54,0.137965,0.137965,4.274015,0.616306
55,0.137986,0.137986,4.273985,0.616305
56,0.138002,0.138002,4.273959,0.616306
57,0.138012,0.138012,4.273921,0.616305
58,0.138015,0.138015,4.273882,0.616304
59,0.138009,0.138009,4.273831,0.616305
60,0.137991,0.137991,4.273760,0.616305
61,0.137960,0.137960,4.273667,0.616306
62,0.137916,0.137916,4.273552,0.616305
63,0.137866,0.137866,4.273437,0.616305
64,0.137808,0.137808,4.273309,0.616305
65,0.137742,0.137742,4.273174,0.616305
66,0.137667,0.137667,4.273027,0.616305
67,0.137595,0.137596,4.272892,0.616305
68,0.137544,0.137545,4.272797,0.616305
69,0.137499,0.137500,4.272718,0.616305
70,0.137453,0.137452,4.272644,0.616305
71,0.137407,0.137406,4.272584,0.616306
72,0.137376,0.137374,4.272558,0.616305
73,0.137351,0.137353,4.272559,0.616305
74,0.137329,0.137328,4.272574,0.616305
75,0.137304,0.137299,4.272590,0.616304
76,0.137277,0.137270,4.272614,0.616305
77,0.137243,0.137240,4.272635,0.616304
78,0.137215,0.137213,4.272658,0.616306
79,0.137188,0.137189,4.272674,0.616304
80,0.137168,0.137169,4.272690,0.616304
81,0.137150,0.137151,4.272701,0.616304
82,0.137134,0.137135,4.272712,0.616305
83,0.137123,0.137123,4.272717,0.616305
84,0.137111,0.137112,4.272721,0.616305
85,0.137099,0.137101,4.272721,0.616305
86,0.137086,0.137089,4.272722,0.616306
87,0.137070,0.137074,4.272714,0.616306
88,0.137051,0.137056,4.272705,0.616305
89,0.137029,0.137035,4.272691,0.616304
90,0.137001,0.137008,4.272667,0.616305
91,0.136965,0.136973,4.272624,0.616306
92,0.136918,0.136926,4.272563,0.616306
93,0.136862,0.136869,4.272492,0.616304
94,0.136798,0.136804,4.272421,0.616305
95,0.136729,0.136732,4.272339,0.616306
96,0.136654,0.136654,4.272257,0.616304
97,0.136573,0.136571,4.272177,0.616305
98,0.136492,0.136488,4.272089,0.616306
99,0.136414,0.136409,4.272010,0.616305
100,0.136349,0.136342,4.271945,0.616304
101,0.136286,0.136279,4.271885,0.616305
102,0.136225,0.136217,4.271823,0.616306
103,0.136166,0.136157,4.271767,0.616305
104,0.136110,0.136101,4.271720,0.616305
105,0.136072,0.136064,4.271695,0.616304
106,0.136044,0.136036,4.271688,0.616304
107,0.136028,0.136020,4.271693,0.616305
108,0.136013,0.136003,4.271694,0.616306
109,0.135998,0.135988,4.271699,0.616306
110,0.135984,0.135974,4.271706,0.616305
111,0.135971,0.135960,4.271717,0.616304
112,0.135959,0.135946,4.271724,0.616306
113,0.135947,0.135933,4.271727,0.616306
114,0.135936,0.135921,4.271734,0.616305
115,0.135926,0.135910,4.271744,0.616305
116,0.135918,0.135899,4.271748,0.616305
117,0.135911,0.135889,4.271756,0.616305
118,0.135904,0.135880,4.271761,0.616305
119,0.135897,0.135870,4.271765,0.616305
