sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta_second,error
0,True,-0.9999999999988642,-0.9999999999995923,90.64361149695033,24,True,4.47,0.389681,2.808150,3.023567,0.210855,0.215097,48.073133,0.982591,
1,True,-0.999999999997855,-0.9999999999990691,79.12464964186584,24,True,4.37,0.309519,3.782918,2.758269,0.080243,0.684554,46.068405,1.245149,
2,True,-0.999999999999209,-0.9999999999999738,251.2982596706646,25,True,4.65,0.540754,4.836368,3.240903,0.091135,0.352873,19.105007,1.449461,
3,True,-0.9999999999993188,-0.9999999999998691,52.52013311562037,34,True,6.45,0.288606,1.003907,4.851146,0.051847,0.396756,28.599837,1.563746,
4,True,-0.9999999999988661,-0.99999999999943,94.06102206944524,24,True,4.24,0.304609,1.575593,1.709206,0.275271,0.311236,25.888621,1.802030,
5,True,-0.9999999999992664,-0.9999999999999949,55.754689398291355,23,True,4.32,0.450807,3.249344,3.754049,0.189776,0.505503,40.688544,0.511155,
6,True,-0.9999999999978706,-0.9999999999996373,104.25588484401945,26,True,4.92,0.337330,4.691684,2.861290,0.176627,0.660209,59.135016,1.387834,
7,True,-0.999999999998551,-0.9999999999997086,66.93052355732996,23,True,4.53,0.384803,2.573346,3.998773,0.068442,0.672252,9.884504,0.714618,
8,True,-0.9999999999989795,-0.9999999999995315,241.77930223424212,25,True,4.82,0.487214,2.657501,4.643367,0.124046,0.238860,4.586711,1.595651,
9,True,-0.9999999999994393,-1.000000000000105,200.19324941253885,24,True,4.31,0.456467,1.182038,1.574403,0.262007,0.544934,80.907546,2.004219,
10,True,-0.9999999999995783,-1.000000000000161,303.8563294072921,22,True,4.00,0.557139,1.345530,3.524433,0.273051,0.449028,38.155848,2.080427,
11,True,-0.999999999993739,-0.9999999999944833,20.88634592068767,25,True,4.83,0.204508,3.592396,5.202684,0.152797,0.576560,12.557939,0.688868,
12,True,-0.9999999999994728,-1.0000000000001932,204.34965482525268,25,True,4.95,0.573031,1.921327,5.546273,0.062818,0.530645,67.496866,1.223179,
13,True,-0.9999999999969891,-0.9999999999977423,98.4477745859338,26,True,5.09,0.257382,2.940512,5.436496,0.130821,0.289495,82.914562,2.160823,
14,True,-0.9999999999989679,-0.9999999999997152,153.26187358267003,27,True,4.73,0.371760,3.005080,2.181903,0.094169,0.228902,30.092471,1.914750,
15,True,-0.9999999999994882,-1.000000000000012,203.7273864698422,23,True,4.13,0.577108,2.006752,2.621293,0.232530,0.268290,61.632671,1.153176,
16,True,-0.9999999999985428,-0.9999999999992752,26.726718877103266,28,True,5.17,0.275921,2.122771,4.803871,0.134528,0.604025,87.841611,0.604527,
17,True,-0.9999999999985486,-0.9999999999992567,70.34175563407547,33,True,6.05,0.324969,4.122120,4.225026,0.149296,0.409737,77.875157,1.067067,
18,True,-0.9999999999990394,-0.9999999999996877,94.35272985284575,27,True,5.37,0.355602,1.780730,5.982766,0.111770,0.497157,42.224640,1.327929,
19,True,-0.9999999999938562,-0.9999999999946533,86.57460260693861,24,True,4.84,0.248708,4.387878,5.829533,0.217012,0.425295,0.651794,1.894485,
20,True,-0.9999999999993564,-1.0000000000003213,434.4644471522273,23,True,4.28,0.593511,3.867906,1.177029,0.253569,0.592109,53.199073,2.211229,
21,True,-0.9999999999990596,-0.999999999999784,82.23818706776072,25,True,4.90,0.419724,3.474812,5.163065,0.201448,0.551731,86.579253,0.796398,
22,True,-0.9999999999984073,-0.9999999999990747,27.724856564361254,28,True,4.83,0.225219,2.377035,2.453128,0.102838,0.471217,54.694058,0.959484,
23,True,-0.9999999999993499,-1.000000000000036,191.39944772145356,24,True,4.55,0.467787,2.302638,4.493765,0.245376,0.460485,6.510631,1.646117,
24,True,-0.9999999999989153,-0.9999999999996949,285.087405974338,24,True,4.46,0.435771,4.872947,3.451514,0.195708,0.262401,63.191869,2.422359,
25,True,-0.9999999999993915,-1.0000000000001612,338.7496844723703,23,True,3.92,0.532735,4.008654,1.334604,0.292569,0.320857,15.327623,2.240437,
26,True,-0.9999999999983976,-0.9999999999992073,76.4708397991101,27,True,4.85,0.233082,3.357876,2.037998,0.286153,0.627106,23.716600,2.450214,
27,True,-0.999999999999423,-1.0000000000001175,115.94491546574721,31,True,5.22,0.503167,4.208425,1.126505,0.165644,0.336148,71.540147,0.888049,
28,True,-0.9999999999984107,-0.999999999999788,251.93580833042512,25,True,4.74,0.405342,4.483392,4.133928,0.172414,0.637043,33.084521,2.333284,
29,True,-0.9999999999994603,-1.0000000000000535,229.08697942899488,23,True,4.09,0.518081,1.531475,1.961724,0.240568,0.372039,74.634502,1.732911,
