Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.911600
1,0.322999,0.322999,-247.085333,0.777538
2,0.342692,0.342692,-304.448674,0.643477
3,0.342692,0.342692,-349.751217,0.509415
4,0.342692,0.342692,-376.416612,0.375354
5,0.342692,0.342692,-389.586245,0.241292
6,0.342692,0.342692,-394.546084,0.107231
7,0.342692,0.342692,-395.641014,0.000000
8,0.000000,0.000000,-395.694183,0.000000
9,0.000000,0.000000,-395.694183,0.000000
10,0.000000,0.000000,-395.694183,0.000000
11,0.000000,0.000000,-395.694183,0.000000
12,0.000000,0.000000,-395.694183,0.000000
