sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta,error
0,True,-0.9999999999989506,-0.9999999999996575,-0.9986720303938778,43,True,7.86,0.389681,2.808150,3.023567,0.210855,0.215097,48.073133,0.589554,
1,True,-0.9999999999210755,-0.9999999999663469,-0.01350794878794915,37,True,6.61,0.309519,3.782918,2.758269,0.080243,0.684554,46.068405,0.747090,
2,True,-0.9999999999994296,-1.000000000000097,-1.765784863255678,37,True,6.90,0.540754,4.836368,3.240903,0.091135,0.352873,19.105007,0.869676,
3,True,-0.9999999999836864,-1.000000000006966,-0.07575334739906783,55,True,10.17,0.288606,1.003907,4.851146,0.051847,0.396756,28.599837,0.938248,
4,True,-0.9686304869047192,-0.9686304865639421,-1.520848349932713e-07,100,True,17.28,0.304609,1.575593,1.709206,0.275271,0.311236,25.888621,1.081218,
5,True,-0.9999999999973347,-0.9999999999995333,-0.3692118612221063,50,True,9.06,0.450807,3.249344,3.754049,0.189776,0.505503,40.688544,0.306693,
6,True,-0.999999999964613,-0.9999999999867939,-0.030143618724093182,29,True,5.23,0.337330,4.691684,2.861290,0.176627,0.660209,59.135016,0.832700,
7,True,-0.9999999999959855,-0.9999999999986887,-0.2668622744271764,17,True,3.29,0.384803,2.573346,3.998773,0.068442,0.672252,9.884504,0.428771,
8,True,-0.9999999999992955,-1.000000000000251,-2.001957161678384,42,True,8.16,0.487214,2.657501,4.643367,0.124046,0.238860,4.586711,0.957391,
9,True,-0.9999999999994146,-1.0000000000001175,-3819335527128.8784,150,False,25.38,0.456467,1.182038,1.574403,0.262007,0.544934,80.907546,1.202531,
10,True,-0.9999999999994285,-1.0000000000004063,-1242600024659607.8,150,False,26.79,0.557139,1.345530,3.524433,0.273051,0.449028,38.155848,1.248256,
11,True,-0.9970546148579592,-0.9977850383736119,-3.4835249911113266e-10,30,True,5.70,0.204508,3.592396,5.202684,0.152797,0.576560,12.557939,0.413321,
12,True,-0.9999999999993483,-1.0000000000001976,-1.7152148197283812,26,True,5.13,0.573031,1.921327,5.546273,0.062818,0.530645,67.496866,0.733908,
13,True,-0.9942975404757205,-0.9981176867332275,-35428276.366832614,150,False,28.50,0.257382,2.940512,5.436496,0.130821,0.289495,82.914562,1.296494,
14,True,-0.9999999999990458,-0.9999999999997463,-2389028175.377532,150,False,24.14,0.371760,3.005080,2.181903,0.094169,0.228902,30.092471,1.148850,
15,True,-0.9999999999994394,-0.9999999999999717,-2.0415887838829154,27,True,4.85,0.577108,2.006752,2.621293,0.232530,0.268290,61.632671,0.691905,
16,True,-0.9999999999983755,-0.9999999999992568,-0.6379025720582958,75,True,13.61,0.275921,2.122771,4.803871,0.134528,0.604025,87.841611,0.362716,
17,True,-0.9999923719031851,-0.9999867340485095,-7.275138146654043e-08,79,True,14.41,0.324969,4.122120,4.225026,0.149296,0.409737,77.875157,0.640240,
18,True,-0.9999999999764265,-0.9999999999989967,-0.047489822828455736,66,True,12.50,0.355602,1.780730,5.982766,0.111770,0.497157,42.224640,0.796758,
19,True,-0.9996634784427263,-0.9997424538086763,-1.3365380518574301,150,False,28.53,0.248708,4.387878,5.829533,0.217012,0.425295,0.651794,1.136691,
20,True,-0.9999999999973778,-1.0000000000016052,-5.472103093869772,6,True,1.16,0.593511,3.867906,1.177029,0.253569,0.592109,53.199073,1.326737,
21,True,-0.9999999999987379,-0.9999999999997488,-0.8232964564425481,26,True,5.07,0.419724,3.474812,5.163065,0.201448,0.551731,86.579253,0.477839,
22,True,-0.9909287977643677,-0.9956026672671461,-1.1258363012046892e-10,40,True,7.09,0.225219,2.377035,2.453128,0.102838,0.471217,54.694058,0.575690,
23,True,-0.9999999999992946,-1.00000000000009,-3.2691077066658565,37,True,7.06,0.467787,2.302638,4.493765,0.245376,0.460485,6.510631,0.987670,
24,True,-0.9999999999996781,-1.0000000000003997,-1.708644162057116e+25,150,False,26.24,0.435771,4.872947,3.451514,0.195708,0.262401,63.191869,1.453416,
25,True,-0.9999999999995265,-1.0000000000002747,-9.449464475800275e+19,150,False,25.75,0.532735,4.008654,1.334604,0.292569,0.320857,15.327623,1.344262,
26,True,-0.9999999999924278,-0.9999999999970277,-3.4109909516778054e+24,150,False,26.37,0.233082,3.357876,2.037998,0.286153,0.627106,23.716600,1.470128,
27,True,-0.9999999999994871,-1.0000000000001543,-1.964293892179676,36,True,6.15,0.503167,4.208425,1.126505,0.165644,0.336148,71.540147,0.532829,
28,True,-0.9999999999886785,-1.0000000000003455,-1.6510441111405173e+21,150,False,27.62,0.405342,4.483392,4.133928,0.172414,0.637043,33.084521,1.399970,
29,True,-0.9999999999995273,-1.0000000000001643,-21.964244098833444,43,True,7.80,0.518081,1.531475,1.961724,0.240568,0.372039,74.634502,1.039747,
