Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.577187
1,0.596692,0.596692,5.490305,0.545260
2,0.575771,0.575771,5.507843,0.529783
3,0.548784,0.548784,5.496188,0.505839
4,0.509116,0.509116,5.486210,0.486248
5,0.472387,0.472387,5.478136,0.471495
6,0.451556,0.451556,5.473883,0.478528
7,0.452009,0.452009,5.471926,0.485219
8,0.452607,0.452607,5.470914,0.491426
9,0.450230,0.450230,5.470096,0.497472
10,0.456296,0.456296,5.469560,0.502551
11,0.457531,0.457531,5.469024,0.501986
12,0.455299,0.455299,5.469037,0.502470
13,0.457177,0.457177,5.469022,0.501986
14,0.455299,0.455299,5.469037,0.502470
15,0.457177,0.457177,5.469022,0.501986
16,0.455299,0.455299,5.469037,0.502470
17,0.457177,0.457177,5.469022,0.501986
18,0.455299,0.455299,5.469037,0.502470
19,0.457177,0.457177,5.469022,0.501986
20,0.455299,0.455299,5.469037,0.502470
21,0.457177,0.457177,5.469022,0.501986
22,0.455299,0.455299,5.469037,0.502470
23,0.457177,0.457177,5.469022,0.501986
24,0.455299,0.455299,5.469037,0.502470
25,0.457177,0.457177,5.469022,0.501986
26,0.455299,0.455299,5.469037,0.502470
27,0.457177,0.457177,5.469022,0.501986
28,0.455299,0.455299,5.469037,0.502470
29,0.457177,0.457177,5.469022,0.501986
30,0.455299,0.455299,5.469037,0.502470
31,0.457177,0.457177,5.469022,0.501986
32,0.455299,0.455299,5.469037,0.502470
33,0.457177,0.457177,5.469022,0.501986
34,0.455299,0.455299,5.469037,0.502470
35,0.457177,0.457177,5.469022,0.501986
36,0.455299,0.455299,5.469037,0.502470
37,0.457177,0.457177,5.469022,0.501986
38,0.455299,0.455299,5.469037,0.502470
39,0.457177,0.457177,5.469022,0.501986
40,0.455299,0.455299,5.469037,0.502470
41,0.457177,0.457177,5.469022,0.501986
42,0.455299,0.455299,5.469037,0.502470
43,0.457177,0.457177,5.469022,0.501986
44,0.455299,0.455299,5.469037,0.502470
45,0.457177,0.457177,5.469022,0.501986
46,0.455299,0.455299,5.469037,0.502470
47,0.457177,0.457177,5.469022,0.501986
48,0.455299,0.455299,5.469037,0.502470
49,0.457177,0.457177,5.469022,0.501986
50,0.455299,0.455299,5.469037,0.502470
51,0.457177,0.457177,5.469022,0.501986
52,0.455299,0.455299,5.469037,0.502470
53,0.457177,0.457177,5.469022,0.501986
54,0.455299,0.455299,5.469037,0.502470
55,0.457177,0.457177,5.469022,0.501986
56,0.455299,0.455299,5.469037,0.502470
57,0.457177,0.457177,5.469022,0.501986
58,0.455299,0.455299,5.469037,0.502470
59,0.457177,0.457177,5.469022,0.501986
60,0.455299,0.455299,5.469037,0.502470
61,0.457177,0.457177,5.469022,0.501986
62,0.455299,0.455299,5.469037,0.502470
63,0.457177,0.457177,5.469022,0.501986
64,0.455299,0.455299,5.469037,0.502470
65,0.457177,0.457177,5.469022,0.501986
66,0.455299,0.455299,5.469037,0.502470
67,0.457177,0.457177,5.469022,0.501986
68,0.455299,0.455299,5.469037,0.502470
69,0.457177,0.457177,5.469022,0.501986
70,0.455299,0.455299,5.469037,0.502470
71,0.457177,0.457177,5.469022,0.501986
72,0.455299,0.455299,5.469037,0.502470
73,0.457177,0.457177,5.469022,0.501986
74,0.455299,0.455299,5.469037,0.502470
75,0.457177,0.457177,5.469022,0.501986
76,0.455299,0.455299,5.469037,0.502470
77,0.457177,0.457177,5.469022,0.501986
78,0.455299,0.455299,5.469037,0.502470
79,0.457177,0.457177,5.469022,0.501986
80,0.455299,0.455299,5.469037,0.502470
81,0.457177,0.457177,5.469022,0.501986
82,0.455299,0.455299,5.469037,0.502470
83,0.457177,0.457177,5.469022,0.501986
84,0.455299,0.455299,5.469037,0.502470
85,0.457177,0.457177,5.469022,0.501986
86,0.455299,0.455299,5.469037,0.502470
87,0.457177,0.457177,5.469022,0.501986
88,0.455299,0.455299,5.469037,0.502470
89,0.457177,0.457177,5.469022,0.501986
90,0.455299,0.455299,5.469037,0.502470
91,0.457177,0.457177,5.469022,0.501986
92,0.455299,0.455299,5.469037,0.502470
93,0.457177,0.457177,5.469022,0.501986
94,0.455299,0.455299,5.469037,0.502470
95,0.457177,0.457177,5.469022,0.501986
96,0.455299,0.455299,5.469037,0.502470
97,0.457177,0.457177,5.469022,0.501986
98,0.455299,0.455299,5.469037,0.502470
99,0.457177,0.457177,5.469022,0.501986
100,0.455299,0.455299,5.469037,0.502470
101,0.457177,0.457177,5.469022,0.501986
102,0.455299,0.455299,5.469037,0.502470
103,0.457177,0.457177,5.469022,0.501986
104,0.455299,0.455299,5.469037,0.502470
105,0.457177,0.457177,5.469022,0.501986
106,0.455299,0.455299,5.469037,0.502470
107,0.457177,0.457177,5.469022,0.501986
108,0.455299,0.455299,5.469037,0.502470
109,0.457177,0.457177,5.469022,0.501986
110,0.455299,0.455299,5.469037,0.502470
111,0.457177,0.457177,5.469022,0.501986
112,0.455299,0.455299,5.469037,0.502470
113,0.457177,0.457177,5.469022,0.501986
114,0.455299,0.455299,5.469037,0.502470
115,0.457177,0.457177,5.469022,0.501986
116,0.455299,0.455299,5.469037,0.502470
117,0.457177,0.457177,5.469022,0.501986
118,0.455299,0.455299,5.469037,0.502470
119,0.457177,0.457177,5.469022,0.501986
120,0.455299,0.455299,5.469037,0.502470
121,0.457177,0.457177,5.469022,0.501986
122,0.455299,0.455299,5.469037,0.502470
123,0.457177,0.457177,5.469022,0.501986
124,0.455299,0.455299,5.469037,0.502470
125,0.457177,0.457177,5.469022,0.501986
126,0.455299,0.455299,5.469037,0.502470
127,0.457177,0.457177,5.469022,0.501986
128,0.455299,0.455299,5.469037,0.502470
129,0.457177,0.457177,5.469022,0.501986
130,0.455299,0.455299,5.469037,0.502470
131,0.457177,0.457177,5.469022,0.501986
132,0.455299,0.455299,5.469037,0.502470
133,0.457177,0.457177,5.469022,0.501986
134,0.455299,0.455299,5.469037,0.502470
135,0.457177,0.457177,5.469022,0.501986
136,0.455299,0.455299,5.469037,0.502470
137,0.457177,0.457177,5.469022,0.501986
138,0.455299,0.455299,5.469037,0.502470
139,0.457177,0.457177,5.469022,0.501986
140,0.455299,0.455299,5.469037,0.502470
141,0.457177,0.457177,5.469022,0.501986
142,0.455299,0.455299,5.469037,0.502470
143,0.457177,0.457177,5.469022,0.501986
144,0.455299,0.455299,5.469037,0.502470
145,0.457177,0.457177,5.469022,0.501986
146,0.455299,0.455299,5.469037,0.502470
147,0.457177,0.457177,5.469022,0.501986
148,0.455299,0.455299,5.469037,0.502470
149,0.457177,0.457177,5.469022,0.501986
150,0.455299,0.455299,5.469037,0.502470
151,0.457177,0.457177,5.469022,0.501986
152,0.455299,0.455299,5.469037,0.502470
153,0.457177,0.457177,5.469022,0.501986
154,0.455299,0.455299,5.469037,0.502470
155,0.457177,0.457177,5.469022,0.501986
156,0.455299,0.455299,5.469037,0.502470
157,0.457177,0.457177,5.469022,0.501986
158,0.455299,0.455299,5.469037,0.502470
159,0.457177,0.457177,5.469022,0.501986
160,0.455299,0.455299,5.469037,0.502470
161,0.457177,0.457177,5.469022,0.501986
162,0.455299,0.455299,5.469037,0.502470
163,0.457177,0.457177,5.469022,0.501986
164,0.455299,0.455299,5.469037,0.502470
165,0.457177,0.457177,5.469022,0.501986
166,0.455299,0.455299,5.469037,0.502470
167,0.457177,0.457177,5.469022,0.501986
168,0.455299,0.455299,5.469037,0.502470
169,0.457177,0.457177,5.469022,0.501986
170,0.455299,0.455299,5.469037,0.502470
171,0.457177,0.457177,5.469022,0.501986
172,0.455299,0.455299,5.469037,0.502470
173,0.457177,0.457177,5.469022,0.501986
174,0.455299,0.455299,5.469037,0.502470
175,0.457177,0.457177,5.469022,0.501986
176,0.455299,0.455299,5.469037,0.502470
177,0.457177,0.457177,5.469022,0.501986
178,0.455299,0.455299,5.469037,0.502470
179,0.457177,0.457177,5.469022,0.501986
180,0.455299,0.455299,5.469037,0.502470
181,0.457177,0.457177,5.469022,0.501986
182,0.455299,0.455299,5.469037,0.502470
183,0.457177,0.457177,5.469022,0.501986
184,0.455299,0.455299,5.469037,0.502470
185,0.457177,0.457177,5.469022,0.501986
186,0.455299,0.455299,5.469037,0.502470
187,0.457177,0.457177,5.469022,0.501986
188,0.455299,0.455299,5.469037,0.502470
189,0.457177,0.457177,5.469022,0.501986
190,0.455299,0.455299,5.469037,0.502470
191,0.457177,0.457177,5.469022,0.501986
192,0.455299,0.455299,5.469037,0.502470
193,0.457177,0.457177,5.469022,0.501986
194,0.455299,0.455299,5.469037,0.502470
195,0.457177,0.457177,5.469022,0.501986
196,0.455299,0.455299,5.469037,0.502470
197,0.457177,0.457177,5.469022,0.501986
198,0.455299,0.455299,5.469037,0.502470
199,0.457177,0.457177,5.469022,0.501986
