sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta_second,error
0,True,-0.9999999999988642,-0.9999999999995923,90.64361149695033,24,True,4.47,0.389681,2.808150,3.023567,0.210855,0.215097,48.073133,0.982591,
1,True,-0.9999999998899259,-0.9999999999492228,94.16827833771225,21,True,3.87,0.309519,3.782918,2.758269,0.080243,0.684554,46.068405,1.245149,
2,True,-0.9999999999993794,-1.0000000000001348,239.96913614822486,25,True,4.79,0.540754,4.836368,3.240903,0.091135,0.352873,19.105007,1.449461,
3,True,-0.9999999999849294,-1.0000000000052391,100.36260876899158,47,True,8.75,0.288606,1.003907,4.851146,0.051847,0.396756,28.599837,1.563746,
4,True,-0.9999999999988661,-0.99999999999943,94.06102206944524,24,True,4.21,0.304609,1.575593,1.709206,0.275271,0.311236,25.888621,1.802030,
5,True,-0.9999999999867799,-1.0000000000017883,80.6648683396052,23,True,4.30,0.450807,3.249344,3.754049,0.189776,0.505503,40.688544,0.511155,
6,True,-0.9999999999632132,-0.9999999999878322,123.93867610775868,21,True,3.90,0.337330,4.691684,2.861290,0.176627,0.660209,59.135016,1.387834,
7,True,-0.9999999999959855,-0.9999999999986887,77.8020126720763,17,True,3.36,0.384803,2.573346,3.998773,0.068442,0.672252,9.884504,0.714618,
8,True,-0.9999999999990262,-1.0000000000003788,220.27047912444937,25,True,4.80,0.487214,2.657501,4.643367,0.124046,0.238860,4.586711,1.595651,
9,True,-0.9999999999993479,-1.0000000000001397,212.70447878938865,22,True,3.93,0.456467,1.182038,1.574403,0.262007,0.544934,80.907546,2.004219,
10,True,-0.9999999999990038,-1.0000000000007139,400.44335248023265,23,True,4.32,0.557139,1.345530,3.524433,0.273051,0.449028,38.155848,2.080427,
11,True,-0.9970050036161723,-0.9978505886481127,22.818764419900702,24,True,4.95,0.204508,3.592396,5.202684,0.152797,0.576560,12.557939,0.688868,
12,True,-0.9999999999994107,-1.0000000000002034,227.46706203780644,21,True,4.23,0.573031,1.921327,5.546273,0.062818,0.530645,67.496866,1.223179,
13,True,-0.9999999977183814,-0.9999999983248244,113.35401243264121,26,True,5.16,0.257382,2.940512,5.436496,0.130821,0.289495,82.914562,2.160823,
14,True,-0.9999999999989679,-0.9999999999997152,153.26187358267003,27,True,4.81,0.371760,3.005080,2.181903,0.094169,0.228902,30.092471,1.914750,
15,True,-0.9999999999994882,-1.000000000000012,203.7273864698422,23,True,4.11,0.577108,2.006752,2.621293,0.232530,0.268290,61.632671,1.153176,
16,True,-0.9999999996960693,-0.9999999998780689,36.40152487241342,29,True,5.63,0.275921,2.122771,4.803871,0.134528,0.604025,87.841611,0.604527,
17,True,-0.9999925020633893,-0.9999964601901229,89.25085276320824,25,True,4.78,0.324969,4.122120,4.225026,0.149296,0.409737,77.875157,1.067067,
18,True,-0.9999999999829902,-1.0000000000023281,130.50148511855593,34,True,6.49,0.355602,1.780730,5.982766,0.111770,0.497157,42.224640,1.327929,
19,True,-0.9983794581892093,-0.9987013701492347,92.81286079527771,24,True,4.95,0.248708,4.387878,5.829533,0.217012,0.425295,0.651794,1.894485,
20,True,-0.9999999999973778,-1.0000000000016052,569.3866398286173,6,True,1.17,0.593511,3.867906,1.177029,0.253569,0.592109,53.199073,2.211229,
21,True,-0.9999999999985935,-0.9999999999997451,90.84926513259364,22,True,4.39,0.419724,3.474812,5.163065,0.201448,0.551731,86.579253,0.796398,
22,True,-0.9898861101298222,-0.9920799093731626,38.546404139120185,28,True,5.05,0.225219,2.377035,2.453128,0.102838,0.471217,54.694058,0.959484,
23,True,-0.9999999999992835,-1.000000000000078,202.296090343721,33,True,6.35,0.467787,2.302638,4.493765,0.245376,0.460485,6.510631,1.646117,
24,True,-0.9999999999989153,-0.9999999999996949,285.087405974338,24,True,4.56,0.435771,4.872947,3.451514,0.195708,0.262401,63.191869,2.422359,
25,True,-0.9999999999993885,-1.0000000000001856,326.47054424972595,32,True,5.71,0.532735,4.008654,1.334604,0.292569,0.320857,15.327623,2.240437,
26,True,-0.9999999999889151,-0.9999999999931524,101.36324389299136,21,True,3.88,0.233082,3.357876,2.037998,0.286153,0.627106,23.716600,2.450214,
27,True,-0.9999999999994402,-1.0000000000001639,113.12646522472988,33,True,5.77,0.503167,4.208425,1.126505,0.165644,0.336148,71.540147,0.888049,
28,True,-0.9999999999795466,-0.9999999999930526,299.697720396255,22,True,4.26,0.405342,4.483392,4.133928,0.172414,0.637043,33.084521,2.333284,
29,True,-0.9999999999994355,-1.000000000000109,250.8345885788957,29,True,5.30,0.518081,1.531475,1.961724,0.240568,0.372039,74.634502,1.732911,
