Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.523200
1,-1.000000,-1.000000,59.225838,0.419724
2,-1.000000,-1.000000,92.116125,0.419724
3,-1.000000,-1.000000,89.371616,0.419724
4,-1.000000,-1.000000,88.524464,0.419724
5,-1.000000,-1.000000,88.929658,0.419724
6,-1.000000,-1.000000,89.644673,0.419724
7,-1.000000,-1.000000,90.372235,0.419724
8,-1.000000,-1.000000,90.907442,0.419724
9,-1.000000,-1.000000,91.329096,0.419724
10,-1.000000,-1.000000,91.572461,0.419724
11,-1.000000,-1.000000,91.756711,0.419724
12,-1.000000,-1.000000,91.893379,0.419724
13,-1.000000,-1.000000,92.033050,0.419724
14,-1.000000,-1.000000,92.240705,0.419724
15,-1.000000,-1.000000,92.561632,0.419724
16,-1.000000,-1.000000,92.988153,0.419724
17,-1.000000,-1.000000,93.375067,0.419724
18,-1.000000,-1.000000,93.396124,0.419724
19,-1.000000,-1.000000,93.004885,0.419724
20,-1.000000,-1.000000,92.294717,0.419724
21,-1.000000,-1.000000,91.495321,0.419724
