sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,error
0,True,0.2991417154130734,0.2991121430722056,-0.4118277555331905,61,True,22.60,0.493014,4.008150,3.856900,0.144189,0.199058,48.073133,
1,True,0.29999999999877347,0.2999999999987789,-0.3529483849562,54,True,18.63,0.253185,2.495191,1.145314,0.062913,0.356292,18.219705,
2,True,0.30074159459788785,0.3006349414767028,-0.8090960569930681,128,True,43.01,0.588082,2.756965,2.259431,0.239773,0.304454,44.808548,
3,True,0.299084116204664,0.31755505629527886,-0.4756242607051385,150,True,48.17,0.505632,1.715778,5.206985,0.272046,0.290293,39.320637,
4,True,0.29999909255867213,0.29999909255880114,-0.08027104218092165,74,True,26.53,0.359622,3.774048,4.755546,0.282968,0.278457,12.950853,
5,True,0.2999999999944328,0.29999999999441324,-0.5172746231690512,39,True,13.50,0.453403,4.070999,2.612362,0.088580,0.395304,68.431586,
6,True,0.299807809709458,0.29980782236030856,-0.2053449086057204,70,True,25.97,0.474934,4.936573,5.128848,0.261085,0.315628,84.501965,
7,True,0.42546974548959665,0.40212685890140587,0.9155626689801747,150,True,51.71,0.613996,3.625018,4.527957,0.134960,0.446125,65.135016,
8,True,0.2828541867757086,0.28091039526299266,-0.12544259983907408,150,True,52.79,0.627567,3.514700,3.300015,0.191605,0.162131,52.005447,
9,True,0.29975112173742147,0.29975112173747104,-0.0475354370044391,48,True,16.99,0.400598,4.629236,4.923514,0.170260,0.258602,11.656410,
10,True,0.2603600137332232,0.26214049753083224,-0.11773325278647279,150,True,54.77,0.641088,3.203854,5.405794,0.068625,0.213653,37.339262,
11,True,0.2999999999970605,0.29999999999704446,-0.23054485319714224,28,True,9.81,0.309211,4.559473,2.494864,0.163027,0.377854,79.774414,
12,True,0.3019455636770459,0.30113764403066057,-0.3167173693750197,136,True,50.99,0.385288,1.902141,5.990283,0.230988,0.347064,73.014250,
13,True,0.33279284945066273,0.3291900145316343,-0.3233798744948001,150,True,43.89,0.562573,1.962147,1.555948,0.296613,0.401860,62.499081,
14,True,0.2917925094565919,0.3606150519694485,0.009777978883880586,150,True,55.89,0.343031,1.254660,4.046273,0.054484,0.228387,46.496866,
15,True,0.29979008541681085,0.34106611023663574,0.44806791325418566,113,True,33.09,0.274636,2.907157,5.592307,0.155158,0.186985,58.109152,
16,True,0.29940589965515035,0.30089966578675925,-0.7210197758924659,150,True,52.50,0.551842,2.188313,2.980332,0.175318,0.260914,6.900879,
17,True,0.2999955418594676,0.29999554020132163,-0.3952235566932294,48,True,16.94,0.433122,3.804110,3.370208,0.077359,0.245506,2.183275,
18,True,0.29999999999742394,0.29999999999743365,-0.30113105172262256,45,True,15.86,0.302048,4.212986,1.757371,0.223314,0.286940,82.262341,
19,True,0.3303555106920895,0.30272433340457716,-0.22347579928139305,150,True,51.51,0.447643,2.219118,2.040247,0.194004,0.175679,55.118073,
20,True,0.2982230497464703,0.2982229909017633,-0.36620449931308885,141,True,50.70,0.415545,4.380020,2.819259,0.288202,0.159584,25.518028,
21,True,0.29992927646477524,0.29997138531261547,-0.5497442912292893,117,True,35.04,0.525602,4.847397,3.149433,0.103436,0.238294,75.224640,
22,True,0.3002473198050549,0.3015571770950719,-0.722311218560908,150,True,43.25,0.535586,2.687084,1.901514,0.249810,0.410414,70.553090,
23,True,0.29997394432918606,0.29997352542396255,-0.6619095200536907,93,True,18.06,0.599564,3.388969,4.252224,0.254244,0.320622,4.284816,
24,True,0.2999999999980773,0.29999999999809174,-0.48470908088339987,32,True,11.16,0.323687,1.631070,1.444739,0.112328,0.435611,29.935164,
25,True,0.2999999974377289,0.2999999974242765,-0.5247488871098329,73,True,24.49,0.372316,1.413845,3.809958,0.120383,0.428914,15.983280,
26,True,0.2999999999992109,0.2999999999991389,-0.7785774178251423,125,True,30.29,0.486250,1.312077,1.212168,0.126928,0.388923,87.251964,
27,True,0.31663430189104597,0.2988600844552302,0.23171748767919073,150,True,27.43,0.286930,3.128345,4.407525,0.213576,0.201702,30.575246,
28,True,0.2999083788678777,0.2999083787225559,-0.18897931617687916,58,True,16.51,0.352438,2.339613,5.784847,0.204041,0.367440,33.191869,
29,True,0.4483904829267319,0.3585846193517219,0.49988525277284657,109,True,21.50,0.581139,1.127345,3.594150,0.091730,0.331083,21.754176,
