Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.927600
1,-1.000000,-1.000000,1.000000,0.863943
2,-1.000000,-1.000000,1.000000,0.800287
3,-1.000000,-1.000000,1.000000,0.736630
4,-1.000000,-1.000000,1.000000,0.672974
5,-1.000000,-1.000000,1.000000,0.609317
6,-1.000000,-1.000000,1.000000,0.546045
7,-1.000000,-1.000000,1.000000,0.487830
8,-1.000000,-1.000000,1.000000,0.428464
9,-1.000000,-1.000000,1.000000,0.375076
10,-1.000000,-1.000000,1.000000,0.323221
11,-1.000000,-1.000000,1.000000,0.271976
12,-1.000000,-1.000000,1.000000,0.244355
13,-1.000000,-1.000000,1.000000,0.211378
14,-1.000000,-1.000000,1.000000,0.173269
15,-1.000000,-1.000000,1.000000,0.178783
16,-1.000000,-1.000000,1.000000,0.169908
17,-1.000000,-1.000000,1.000000,0.156460
18,-1.000000,-1.000000,1.000000,0.155299
19,-1.000000,-1.000000,1.000000,0.154849
20,-0.999988,-0.999991,0.999988,0.159800
