Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.662000
1,0.448705,0.448705,8.074266,0.624877
2,0.489167,0.489167,5.677673,0.587762
3,0.489167,0.489167,4.765233,0.550647
4,0.489167,0.489167,3.935055,0.513532
5,0.489167,0.489167,3.190495,0.476418
6,0.489167,0.489167,2.533265,0.439303
7,0.489167,0.489167,1.963412,0.402188
8,0.489167,0.489167,1.479325,0.365073
9,0.489167,0.489167,1.077762,0.327958
10,0.489167,0.489167,0.753915,0.290843
11,0.489167,0.489167,0.501510,0.253729
12,0.489167,0.489167,0.312959,0.216614
13,0.489167,0.489167,0.179562,0.179499
14,0.489167,0.489167,0.091783,0.142384
15,0.489167,0.489167,0.039612,0.105269
16,0.489167,0.489167,0.013021,0.068155
17,0.489167,0.489167,0.002562,0.031040
18,0.489168,0.489168,0.000129,0.000000
19,0.000000,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000,0.000000
21,0.000000,0.000000,0.000000,0.000000
22,0.000000,0.000000,0.000000,0.000000
23,0.000000,0.000000,0.000000,0.000000
