Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.899219
1,0.287115,0.287115,3.124311,0.821278
2,0.286900,0.286900,3.601101,0.743338
3,0.286900,0.286900,4.089683,0.665398
4,0.286900,0.286900,4.557568,0.587458
5,0.286900,0.286900,4.971449,0.535316
6,0.258358,0.258358,5.176330,0.535315
7,0.211986,0.211986,5.151502,0.535316
8,0.251787,0.251787,5.138197,0.535316
9,0.203336,0.203336,5.095946,0.535315
10,0.206197,0.206197,5.057674,0.535316
11,0.169872,0.169872,5.023772,0.535316
12,0.175614,0.175614,4.972306,0.535315
13,0.144834,0.144834,4.939969,0.535315
14,0.149097,0.149097,4.888545,0.535317
15,0.123795,0.123795,4.848690,0.535316
16,0.137876,0.137876,4.803009,0.535317
17,0.120888,0.120888,4.778883,0.535316
18,0.134837,0.134837,4.757187,0.535315
19,0.119234,0.119234,4.741205,0.535316
20,0.128350,0.128350,4.726485,0.535316
21,0.114626,0.114626,4.699353,0.535316
22,0.117433,0.117433,4.674749,0.535315
23,0.112193,0.112193,4.630479,0.535316
24,0.107300,0.107300,4.588188,0.535316
25,0.109120,0.109120,4.546023,0.535315
26,0.106635,0.106635,4.505517,0.535316
27,0.107131,0.107131,4.473316,0.535315
28,0.107791,0.107791,4.447117,0.535316
29,0.108756,0.108756,4.423535,0.535316
30,0.110370,0.110370,4.399061,0.535315
31,0.111105,0.111105,4.382390,0.535316
32,0.111339,0.111339,4.373482,0.535317
33,0.111502,0.111502,4.367403,0.535316
34,0.111657,0.111657,4.362645,0.535315
35,0.111650,0.111649,4.359408,0.535315
36,0.111628,0.111628,4.356937,0.535317
37,0.111548,0.111547,4.355039,0.535316
38,0.111426,0.111426,4.353462,0.535316
39,0.111317,0.111316,4.352223,0.535316
40,0.111242,0.111241,4.351350,0.535316
41,0.111187,0.111185,4.350735,0.535316
42,0.111163,0.111160,4.350373,0.535316
43,0.111171,0.111168,4.350130,0.535315
44,0.111211,0.111206,4.349978,0.535317
45,0.111248,0.111240,4.349840,0.535316
46,0.111280,0.111269,4.349720,0.535315
47,0.111314,0.111297,4.349610,0.535316
48,0.111352,0.111326,4.349501,0.535315
49,0.111390,0.111354,4.349409,0.535315
50,0.111429,0.111381,4.349320,0.535316
51,0.111470,0.111411,4.349235,0.535315
52,0.111513,0.111443,4.349164,0.535317
53,0.111558,0.111475,4.349091,0.535317
54,0.111601,0.111503,4.349033,0.535317
55,0.111642,0.111531,4.348979,0.535316
56,0.111680,0.111556,4.348932,0.535315
57,0.111712,0.111577,4.348888,0.535316
58,0.111735,0.111591,4.348841,0.535315
59,0.111746,0.111591,4.348808,0.535317
60,0.111748,0.111583,4.348772,0.535316
61,0.111737,0.111567,4.348744,0.535316
62,0.111711,0.111539,4.348733,0.535316
63,0.111678,0.111509,4.348730,0.535317
64,0.111631,0.111469,4.348732,0.535316
65,0.111571,0.111419,4.348755,0.535315
66,0.111498,0.111357,4.348788,0.535315
67,0.111413,0.111281,4.348831,0.535317
68,0.111335,0.111209,4.348877,0.535316
69,0.111275,0.111153,4.348943,0.535316
70,0.111239,0.111118,4.349011,0.535316
71,0.111216,0.111085,4.349079,0.535315
72,0.111205,0.111052,4.349147,0.535316
73,0.111198,0.111017,4.349209,0.535315
74,0.111196,0.110991,4.349275,0.535315
75,0.111194,0.110969,4.349336,0.535316
76,0.111188,0.110949,4.349400,0.535316
77,0.111180,0.110931,4.349470,0.535316
78,0.111172,0.110916,4.349546,0.535316
79,0.111165,0.110901,4.349624,0.535316
80,0.111157,0.110889,4.349697,0.535316
81,0.111139,0.110876,4.349750,0.535317
82,0.111120,0.110868,4.349796,0.535316
83,0.111104,0.110860,4.349839,0.535316
