sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta_second,error
0,True,-0.9999999999900022,-0.9999999999935869,115.25590408299335,24,True,4.47,0.389681,2.808150,3.023567,0.210855,0.215097,48.073133,0.982591,
1,True,-0.999999999997586,-0.999999999998727,82.11597654961189,23,True,4.18,0.309519,3.782918,2.758269,0.080243,0.684554,46.068405,1.245149,
2,True,-0.9999999999992022,-1.0000000000000095,249.611399831698,25,True,4.65,0.540754,4.836368,3.240903,0.091135,0.352873,19.105007,1.449461,
3,True,-0.999999999988766,-1.0000000000015596,99.31893591460093,48,True,9.04,0.288606,1.003907,4.851146,0.051847,0.396756,28.599837,1.563746,
4,True,-0.9999999939080609,-0.9999999986970943,132.4211282034844,29,True,5.15,0.304609,1.575593,1.709206,0.275271,0.311236,25.888621,1.802030,
5,True,-0.9999999999992638,-0.9999999999999948,55.88739641581073,25,True,4.73,0.450807,3.249344,3.754049,0.189776,0.505503,40.688544,0.511155,
6,True,-0.999999999997818,-0.999999999999174,107.0154354931304,23,True,4.22,0.337330,4.691684,2.861290,0.176627,0.660209,59.135016,1.387834,
7,True,-0.9999999999978987,-0.9999999999998523,70.10933478501636,23,True,4.41,0.384803,2.573346,3.998773,0.068442,0.672252,9.884504,0.714618,
8,True,-0.9999999999986766,-0.9999999999993504,257.536282938746,25,True,4.68,0.487214,2.657501,4.643367,0.124046,0.238860,4.586711,1.595651,
9,True,-0.9999999999990576,-1.000000000000192,253.1142717575861,24,True,4.40,0.456467,1.182038,1.574403,0.262007,0.544934,80.907546,2.004219,
10,True,-0.9999999999992505,-1.0000000000003193,379.24505472539414,22,True,4.08,0.557139,1.345530,3.524433,0.273051,0.449028,38.155848,2.080427,
11,True,-0.999999999589422,-0.9999999996717889,22.788385795206324,25,True,4.98,0.204508,3.592396,5.202684,0.152797,0.576560,12.557939,0.688868,
12,True,-0.999999999999454,-1.0000000000001947,219.5460172938112,25,True,4.95,0.573031,1.921327,5.546273,0.062818,0.530645,67.496866,1.223179,
13,True,-0.9999999999762639,-0.9999999999800692,111.45686408975806,26,True,5.16,0.257382,2.940512,5.436496,0.130821,0.289495,82.914562,2.160823,
14,True,-0.9999999996293227,-0.9999999998278,209.42716309735965,27,True,4.85,0.371760,3.005080,2.181903,0.094169,0.228902,30.092471,1.914750,
15,True,-0.9999999999993979,-1.0000000000001832,213.9892079681215,23,True,4.36,0.577108,2.006752,2.621293,0.232530,0.268290,61.632671,1.153176,
16,True,-0.9999999999725201,-0.9999999999877561,35.915257492489204,32,True,6.06,0.275921,2.122771,4.803871,0.134528,0.604025,87.841611,0.604527,
17,True,-0.9999999990575105,-0.9999999995387656,89.21847573520402,25,True,4.74,0.324969,4.122120,4.225026,0.149296,0.409737,77.875157,1.067067,
18,True,-0.9999999999967225,-0.999999999998928,120.72151865530228,35,True,6.80,0.355602,1.780730,5.982766,0.111770,0.497157,42.224640,1.327929,
19,True,-0.9999999999939594,-0.9999999999947561,86.47030603740525,24,True,4.74,0.248708,4.387878,5.829533,0.217012,0.425295,0.651794,1.894485,
20,True,-0.9999999999992292,-1.0000000000004088,460.1347168888048,23,True,3.93,0.593511,3.867906,1.177029,0.253569,0.592109,53.199073,2.211229,
21,True,-0.9999999999990162,-0.9999999999997835,82.76387968843592,25,True,4.89,0.419724,3.474812,5.163065,0.201448,0.551731,86.579253,0.796398,
22,True,-0.9999999998833028,-0.9999999999397046,38.38115722305875,28,True,4.91,0.225219,2.377035,2.453128,0.102838,0.471217,54.694058,0.959484,
23,True,-0.9999999999913805,-0.9999999999996796,276.5694540387007,29,True,5.51,0.467787,2.302638,4.493765,0.245376,0.460485,6.510631,1.646117,
24,True,-0.9999999999992119,-0.9999999999999103,257.68154558260665,36,True,6.71,0.435771,4.872947,3.451514,0.195708,0.262401,63.191869,2.422359,
25,True,-0.9999999999994529,-1.0000000000001474,315.9153353370243,32,True,5.57,0.532735,4.008654,1.334604,0.292569,0.320857,15.327623,2.240437,
26,True,-0.9999999999980237,-0.9999999999990625,81.87475813776356,25,True,4.45,0.233082,3.357876,2.037998,0.286153,0.627106,23.716600,2.450214,
27,True,-0.9999999999992962,-1.0000000000001439,124.51983449296722,24,True,4.19,0.503167,4.208425,1.126505,0.165644,0.336148,71.540147,0.888049,
28,True,-0.9999999999980854,-0.9999999999996366,258.17650870624453,23,True,4.36,0.405342,4.483392,4.133928,0.172414,0.637043,33.084521,2.333284,
29,True,-0.9999999999983512,-1.000000000000347,321.9502357829566,30,True,5.42,0.518081,1.531475,1.961724,0.240568,0.372039,74.634502,1.732911,
