Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.686000
1,0.438238,0.438238,-7.932091,0.625060
2,0.494309,0.494309,-41.557611,0.564122
3,0.494309,0.494309,-61.071979,0.503185
4,0.494309,0.494309,-76.331502,0.442248
5,0.494309,0.494309,-87.219410,0.381310
6,0.494309,0.494309,-94.346798,0.320373
7,0.494309,0.494309,-98.595594,0.259436
8,0.494309,0.494309,-100.853812,0.198498
9,0.494309,0.494309,-101.879295,0.137561
10,0.494309,0.494309,-102.244346,0.076624
11,0.494309,0.494309,-102.327917,0.015686
12,0.494340,0.494340,-102.334760,0.000000
13,0.000000,0.000000,-102.334767,0.000000
14,0.000000,0.000000,-102.334767,0.000000
15,0.000000,0.000000,-102.334767,0.000000
16,0.000000,0.000000,-102.334767,0.000000
17,0.000000,0.000000,-102.334767,0.000000
