sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,error
0,True,0.4368431484122565,0.32677831041703326,0.5353116959340921,150,True,56.46,0.493014,4.008150,3.856900,0.144189,0.199058,48.073133,
1,True,0.2999999999962141,0.299999999996206,-0.26874144065300554,44,True,15.11,0.253185,2.495191,1.145314,0.062913,0.356292,18.219705,
2,True,0.36486417079406,0.3832824017810022,0.366729106781163,150,True,55.33,0.588082,2.756965,2.259431,0.239773,0.304454,44.808548,
3,True,0.3495497273687069,0.3297156123716645,0.535761750356861,150,True,51.19,0.505632,1.715778,5.206985,0.272046,0.290293,39.320637,
4,True,0.2998179552590003,0.30033520671636676,0.1661085887246908,150,True,56.01,0.359622,3.774048,4.755546,0.282968,0.278457,12.950853,
5,True,0.30009567091052414,0.3024009416518504,-0.039022198253815504,150,True,51.02,0.453403,4.070999,2.612362,0.088580,0.395304,68.431586,
6,True,0.29994321409669583,0.2999437023137615,0.4889262822616563,119,True,46.85,0.474934,4.936573,5.128848,0.261085,0.315628,84.501965,
7,True,0.3156577822431159,0.32446522300181385,-0.02388609604585079,150,True,53.20,0.613996,3.625018,4.527957,0.134960,0.446125,65.135016,
8,True,0.2869061268456035,0.2966029978655741,-0.0020409989764789693,150,True,56.66,0.627567,3.514700,3.300015,0.191605,0.162131,52.005447,
9,True,0.30000000002359256,0.30000000002355093,0.02409816286460645,150,True,49.58,0.400598,4.629236,4.923514,0.170260,0.258602,11.656410,
10,True,0.2931459124470693,0.419124438780039,0.578251021365783,150,True,57.27,0.641088,3.203854,5.405794,0.068625,0.213653,37.339262,
11,True,0.29999999998860866,0.29999999998857896,0.07948327876630701,82,True,28.93,0.309211,4.559473,2.494864,0.163027,0.377854,79.774414,
12,True,0.35373210066374683,0.4149748456114087,0.4570334708403384,150,True,55.56,0.385288,1.902141,5.990283,0.230988,0.347064,73.014250,
13,True,0.305323526942097,0.30887290271449436,-0.6033919661996846,140,True,48.45,0.562573,1.962147,1.555948,0.296613,0.401860,62.499081,
14,True,0.372748711009015,0.38089508089928414,0.3033894932012086,150,True,55.52,0.343031,1.254660,4.046273,0.054484,0.228387,46.496866,
15,True,0.29999999998840177,0.29999999998841614,0.15330858875555206,150,True,51.73,0.274636,2.907157,5.592307,0.155158,0.186985,58.109152,
16,True,0.29999459547157553,0.2999946024490878,-0.7797261666299015,48,True,16.74,0.551842,2.188313,2.980332,0.175318,0.260914,6.900879,
17,True,0.30346390021131164,0.3009087658571478,0.039218782885272585,150,True,54.42,0.433122,3.804110,3.370208,0.077359,0.245506,2.183275,
18,True,0.2999999999894819,0.29999999998948007,-0.052516001453177946,35,True,12.32,0.302048,4.212986,1.757371,0.223314,0.286940,82.262341,
19,True,0.3453570207312149,0.3481521397234566,0.15112491630346125,150,True,52.97,0.447643,2.219118,2.040247,0.194004,0.175679,55.118073,
20,True,0.29988521101042864,0.29988519077126635,-0.14613192498876965,60,True,20.78,0.415545,4.380020,2.819259,0.288202,0.159584,25.518028,
21,True,0.31667043516596444,0.30741432613429553,0.09878435592460572,150,True,52.87,0.525602,4.847397,3.149433,0.103436,0.238294,75.224640,
22,True,0.3000370423607911,0.29977798239961806,-0.5872750860425934,150,True,45.15,0.535586,2.687084,1.901514,0.249810,0.410414,70.553090,
23,True,0.3011322826304802,0.3308958808622989,-0.06886666803146618,150,True,27.96,0.599564,3.388969,4.252224,0.254244,0.320622,4.284816,
24,True,0.3000000000379877,0.30000000003797545,-0.428875329271917,55,True,18.95,0.323687,1.631070,1.444739,0.112328,0.435611,29.935164,
25,True,0.3706076346805624,0.33081660769352794,0.1517982230653343,150,True,35.57,0.372316,1.413845,3.809958,0.120383,0.428914,15.983280,
26,True,0.30011102777829113,0.3002272894784124,-0.7601034294938998,137,True,39.30,0.486250,1.312077,1.212168,0.126928,0.388923,87.251964,
27,True,0.2999999999913202,0.29999999999131455,0.058820469721300395,56,True,11.76,0.286930,3.128345,4.407525,0.213576,0.201702,30.575246,
28,True,0.3154842125921456,0.3240049690468377,0.43793042748112393,150,True,45.62,0.352438,2.339613,5.784847,0.204041,0.367440,33.191869,
29,True,0.34545014705906185,0.31374290421591033,0.4837812390581017,150,True,27.51,0.581139,1.127345,3.594150,0.091730,0.331083,21.754176,
