sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta,error
0,True,-0.9999999999990651,-0.9999999999998805,-1.1637477681630752,37,True,7.14,0.389681,2.808150,3.023567,0.210855,0.215097,48.073133,0.589554,
1,True,-0.9999999999987927,-0.9999999999995319,-0.8518415530446082,35,True,6.45,0.309519,3.782918,2.758269,0.080243,0.684554,46.068405,0.747090,
2,True,-0.999999999999162,-1.0000000000001235,-1.3328144512758622,35,True,6.54,0.540754,4.836368,3.240903,0.091135,0.352873,19.105007,0.869676,
3,True,-0.9999999999904099,-0.9999999999941712,-0.10139962376193563,60,True,10.93,0.288606,1.003907,4.851146,0.051847,0.396756,28.599837,0.938248,
4,True,-0.9999999999989684,-0.9999999999997773,-235786.48864414555,150,False,25.38,0.304609,1.575593,1.709206,0.275271,0.311236,25.888621,1.081218,
5,True,-0.9999999999991934,-0.9999999999999472,-1.3400852980317501,28,True,5.29,0.450807,3.249344,3.754049,0.189776,0.505503,40.688544,0.306693,
6,True,-0.9999999999982849,-0.9999999999993691,-0.6190439072779592,28,True,4.92,0.337330,4.691684,2.861290,0.176627,0.660209,59.135016,0.832700,
7,True,-0.9999999999354334,-0.9999999999693975,-0.014341636726347293,81,True,14.50,0.384803,2.573346,3.998773,0.068442,0.672252,9.884504,0.428771,
8,True,-0.9999999999993314,-0.9999999999996525,-1.248776311159757,46,True,8.87,0.487214,2.657501,4.643367,0.124046,0.238860,4.586711,0.957391,
9,True,-0.9999999999984587,-1.0000000000003995,-1626521915517.968,150,False,27.21,0.456467,1.182038,1.574403,0.262007,0.544934,80.907546,1.202531,
10,True,-0.9999999999996133,-1.0000000000002505,-1537733720333021.0,150,False,28.13,0.557139,1.345530,3.524433,0.273051,0.449028,38.155848,1.248256,
11,True,-0.999999999919053,-0.9999999999422716,-0.012931289632813968,97,True,19.22,0.204508,3.592396,5.202684,0.152797,0.576560,12.557939,0.413321,
12,True,-0.9999999999985061,-1.0000000000011118,-0.8328461255900088,43,True,8.81,0.573031,1.921327,5.546273,0.062818,0.530645,67.496866,0.733908,
13,True,-0.9999999999983136,-0.9999999999996425,-9.809545586444712e+16,150,False,28.54,0.257382,2.940512,5.436496,0.130821,0.289495,82.914562,1.296494,
14,True,-0.9999999999991862,-0.9999999999999181,-126754.78367526978,78,True,13.36,0.371760,3.005080,2.181903,0.094169,0.228902,30.092471,1.148850,
15,True,-0.9999999999994958,-1.0000000000001743,-2.245483504492194,28,True,5.20,0.577108,2.006752,2.621293,0.232530,0.268290,61.632671,0.691905,
16,True,-0.9999999999671855,-0.9999999999869272,-0.03191847946587576,76,True,13.44,0.275921,2.122771,4.803871,0.134528,0.604025,87.841611,0.362716,
17,True,-0.9999999999977511,-0.9999999999994673,-0.4996193899845437,73,True,13.47,0.324969,4.122120,4.225026,0.149296,0.409737,77.875157,0.640240,
18,True,-0.9999999999989063,-0.9999999999993092,-0.7238089863380857,47,True,9.41,0.355602,1.780730,5.982766,0.111770,0.497157,42.224640,0.796758,
19,True,-0.9999999999518465,-0.9999999999626186,-9158231.497340143,150,False,30.61,0.248708,4.387878,5.829533,0.217012,0.425295,0.651794,1.136691,
20,True,-0.9999999999994577,-1.0000000000003137,-35906.1181952497,32,True,5.94,0.593511,3.867906,1.177029,0.253569,0.592109,53.199073,1.326737,
21,True,-0.9999999999941772,-0.99999999999893,-0.1864037846947152,62,True,12.23,0.419724,3.474812,5.163065,0.201448,0.551731,86.579253,0.477839,
22,True,-0.99999999999795,-0.9999999999988162,-0.5078159339306003,39,True,7.27,0.225219,2.377035,2.453128,0.102838,0.471217,54.694058,0.575690,
23,True,-0.9999999999980441,-0.9999999999996361,-1.0854607489152057,33,True,6.28,0.467787,2.302638,4.493765,0.245376,0.460485,6.510631,0.987670,
24,True,-0.999999999999617,-1.0000000000002136,-1.2449086539805387e+25,150,False,25.77,0.435771,4.872947,3.451514,0.195708,0.262401,63.191869,1.453416,
25,True,-0.9999999999992439,-1.0000000000003182,-26870.77241692434,31,True,5.20,0.532735,4.008654,1.334604,0.292569,0.320857,15.327623,1.344262,
26,True,-0.9999999999981827,-0.9999999999997843,-1.4399970799211775e+25,150,False,25.50,0.233082,3.357876,2.037998,0.286153,0.627106,23.716600,1.470128,
27,True,-0.9999999999993049,-1.0000000000002656,-1.5064673272501714,35,True,5.79,0.503167,4.208425,1.126505,0.165644,0.336148,71.540147,0.532829,
28,True,-0.999999999999393,-1.0000000000001281,-2.7807084545384783e+22,150,False,28.43,0.405342,4.483392,4.133928,0.172414,0.637043,33.084521,1.399970,
29,True,-0.999999999999043,-1.000000000000276,-10.850214050542402,38,True,7.10,0.518081,1.531475,1.961724,0.240568,0.372039,74.634502,1.039747,
