sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,error
0,True,0.12874311407211259,0.12867836788279124,4.385585152446939,200,True,619.18,0.551130,3.173667,2.114242,0.067211,0.405435,
1,True,0.1380447730463917,0.13804477304738882,4.154012100781281,30,True,91.50,0.630122,2.494332,1.306418,0.193488,0.517298,
2,True,0.11666762084567454,0.11666762084576691,4.403565046296315,35,True,108.80,0.528146,4.584394,1.220684,0.094709,0.265340,
3,True,0.09383611918149744,0.09385137838341484,4.574552676000722,71,True,206.77,0.473864,3.466725,2.468085,0.078689,0.480210,
4,True,0.14857279065078616,0.1485727906645531,4.2351726281200195,32,True,96.58,0.666210,3.898728,1.390879,0.166428,0.509330,
5,True,0.17329912286272986,0.17329912286289775,4.303363502734845,26,True,78.20,0.694027,4.251997,2.288686,0.149383,0.335902,
6,True,0.13860644348984136,0.13829634795492857,4.347595595709907,200,True,620.04,0.571276,2.541949,1.290225,0.128518,0.421183,
7,True,0.14236404537163644,0.1426809063289821,4.229222128306781,200,True,465.87,0.614053,2.412205,2.155729,0.053092,0.467981,
8,True,0.12438426323803808,0.12438461561691262,4.4006412237134835,46,True,141.08,0.512814,3.690039,1.338992,0.172751,0.317006,
9,True,0.09764935076710995,0.09764942360588458,4.412782884544731,74,True,215.93,0.545976,3.776751,1.981350,0.215270,0.507161,
10,True,0.09696656608438395,0.09696656606987449,4.431240967962688,61,True,181.39,0.459000,4.519558,1.366392,0.107341,0.287769,
11,True,0.1263732005126661,0.12554380568214143,4.320257869737583,200,True,612.59,0.596096,3.652465,1.432938,0.229441,0.429313,
12,True,0.13446473925572675,0.13461263570339785,4.24069702441475,111,True,352.85,0.576658,2.031734,1.883043,0.154940,0.366192,
13,True,0.1247216388787438,0.12472163887657917,4.402222804274995,29,True,85.76,0.532232,2.746448,2.370881,0.093877,0.409380,
14,True,0.13973513380236086,0.13963419550545556,4.466477114186091,200,True,609.88,0.503927,2.095488,2.324398,0.057064,0.285650,
15,True,0.10429610366399131,0.10429610279303078,4.436939319821322,40,True,116.76,0.593593,4.742384,1.460143,0.219772,0.431297,
