Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.914375
1,0.293416,0.293416,3.496422,0.804763
2,0.290449,0.290449,3.902242,0.695150
3,0.290449,0.290449,4.340783,0.620853
4,0.266950,0.266950,4.589450,0.620854
5,0.220841,0.220841,4.554797,0.620852
6,0.250625,0.250625,4.558960,0.620853
7,0.210703,0.210703,4.539937,0.620853
8,0.231592,0.231592,4.524224,0.620853
9,0.194778,0.194778,4.509455,0.620852
10,0.211299,0.211299,4.489595,0.620853
11,0.179351,0.179351,4.494193,0.620853
12,0.203275,0.203275,4.474927,0.620854
13,0.175696,0.175696,4.485252,0.620852
14,0.200719,0.200719,4.468749,0.620853
15,0.173824,0.173824,4.477373,0.620853
16,0.198928,0.198928,4.463590,0.620853
17,0.171804,0.171804,4.466675,0.620852
18,0.196564,0.196564,4.456589,0.620853
19,0.168546,0.168546,4.452889,0.620854
20,0.192589,0.192589,4.447337,0.620852
21,0.163635,0.163635,4.437306,0.620852
22,0.188209,0.188209,4.432293,0.620854
23,0.160183,0.160183,4.417540,0.620853
24,0.184154,0.184154,4.413301,0.620853
25,0.157498,0.157498,4.394242,0.620853
26,0.177515,0.177515,4.388331,0.620854
27,0.154292,0.154292,4.370950,0.620853
28,0.168833,0.168832,4.364000,0.620853
29,0.151641,0.151638,4.357221,0.620852
30,0.163995,0.163991,4.358252,0.620853
31,0.159477,0.159495,4.382519,0.620853
32,0.170761,0.170728,4.447129,0.620853
33,0.180375,0.180362,4.518904,0.620852
34,0.188544,0.188581,4.576062,0.620853
35,0.193322,0.193358,4.624763,0.620853
36,0.193776,0.193621,4.664785,0.620853
37,0.190071,0.189393,4.690626,0.620852
38,0.183707,0.182734,4.698699,0.620853
39,0.177456,0.176696,4.695432,0.620853
40,0.173369,0.172697,4.689481,0.620853
41,0.170227,0.169808,4.683216,0.620852
42,0.166505,0.166681,4.677733,0.620852
43,0.161652,0.162675,4.668407,0.620853
44,0.155513,0.157523,4.657929,0.620853
45,0.148684,0.150740,4.647749,0.620853
46,0.141242,0.142917,4.639992,0.620853
47,0.133393,0.134526,4.639939,0.620852
48,0.124983,0.125498,4.638041,0.620853
49,0.117373,0.117315,4.627395,0.620852
50,0.112640,0.112625,4.605897,0.620852
51,0.110767,0.111057,4.577330,0.620853
52,0.110359,0.110791,4.546127,0.620853
53,0.112111,0.112466,4.513062,0.620853
54,0.114748,0.115153,4.482374,0.620853
55,0.117221,0.117715,4.454410,0.620853
56,0.119241,0.119839,4.429385,0.620854
57,0.120847,0.121543,4.406615,0.620853
58,0.122585,0.123296,4.386168,0.620853
59,0.124589,0.125222,4.368114,0.620853
60,0.126546,0.127291,4.352378,0.620853
61,0.128510,0.129314,4.338661,0.620854
62,0.130420,0.131265,4.326727,0.620853
63,0.132206,0.133073,4.317039,0.620852
64,0.133800,0.134579,4.309326,0.620853
65,0.135149,0.135896,4.303493,0.620854
66,0.136379,0.137119,4.298843,0.620853
67,0.137433,0.138150,4.295622,0.620853
68,0.138246,0.138910,4.293525,0.620852
69,0.138655,0.139311,4.292558,0.620853
70,0.138742,0.139405,4.292167,0.620853
71,0.138744,0.139406,4.291963,0.620853
72,0.138737,0.139398,4.291773,0.620854
73,0.138720,0.139393,4.291560,0.620853
74,0.138703,0.139390,4.291359,0.620853
75,0.138686,0.139387,4.291161,0.620853
76,0.138669,0.139384,4.290964,0.620853
77,0.138653,0.139384,4.290783,0.620853
78,0.138643,0.139380,4.290677,0.620853
79,0.138634,0.139375,4.290571,0.620853
80,0.138621,0.139376,4.290443,0.620853
81,0.138614,0.139378,4.290346,0.620853
82,0.138609,0.139380,4.290255,0.620853
83,0.138604,0.139381,4.290161,0.620852
84,0.138598,0.139383,4.290071,0.620853
85,0.138593,0.139384,4.289984,0.620853
86,0.138587,0.139386,4.289905,0.620852
87,0.138581,0.139390,4.289839,0.620852
