sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta_second,error
0,True,-0.9999999999990757,-0.9999999999998428,85.07859435975179,24,True,4.38,0.389681,2.808150,3.023567,0.210855,0.215097,48.073133,0.982591,
1,True,-0.9999999999988235,-0.9999999999994806,69.31467796556379,33,True,5.80,0.309519,3.782918,2.758269,0.080243,0.684554,46.068405,1.245149,
2,True,-0.9999999999990343,-1.0000000000000764,267.9610423923481,25,True,4.64,0.540754,4.836368,3.240903,0.091135,0.352873,19.105007,1.449461,
3,True,-0.999999999989343,-0.9999999999948405,99.6280204499079,47,True,8.75,0.288606,1.003907,4.851146,0.051847,0.396756,28.599837,1.563746,
4,True,-0.9999999999988838,-0.9999999999997683,92.35520812133194,29,True,5.16,0.304609,1.575593,1.709206,0.275271,0.311236,25.888621,1.802030,
5,True,-0.9999999999991821,-0.9999999999999868,58.192966927920935,27,True,5.01,0.450807,3.249344,3.754049,0.189776,0.505503,40.688544,0.511155,
6,True,-0.9999999999981921,-0.9999999999994497,102.70574008407715,27,True,4.86,0.337330,4.691684,2.861290,0.176627,0.660209,59.135016,1.387834,
7,True,-0.9999999999886706,-0.9999999999958741,81.73979064158132,23,True,4.42,0.384803,2.573346,3.998773,0.068442,0.672252,9.884504,0.714618,
8,True,-0.99999999999892,-0.9999999999994004,255.31451934515292,25,True,4.75,0.487214,2.657501,4.643367,0.124046,0.238860,4.586711,1.595651,
9,True,-0.9999999999987864,-1.0000000000001024,270.4278946982612,23,True,4.02,0.456467,1.182038,1.574403,0.262007,0.544934,80.907546,2.004219,
10,True,-0.9999999999993019,-1.0000000000001574,373.68618195339565,22,True,4.15,0.557139,1.345530,3.524433,0.273051,0.449028,38.155848,2.080427,
11,True,-0.9999916762655773,-0.9999932131722872,22.81876294436934,25,True,5.04,0.204508,3.592396,5.202684,0.152797,0.576560,12.557939,0.688868,
12,True,-0.9999999999985045,-1.0000000000011544,270.10981473574486,25,True,5.00,0.573031,1.921327,5.546273,0.062818,0.530645,67.496866,1.223179,
13,True,-0.9999999999955415,-0.9999999999971199,103.74763254270164,26,True,5.06,0.257382,2.940512,5.436496,0.130821,0.289495,82.914562,2.160823,
14,True,-0.9999999999991532,-0.9999999999999153,144.6564446043954,27,True,4.94,0.371760,3.005080,2.181903,0.094169,0.228902,30.092471,1.914750,
15,True,-0.9999999999995174,-1.0000000000002007,198.38123730305412,23,True,4.37,0.577108,2.006752,2.621293,0.232530,0.268290,61.632671,1.153176,
16,True,-0.9999999999314664,-0.9999999999775833,36.23286436086042,30,True,5.53,0.275921,2.122771,4.803871,0.134528,0.604025,87.841611,0.604527,
17,True,-0.9999997978639233,-0.9999998853533418,89.25071098195582,25,True,4.78,0.324969,4.122120,4.225026,0.149296,0.409737,77.875157,1.067067,
18,True,-0.9999999999987854,-0.9999999999993361,107.62457224847728,36,True,6.94,0.355602,1.780730,5.982766,0.111770,0.497157,42.224640,1.327929,
19,True,-0.9999510508829205,-0.9999705246571549,92.81285991908211,24,True,4.75,0.248708,4.387878,5.829533,0.217012,0.425295,0.651794,1.894485,
20,True,-0.9999999999994992,-1.0000000000002616,413.73452637977584,23,True,4.04,0.593511,3.867906,1.177029,0.253569,0.592109,53.199073,2.211229,
21,True,-0.9999999999396286,-0.9999999999931389,110.60330493379024,23,True,4.49,0.419724,3.474812,5.163065,0.201448,0.551731,86.579253,0.796398,
22,True,-0.9999999999979274,-0.9999999999988223,29.964394784425274,28,True,5.03,0.225219,2.377035,2.453128,0.102838,0.471217,54.694058,0.959484,
23,True,-0.9999999999979859,-0.9999999999995081,259.99358688659754,23,True,4.42,0.467787,2.302638,4.493765,0.245376,0.460485,6.510631,1.646117,
24,True,-0.9999999999991667,-0.9999999999998578,263.738507379398,29,True,5.41,0.435771,4.872947,3.451514,0.195708,0.262401,63.191869,2.422359,
25,True,-0.9999999999992484,-1.0000000000003253,378.24799878004364,23,True,4.03,0.532735,4.008654,1.334604,0.292569,0.320857,15.327623,2.240437,
26,True,-0.9999999999921525,-0.9999999999957019,99.30694490921732,24,True,4.30,0.233082,3.357876,2.037998,0.286153,0.627106,23.716600,2.450214,
27,True,-0.9999999999992897,-1.0000000000002223,127.09140375462513,24,True,4.18,0.503167,4.208425,1.126505,0.165644,0.336148,71.540147,0.888049,
28,True,-0.9999999999987352,-0.9999999999996307,244.22573226021484,26,True,5.02,0.405342,4.483392,4.133928,0.172414,0.637043,33.084521,2.333284,
29,True,-0.9999999999989296,-1.0000000000003348,299.70578934502544,23,True,4.09,0.518081,1.531475,1.961724,0.240568,0.372039,74.634502,1.732911,
