Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.916800
1,0.273429,0.273429,-361.030889,0.851055
2,0.329359,0.329359,-390.343983,0.785329
3,0.329359,0.329359,-453.174207,0.719604
4,0.329359,0.329359,-500.983644,0.653878
5,0.329359,0.329359,-535.601440,0.588153
6,0.329359,0.329359,-559.449215,0.522427
7,0.329359,0.329359,-575.016579,0.456702
8,0.329359,0.329359,-584.567550,0.390976
9,0.329359,0.329359,-589.999998,0.325251
10,0.329359,0.329359,-592.801874,0.259525
11,0.329359,0.329359,-594.065170,0.193800
12,0.329359,0.329359,-594.531907,0.128074
13,0.329359,0.329359,-594.656249,0.062348
14,0.329356,0.329356,-594.673887,0.000000
15,0.000000,0.000000,-594.674392,0.000000
16,0.000000,0.000000,-594.674392,0.000000
17,0.000000,0.000000,-594.674392,0.000000
18,0.000000,0.000000,-594.674392,0.000000
19,0.000000,0.000000,-594.674392,0.000000
