sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,error
0,True,-0.9806923142829417,-0.9881444728488595,0.9806923142829417,21,True,4.30,0.443014,4.008150,3.856900,0.144189,0.281764,48.073133,
1,True,-0.9966764689808578,-0.9970445328067125,0.9966764689808578,21,True,3.96,0.203185,2.495191,1.145314,0.062913,0.543820,18.219705,
2,True,-0.9805238718614158,-0.9880711415103225,0.9805238718614158,21,True,4.09,0.538082,2.756965,2.259431,0.239773,0.457424,44.808548,
3,True,-0.9769206971240221,-0.9807160455258263,0.9769206971240221,21,True,4.38,0.455632,1.715778,5.206985,0.272046,0.433822,39.320637,
4,True,-0.9832301737594301,-0.9906515079504462,0.9832301737594301,21,True,4.47,0.309622,3.774048,4.755546,0.282968,0.414095,12.950853,
5,True,-0.9853162191475339,-0.9920778474535461,0.9853162191475339,21,True,3.91,0.403403,4.070999,2.612362,0.088580,0.608841,68.431586,
6,True,-0.9801653076557161,-0.9835340084312544,0.9801653076557161,21,True,4.49,0.424934,4.936573,5.128848,0.261085,0.476047,84.501965,
7,True,-0.9805148345893995,-0.986634155792514,0.9805148345893995,21,True,4.27,0.563996,3.625018,4.527957,0.134960,0.693542,65.135016,
8,True,-0.9771068149275525,-0.9856586765858488,0.9771068149275525,21,True,4.26,0.577567,3.514700,3.300015,0.191605,0.220218,52.005447,
9,True,-0.9910631400306532,-0.9958541639172279,0.9910631400306532,21,True,4.31,0.350598,4.629236,4.923514,0.170260,0.381003,11.656410,
10,True,-0.9858179896846544,-0.9910060883479401,0.9858179896846544,21,True,4.57,0.591088,3.203854,5.405794,0.068625,0.306088,37.339262,
11,True,-0.9816082396768185,-0.9855835519373585,0.9816082396768185,21,True,3.93,0.259211,4.559473,2.494864,0.163027,0.579757,79.774414,
12,True,-0.9837198595235823,-0.9897059411094329,0.9837198595235823,21,True,4.53,0.335288,1.902141,5.990283,0.230988,0.528440,73.014250,
13,True,-0.9819003612635784,-0.9861432647214676,0.9819003612635784,21,True,3.81,0.512573,1.962147,1.555948,0.296613,0.619766,62.499081,
14,True,-0.999999998588875,-0.9999999988105137,0.999999998588875,21,True,4.31,0.293031,1.254660,4.046273,0.054484,0.330645,46.496866,
15,True,-0.9830674703807446,-0.9912691230297935,0.9830674703807446,21,True,4.65,0.224636,2.907157,5.592307,0.155158,0.261641,58.109152,
16,True,-0.987155904517925,-0.9929908422271004,0.987155904517925,21,True,4.13,0.501842,2.188313,2.980332,0.175318,0.384857,6.900879,
17,True,-0.9867526229623782,-0.9924969504446166,0.9867526229623782,21,True,4.11,0.383122,3.804110,3.370208,0.077359,0.359177,2.183275,
18,True,-0.9787349205789997,-0.9812673034957932,0.9787349205789997,21,True,3.91,0.252048,4.212986,1.757371,0.223314,0.428234,82.262341,
19,True,-0.987493353606196,-0.9932490357396488,0.987493353606196,21,True,3.98,0.397643,2.219118,2.040247,0.194004,0.242798,55.118073,
20,True,-0.9807147962543885,-0.9826934402912307,0.9807147962543885,21,True,4.03,0.365545,4.380020,2.819259,0.288202,0.215973,25.518028,
21,True,-0.9796758164274468,-0.9874887484102833,0.9796758164274468,21,True,4.11,0.475602,4.847397,3.149433,0.103436,0.347157,75.224640,
22,True,-0.9831320625020451,-0.9892100505014367,0.9831320625020451,21,True,3.88,0.485586,2.687084,1.901514,0.249810,0.634024,70.553090,
23,True,-0.9999999383846015,-0.9999999568341106,0.9999999383846015,21,True,4.29,0.549564,3.388969,4.252224,0.254244,0.484370,4.284816,
24,True,-0.9876565196452628,-0.9941228429356141,0.9876565196452628,21,True,3.89,0.273687,1.631070,1.444739,0.112328,0.676018,29.935164,
25,True,-0.9876807409695526,-0.9968985739014224,0.9876807409695526,21,True,4.24,0.322316,1.413845,3.809958,0.120383,0.664857,15.983280,
26,True,-0.9945881914646887,-0.9980102635405342,0.9945881914646887,21,True,3.85,0.436250,1.312077,1.212168,0.126928,0.598204,87.251964,
27,True,-0.9841460372408721,-0.9898975955645286,0.9841460372408721,21,True,4.35,0.236930,3.128345,4.407525,0.213576,0.286170,30.575246,
28,True,-0.9904562312834257,-0.9946123887621243,0.9904562312834257,21,True,4.68,0.302438,2.339613,5.784847,0.204041,0.562401,33.191869,
29,True,-0.9935505864109424,-0.9965663343560864,0.9935505864109424,21,True,4.09,0.531139,1.127345,3.594150,0.091730,0.501805,21.754176,
