Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.918000
1,0.292222,0.292222,126.702990,0.653549
2,0.310247,0.310247,171.377805,0.515175
3,0.302185,0.302185,135.262190,0.515175
4,0.267129,0.267132,91.675565,0.515176
5,0.249322,0.249329,88.800954,0.515174
6,0.255306,0.255231,85.881848,0.515175
7,0.247140,0.246900,84.495561,0.515176
8,0.241714,0.240926,83.061526,0.515175
9,0.235303,0.233448,78.046048,0.515176
10,0.224595,0.221587,78.507778,0.515175
11,0.216509,0.213045,79.888574,0.515174
12,0.217396,0.215215,81.108442,0.515176
13,0.218799,0.217995,81.048858,0.515175
14,0.218462,0.222366,78.547732,0.515175
15,0.214980,0.221017,76.934867,0.515176
16,0.208777,0.212542,77.315510,0.515175
17,0.203314,0.206962,77.861034,0.515175
18,0.201795,0.206206,78.999624,0.515175
19,0.202389,0.207503,80.097147,0.515175
20,0.204905,0.208841,80.925454,0.515175
21,0.207625,0.209392,81.116566,0.515175
22,0.209888,0.209699,80.663074,0.515175
23,0.207542,0.207725,80.551016,0.515175
24,0.204051,0.205113,80.427539,0.515175
25,0.201049,0.203056,80.505336,0.515175
26,0.199042,0.202505,80.782130,0.515175
27,0.198364,0.203749,80.915974,0.515176
28,0.198646,0.205513,80.839786,0.515176
29,0.198646,0.206004,80.891069,0.515176
30,0.198490,0.205457,81.183616,0.515175
31,0.197722,0.204129,81.367203,0.515175
32,0.197071,0.203367,81.445614,0.515175
33,0.196701,0.202872,81.624990,0.515175
34,0.196466,0.202330,81.571230,0.515175
35,0.196619,0.202474,81.208952,0.515175
36,0.196867,0.203369,80.476775,0.515175
37,0.197507,0.204018,80.075487,0.515175
38,0.198043,0.204006,80.185166,0.515176
39,0.198417,0.203816,80.502093,0.515175
40,0.198824,0.203834,80.875127,0.515176
41,0.199502,0.204209,81.054324,0.515174
42,0.200533,0.204958,81.289387,0.515175
43,0.201413,0.205705,81.474549,0.515175
44,0.202615,0.207170,81.098166,0.515175
45,0.203320,0.208625,80.469124,0.515175
46,0.204588,0.210972,79.325541,0.515175
47,0.205127,0.211188,79.167258,0.515174
48,0.204670,0.209575,79.881604,0.515175
49,0.204173,0.208326,80.326525,0.515175
50,0.203778,0.207529,80.483711,0.515174
51,0.203730,0.207354,80.723496,0.515175
52,0.204015,0.207598,81.255687,0.515176
53,0.204904,0.208270,81.526028,0.515175
54,0.206168,0.209328,81.060595,0.515175
55,0.207773,0.210635,79.702600,0.515176
56,0.208915,0.210276,78.810336,0.515175
57,0.207730,0.209056,78.938946,0.515175
58,0.206825,0.208063,79.316033,0.515176
59,0.206734,0.207747,79.564777,0.515176
60,0.207514,0.208379,79.459678,0.515174
61,0.208453,0.209046,79.474356,0.515175
62,0.207889,0.208708,80.564040,0.515175
63,0.208053,0.210069,80.612529,0.515175
64,0.207494,0.209728,80.413056,0.515175
65,0.207885,0.210619,78.971592,0.515174
66,0.208122,0.211594,78.223842,0.515175
67,0.206831,0.209723,78.880173,0.515175
68,0.205732,0.208072,79.458349,0.515174
69,0.205750,0.207650,79.631566,0.515175
70,0.207156,0.208552,79.496585,0.515175
71,0.209562,0.210235,79.327315,0.515175
72,0.210102,0.210735,80.405497,0.515176
73,0.210514,0.211739,81.091846,0.515174
74,0.210356,0.212349,80.907669,0.515175
75,0.210130,0.213878,79.629740,0.515175
76,0.211464,0.215781,78.536696,0.515175
77,0.210156,0.213216,79.465384,0.515175
78,0.209193,0.210772,80.346976,0.515175
79,0.209579,0.210143,80.377030,0.515175
80,0.211608,0.211980,79.404402,0.515175
81,0.211618,0.212112,80.126639,0.515175
82,0.211052,0.211974,81.192486,0.515175
83,0.211264,0.212818,81.013598,0.515176
84,0.211773,0.214630,79.613301,0.515175
85,0.212338,0.214944,79.048939,0.515175
86,0.210162,0.211883,79.917930,0.515174
87,0.209536,0.210298,80.312418,0.515175
88,0.211619,0.211562,79.625393,0.515174
89,0.212488,0.212410,79.297278,0.515175
90,0.210932,0.211432,80.453149,0.515175
91,0.210296,0.211792,81.259433,0.515176
92,0.210476,0.213128,80.742669,0.515175
93,0.211832,0.215516,79.102288,0.515175
94,0.211832,0.214388,79.296562,0.515175
95,0.210741,0.212018,80.218375,0.515176
