Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.843600
1,-1.000000,-1.000000,-8.497937,0.756846
2,-1.000000,-1.000000,-4.814711,0.670091
3,-1.000000,-1.000000,-2.995144,0.583337
4,-1.000000,-1.000000,-1.901743,0.496583
5,-1.000000,-1.000000,-1.197854,0.409829
6,-1.000000,-1.000000,-0.722748,0.323074
7,-1.000000,-1.000000,-0.398796,0.236320
8,-1.000000,-1.000000,-0.186410,0.225219
9,-1.000000,-1.000000,-0.165706,0.225219
10,-1.000000,-1.000000,-0.146650,0.225219
11,-1.000000,-1.000000,-0.089499,0.225219
12,-1.000000,-1.000000,-0.029585,0.225219
13,-1.000000,-1.000000,-0.003995,0.225219
14,-1.000000,-1.000000,-0.000455,0.225219
15,-1.000000,-1.000000,-0.000440,0.225219
16,-1.000000,-1.000000,-0.000985,0.225219
17,-1.000000,-1.000000,-0.002131,0.225219
18,-1.000000,-1.000000,-0.003945,0.225219
19,-1.000000,-1.000000,-0.005755,0.225219
20,-1.000000,-1.000000,-0.007949,0.225219
21,-1.000000,-1.000000,-0.008604,0.225219
22,-1.000000,-1.000000,-0.010641,0.225219
23,-1.000000,-1.000000,-0.017238,0.225219
24,-1.000000,-1.000000,-0.024934,0.225219
25,-1.000000,-1.000000,-0.032022,0.225219
26,-1.000000,-1.000000,-0.037746,0.225219
27,-1.000000,-1.000000,-0.042069,0.225219
28,-1.000000,-1.000000,-0.045755,0.225219
29,-1.000000,-1.000000,-0.049837,0.225219
30,-1.000000,-1.000000,-0.053502,0.225219
31,-1.000000,-1.000000,-0.056507,0.225219
32,-1.000000,-1.000000,-0.058562,0.225219
33,-1.000000,-1.000000,-0.059705,0.225219
34,-1.000000,-1.000000,-0.059472,0.225219
35,-1.000000,-1.000000,-0.057778,0.225219
36,-1.000000,-1.000000,-0.056958,0.225219
37,-1.000000,-1.000000,-0.056360,0.225219
38,-1.000000,-1.000000,-0.057031,0.225219
39,-1.000000,-1.000000,-0.060333,0.225219
40,-1.000000,-1.000000,-0.064478,0.225219
41,-1.000000,-1.000000,-0.069623,0.225219
42,-1.000000,-1.000000,-0.074123,0.225219
43,-1.000000,-1.000000,-0.076619,0.225219
44,-1.000000,-1.000000,-0.078302,0.225219
45,-1.000000,-1.000000,-0.079571,0.225219
46,-1.000000,-1.000000,-0.081148,0.225219
47,-1.000000,-1.000000,-0.083220,0.225219
48,-1.000000,-1.000000,-0.086343,0.225219
49,-1.000000,-1.000000,-0.089909,0.225219
50,-1.000000,-1.000000,-0.093787,0.225219
51,-1.000000,-1.000000,-0.097291,0.225219
52,-1.000000,-1.000000,-0.100442,0.225219
53,-1.000000,-1.000000,-0.103343,0.225219
54,-1.000000,-1.000000,-0.106052,0.225219
55,-1.000000,-1.000000,-0.108783,0.225219
56,-1.000000,-1.000000,-0.111680,0.225219
57,-1.000000,-1.000000,-0.114453,0.225219
58,-1.000000,-1.000000,-0.116851,0.225219
59,-1.000000,-1.000000,-0.118891,0.225219
60,-1.000000,-1.000000,-0.120663,0.225219
61,-1.000000,-1.000000,-0.122212,0.225219
