Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.887500
1,0.280345,0.280345,3.340737,0.799031
2,0.267898,0.267898,4.081299,0.710562
3,0.267898,0.267898,4.683104,0.622094
4,0.267898,0.267898,5.170393,0.582721
5,0.188120,0.188120,5.304148,0.582721
6,0.221887,0.221887,5.300700,0.582720
7,0.141972,0.141972,5.270025,0.582722
8,0.175947,0.175947,5.222687,0.582722
9,0.110125,0.110125,5.166251,0.582722
10,0.148129,0.148129,5.075756,0.582721
11,0.104969,0.104969,4.932228,0.582722
12,0.103491,0.103491,4.822187,0.582720
13,0.098739,0.098739,4.732311,0.582722
14,0.101192,0.101192,4.671192,0.582720
15,0.105128,0.105128,4.617732,0.582721
16,0.112155,0.112155,4.557460,0.582721
17,0.118070,0.118070,4.517678,0.582721
18,0.122212,0.122212,4.491000,0.582721
19,0.126193,0.126193,4.466802,0.582721
20,0.129606,0.129606,4.444592,0.582721
21,0.130988,0.130988,4.437299,0.582721
22,0.131514,0.131514,4.435410,0.582721
23,0.131767,0.131767,4.434156,0.582721
24,0.132037,0.132037,4.432629,0.582721
25,0.132268,0.132268,4.430815,0.582721
26,0.132389,0.132389,4.428630,0.582721
27,0.132465,0.132465,4.426072,0.582721
28,0.132540,0.132540,4.423080,0.582721
29,0.132652,0.132652,4.419796,0.582720
30,0.132808,0.132808,4.416460,0.582720
31,0.132970,0.132970,4.413309,0.582721
32,0.133071,0.133071,4.411394,0.582721
33,0.133093,0.133093,4.411070,0.582722
