sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta_second,error
0,True,1.7154589278503522e-24,1.7154589278491334e-24,-338.0308993733533,12,True,4.60,0.579808,1.524890,2.814140,0.166513,0.209435,43.243880,1.269554,
1,True,1.7154589278503522e-24,1.7154589278491334e-24,-308.9355405293145,10,True,3.88,0.483711,2.589751,4.454961,0.263146,0.420439,4.241043,1.667090,
2,True,1.7154589278503522e-24,1.7154589278491334e-24,-300.48913806389083,15,True,5.07,0.398453,4.821821,1.544542,0.119681,0.217034,36.663004,2.389676,
3,True,1.7154589278503522e-24,1.7154589278491334e-24,-48.21672390825824,12,True,4.88,0.287164,3.882344,5.810688,0.191108,0.412832,49.559902,0.738248,
4,True,1.7154589278503522e-24,1.7154589278491334e-24,-203.34220725471943,11,True,4.22,0.632766,2.145356,1.925524,0.220162,0.316045,2.933173,0.641218,
5,True,1.7154589278503522e-24,1.7154589278491334e-24,-59.74541657408946,12,True,4.00,0.256484,1.949606,1.752430,0.173865,0.265981,58.613127,1.146693,
6,True,1.7154589278503522e-24,1.7154589278491334e-24,-135.04128943106764,17,True,7.29,0.308398,1.215011,5.316774,0.095976,0.309675,19.281009,1.792700,
7,True,1.7154589278503522e-24,1.7154589278491334e-24,-164.74417122083895,24,True,9.13,0.344882,3.864007,4.699264,0.056065,0.434011,22.130702,1.748771,
8,True,1.7154589278503522e-24,1.7154589278491334e-24,-320.52186977648745,16,True,6.15,0.414329,1.434501,2.586020,0.109427,0.277990,67.552027,2.357391,
9,True,1.7154589278503522e-24,1.7154589278491334e-24,-168.60541200073925,25,True,9.12,0.451880,3.189223,4.544642,0.052204,0.328176,73.744528,1.042531,
10,True,1.7154589278503522e-24,1.7154589278491334e-24,-130.2349918026872,18,True,7.57,0.440283,4.407318,5.414660,0.088830,0.419650,46.293509,0.848256,
11,True,1.7154589278503522e-24,1.7154589278491334e-24,-749.1809424923115,10,True,3.57,0.636705,3.115437,2.721610,0.281678,0.381562,11.134763,2.333321,
12,True,1.7154589278503522e-24,1.7154589278491334e-24,-29.879405112607774,10,True,4.59,0.265818,4.112796,4.827764,0.287691,0.245032,27.898119,0.533908,
13,True,1.7154589278503522e-24,1.7154589278491334e-24,-499.4261612046507,13,True,4.69,0.548429,4.644307,3.461898,0.163492,0.290218,42.548737,2.096494,
14,True,1.7154589278503522e-24,1.7154589278491334e-24,-162.7671033973008,12,True,4.73,0.369056,2.923048,1.209142,0.196501,0.400405,79.255483,1.508850,
15,True,1.7154589278503522e-24,1.7154589278491334e-24,-183.20480546660764,17,True,6.05,0.460265,3.524051,3.372776,0.094518,0.198584,78.379603,1.091905,
16,True,1.7154589278503522e-24,1.7154589278491334e-24,-210.2433379408247,22,True,9.00,0.623552,3.033662,4.782323,0.065717,0.337449,76.104967,0.682716,
17,True,1.7154589278503522e-24,1.7154589278491334e-24,-463.6424697580597,10,True,3.71,0.540982,3.353272,3.535015,0.259578,0.171505,53.925094,2.000240,
18,True,1.7154589278503522e-24,1.7154589278491334e-24,-395.6941825327355,13,True,5.11,0.559361,3.788438,2.089660,0.147062,0.334976,37.934784,1.596758,
19,True,1.7154589278503522e-24,1.7154589278491334e-24,-636.2264213939726,11,True,4.26,0.567225,3.992727,4.997720,0.245207,0.177106,88.591077,2.496691,
20,True,1.7154589278503522e-24,1.7154589278491334e-24,-210.35039060887019,10,True,4.85,0.350107,2.800743,5.606217,0.277141,0.363159,35.519444,2.166737,
21,True,1.7154589278503522e-24,1.7154589278491334e-24,-352.2998679771569,12,True,3.85,0.445835,2.484887,1.497839,0.180869,0.228623,41.147552,2.237839,
22,True,1.7154589278503522e-24,1.7154589278491334e-24,-97.8269496514283,10,True,3.60,0.273131,2.226221,4.071877,0.251703,0.157638,81.416435,1.655690,
23,True,1.7154589278503522e-24,1.7154589278491334e-24,-95.53666542596356,14,True,4.76,0.290672,4.181583,2.296259,0.132226,0.447774,68.706378,1.427670,
24,True,1.7154589278503522e-24,1.7154589278491334e-24,-412.68080352294135,14,True,5.17,0.575463,1.963768,3.770908,0.127425,0.304464,5.515122,1.573416,
25,True,1.7154589278503522e-24,1.7154589278491334e-24,-569.6643144623556,14,True,5.17,0.649641,3.445192,3.800762,0.135542,0.295508,14.596574,1.704262,
26,True,1.7154589278503522e-24,1.7154589278491334e-24,-706.4710238049263,20,True,7.15,0.605849,4.974726,4.222799,0.071692,0.225758,75.429960,2.430128,
27,True,1.7154589278503522e-24,1.7154589278491334e-24,-173.89749927042342,11,True,3.66,0.495900,1.725055,2.675903,0.239386,0.187013,60.924088,0.892829,
28,True,1.7154589278503522e-24,1.7154589278491334e-24,-644.0389418545478,13,True,4.42,0.597205,4.450035,2.380357,0.143448,0.253336,86.450712,2.279970,
29,True,1.7154589278503522e-24,1.7154589278491334e-24,-336.9079929926285,11,True,3.66,0.480849,1.158885,2.177034,0.229341,0.271934,48.380701,1.839747,
30,True,1.7154589278503522e-24,1.7154589278491334e-24,-360.8787164840183,23,True,8.80,0.612446,3.673511,5.180022,0.060979,0.283708,54.469829,1.214758,
31,True,1.7154589278503522e-24,1.7154589278491334e-24,-448.1224470970028,13,True,3.27,0.529010,3.245795,3.260242,0.153495,0.387068,20.406844,2.021775,
32,True,1.7154589278503522e-24,1.7154589278491334e-24,-257.84227669103325,16,True,6.14,0.535708,2.286015,5.997514,0.102224,0.236196,8.809385,1.134386,
33,True,1.7154589278503522e-24,1.7154589278491334e-24,-83.54461966796151,11,True,3.56,0.326647,3.562701,1.140396,0.230335,0.391174,24.358713,0.988609,
34,True,1.7154589278503522e-24,1.7154589278491334e-24,-62.00781528091354,11,True,4.50,0.321857,2.671268,5.017057,0.201016,0.154604,51.244615,0.755759,
35,True,1.7154589278503522e-24,1.7154589278491334e-24,-596.4986166198694,11,True,3.63,0.587058,4.711751,1.358743,0.243129,0.405445,61.826524,2.185300,
36,True,1.7154589278503522e-24,1.7154589278491334e-24,-119.90002116562727,10,True,4.10,0.430369,2.420173,5.776334,0.271270,0.319101,30.410499,0.817338,
37,True,1.7154589278503522e-24,1.7154589278491334e-24,-98.71083083580183,12,True,4.17,0.301245,4.588306,2.917534,0.188448,0.185137,12.742253,1.373379,
