Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.918000
1,0.297575,0.297575,-368.408385,0.851010
2,0.321062,0.321061,-393.313562,0.785288
3,0.321062,0.321061,-455.311226,0.719566
4,0.321062,0.321061,-502.434826,0.653844
5,0.321062,0.321061,-536.531718,0.588122
6,0.321062,0.321061,-560.009905,0.522400
7,0.321062,0.321061,-575.331581,0.456678
8,0.321062,0.321061,-584.730154,0.390956
9,0.321062,0.321061,-590.075371,0.325234
10,0.321062,0.321061,-592.832102,0.259511
11,0.321062,0.321061,-594.075010,0.193789
12,0.321062,0.321061,-594.534208,0.128067
13,0.321062,0.321061,-594.656542,0.062345
14,0.321060,0.321060,-594.673896,0.000000
15,0.000000,0.000000,-594.674392,0.000000
16,0.000000,0.000000,-594.674392,0.000000
17,0.000000,0.000000,-594.674392,0.000000
18,0.000000,0.000000,-594.674392,0.000000
19,0.000000,0.000000,-594.674392,0.000000
