sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,error
0,True,-0.9816475802226732,-0.989561349116239,0.9816475802226732,21,True,4.46,0.443014,4.008150,3.856900,0.144189,0.281764,48.073133,
1,True,-0.999999996006999,-0.9999999965333362,0.999999996006999,21,True,4.08,0.203185,2.495191,1.145314,0.062913,0.543820,18.219705,
2,True,-0.981788719258626,-0.9901328591649644,0.981788719258626,21,True,4.40,0.538082,2.756965,2.259431,0.239773,0.457424,44.808548,
3,True,-0.9846181153290727,-0.9913397143440803,0.9846181153290727,21,True,4.49,0.455632,1.715778,5.206985,0.272046,0.433822,39.320637,
4,True,-0.9840156076346868,-0.9912855496571951,0.9840156076346868,21,True,4.43,0.309622,3.774048,4.755546,0.282968,0.414095,12.950853,
5,True,-0.9871262963567957,-0.9976217789442193,0.9871262963567957,21,True,4.02,0.403403,4.070999,2.612362,0.088580,0.608841,68.431586,
6,True,-0.982531279972772,-0.9890742810788864,0.982531279972772,21,True,4.51,0.424934,4.936573,5.128848,0.261085,0.476047,84.501965,
7,True,-0.9844135220242579,-0.9961322068193895,0.9844135220242579,21,True,4.59,0.563996,3.625018,4.527957,0.134960,0.693542,65.135016,
8,True,-0.9781161815593282,-0.986637610357994,0.9781161815593282,21,True,4.82,0.577567,3.514700,3.300015,0.191605,0.220218,52.005447,
9,True,-0.9853896247721933,-0.9934055471116611,0.9853896247721933,21,True,4.45,0.350598,4.629236,4.923514,0.170260,0.381003,11.656410,
10,True,-0.9853452200932273,-0.9909138104968408,0.9853452200932273,21,True,4.47,0.591088,3.203854,5.405794,0.068625,0.306088,37.339262,
11,True,-0.9809421524746142,-0.9892420973940325,0.9809421524746142,21,True,4.05,0.259211,4.559473,2.494864,0.163027,0.579757,79.774414,
12,True,-0.9851371736405976,-0.9924070712704053,0.9851371736405976,21,True,4.62,0.335288,1.902141,5.990283,0.230988,0.528440,73.014250,
13,True,-0.9837217760725291,-0.9925143077797223,0.9837217760725291,21,True,3.74,0.512573,1.962147,1.555948,0.296613,0.619766,62.499081,
14,True,-0.9955111272350425,-0.9964742458497232,0.9955111272350425,21,True,4.08,0.293031,1.254660,4.046273,0.054484,0.330645,46.496866,
15,True,-0.9817176956393242,-0.9878759995296998,0.9817176956393242,21,True,4.48,0.224636,2.907157,5.592307,0.155158,0.261641,58.109152,
16,True,-0.9889829430009598,-0.9939709846551387,0.9889829430009598,21,True,4.07,0.501842,2.188313,2.980332,0.175318,0.384857,6.900879,
17,True,-0.9831680120650043,-0.9898610607619858,0.9831680120650043,21,True,4.24,0.383122,3.804110,3.370208,0.077359,0.359177,2.183275,
18,True,-0.9829540704171095,-0.9860082220680072,0.9829540704171095,21,True,3.94,0.252048,4.212986,1.757371,0.223314,0.428234,82.262341,
19,True,-0.986221604717852,-0.993892602291984,0.986221604717852,21,True,3.95,0.397643,2.219118,2.040247,0.194004,0.242798,55.118073,
20,True,-0.9802395647668508,-0.9843451857537678,0.9802395647668508,21,True,4.03,0.365545,4.380020,2.819259,0.288202,0.215973,25.518028,
21,True,-0.9791625344836632,-0.9879550582425065,0.9791625344836632,21,True,4.15,0.475602,4.847397,3.149433,0.103436,0.347157,75.224640,
22,True,-0.9816108693612042,-0.9895462862367566,0.9816108693612042,21,True,4.23,0.485586,2.687084,1.901514,0.249810,0.634024,70.553090,
23,True,-0.9833737998270583,-0.9883756038817425,0.9833737998270583,21,True,4.42,0.549564,3.388969,4.252224,0.254244,0.484370,4.284816,
24,True,-0.9887952525258968,-0.9962587971879046,0.9887952525258968,21,True,3.84,0.273687,1.631070,1.444739,0.112328,0.676018,29.935164,
25,True,-0.9889403265943144,-0.9979358721060876,0.9889403265943144,21,True,4.03,0.322316,1.413845,3.809958,0.120383,0.664857,15.983280,
26,True,-0.9868635110464631,-0.9952454469068364,0.9868635110464631,21,True,4.08,0.436250,1.312077,1.212168,0.126928,0.598204,87.251964,
27,True,-0.985668447182359,-0.9924919713318844,0.985668447182359,21,True,4.34,0.236930,3.128345,4.407525,0.213576,0.286170,30.575246,
28,True,-0.991867287947488,-0.9991925118398105,0.991867287947488,21,True,4.73,0.302438,2.339613,5.784847,0.204041,0.562401,33.191869,
29,True,-0.9898489358774373,-0.9952190162994156,0.9898489358774373,21,True,4.38,0.531139,1.127345,3.594150,0.091730,0.501805,21.754176,
