Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.836400
1,-1.000000,-1.000000,1.000000,0.759677
2,-1.000000,-1.000000,1.000000,0.682954
3,-1.000000,-1.000000,1.000000,0.606231
4,-1.000000,-1.000000,1.000000,0.529510
5,-1.000000,-1.000000,1.000000,0.452813
6,-1.000000,-1.000000,1.000000,0.376284
7,-1.000000,-1.000000,1.000000,0.300687
8,-1.000000,-1.000000,1.000000,0.227920
9,-1.000000,-1.000000,1.000000,0.154743
10,-1.000000,-1.000000,1.000000,0.093770
11,-1.000000,-1.000000,1.000000,0.059243
12,-1.000000,-1.000000,1.000000,0.066509
13,-1.000000,-1.000000,1.000000,0.061876
14,-1.000000,-1.000000,1.000000,0.059461
15,-1.000000,-1.000000,1.000000,0.066132
16,-0.993525,-0.995210,0.993525,0.080646
17,-0.993535,-0.995496,0.993535,0.097557
18,-0.993412,-0.995827,0.993412,0.113748
19,-0.990411,-0.994615,0.990411,0.128792
20,-0.990402,-0.994971,0.990402,0.140677
