Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.910000
1,-1.000000,-1.000000,-13.693060,0.691083
2,-1.000000,-1.000000,-9.210394,0.518081
3,-1.000000,-1.000000,-6.601712,0.518081
4,-1.000000,-1.000000,-7.052168,0.518081
5,-1.000000,-1.000000,-7.271593,0.518081
6,-1.000000,-1.000000,-7.465531,0.518081
7,-1.000000,-1.000000,-7.607623,0.518081
8,-1.000000,-1.000000,-7.580505,0.518081
9,-1.000000,-1.000000,-7.097439,0.518081
10,-1.000000,-1.000000,-5.871143,0.518081
11,-1.000000,-1.000000,-4.203973,0.518081
12,-1.000000,-1.000000,-2.826195,0.518081
13,-1.000000,-1.000000,-1.911927,0.518081
14,-1.000000,-1.000000,-1.294913,0.518081
15,-1.000000,-1.000000,-0.904731,0.518081
16,-1.000000,-1.000000,-0.697450,0.518081
17,-1.000000,-1.000000,-0.614883,0.518081
18,-1.000000,-1.000000,-0.674217,0.518081
19,-1.000000,-1.000000,-1.009184,0.518081
20,-1.000000,-1.000000,-1.810545,0.518081
21,-1.000000,-1.000000,-2.886920,0.518081
22,-1.000000,-1.000000,-3.975922,0.518081
23,-1.000000,-1.000000,-4.949562,0.518081
24,-1.000000,-1.000000,-5.846276,0.518081
25,-1.000000,-1.000000,-6.814301,0.518081
26,-1.000000,-1.000000,-7.799045,0.518081
27,-1.000000,-1.000000,-8.704342,0.518081
28,-1.000000,-1.000000,-9.501092,0.518081
29,-1.000000,-1.000000,-10.197901,0.518081
30,-1.000000,-1.000000,-10.849884,0.518081
31,-1.000000,-1.000000,-11.499961,0.518081
32,-1.000000,-1.000000,-12.147779,0.518081
33,-1.000000,-1.000000,-12.784733,0.518081
34,-1.000000,-1.000000,-13.485808,0.518081
35,-1.000000,-1.000000,-14.240019,0.518081
36,-1.000000,-1.000000,-15.020471,0.518081
37,-1.000000,-1.000000,-15.825122,0.518081
38,-1.000000,-1.000000,-16.626551,0.518081
39,-1.000000,-1.000000,-17.398854,0.518081
40,-1.000000,-1.000000,-18.162633,0.518081
41,-1.000000,-1.000000,-18.942904,0.518081
42,-1.000000,-1.000000,-19.742165,0.518081
43,-1.000000,-1.000000,-20.609312,0.518081
44,-1.000000,-1.000000,-21.527183,0.518081
45,-1.000000,-1.000000,-22.453304,0.518081
46,-1.000000,-1.000000,-23.402043,0.518081
47,-1.000000,-1.000000,-24.389790,0.518081
48,-1.000000,-1.000000,-25.394780,0.518081
49,-1.000000,-1.000000,-26.417569,0.518081
50,-1.000000,-1.000000,-27.462260,0.518081
51,-1.000000,-1.000000,-28.534433,0.518081
52,-1.000000,-1.000000,-29.647229,0.518081
53,-1.000000,-1.000000,-30.797769,0.518081
54,-1.000000,-1.000000,-31.966435,0.518081
55,-1.000000,-1.000000,-33.158624,0.518081
56,-1.000000,-1.000000,-34.404971,0.518081
57,-1.000000,-1.000000,-35.760688,0.518081
