sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,error
0,True,0.12169789645802832,0.12167209957603044,4.193530047780053,200,True,642.82,0.551130,3.173667,2.114242,0.067211,0.405435,
1,True,0.14852263273057434,0.14807897850532734,4.1229419400902385,54,True,164.93,0.630122,2.494332,1.306418,0.193488,0.517298,
2,True,0.10818847997074688,0.10763313027284487,4.25043491068589,200,True,631.48,0.528146,4.584394,1.220684,0.094709,0.265340,
3,True,0.1164355423676621,0.11603933005959399,4.231756814668817,72,True,222.58,0.473864,3.466725,2.468085,0.078689,0.480210,
4,True,0.158151325435966,0.15825887712892972,4.191563598586962,126,True,401.71,0.666210,3.898728,1.390879,0.166428,0.509330,
5,True,0.15746300948949285,0.15760706508829989,4.235773627806903,157,True,485.41,0.694027,4.251997,2.288686,0.149383,0.335902,
6,True,0.13347338978408974,0.13421007219531886,4.120206423883538,62,True,194.82,0.571276,2.541949,1.290225,0.128518,0.421183,
7,True,0.13934955102344493,0.14031711112271758,4.1962718402527805,200,True,635.13,0.614053,2.412205,2.155729,0.053092,0.467981,
8,True,0.13085671302145485,0.13103518086952376,4.22896235834531,68,True,216.78,0.512814,3.690039,1.338992,0.172751,0.317006,
9,True,0.12019632832674458,0.12070384256995119,4.192965089361874,65,True,201.57,0.545976,3.776751,1.981350,0.215270,0.507161,
10,True,0.25572743903004386,0.2532353577252453,4.776095560055912,200,True,640.58,0.459000,4.519558,1.366392,0.107341,0.287769,
11,True,0.12050113484406612,0.12023968979109124,4.189635376293278,77,True,240.12,0.596096,3.652465,1.432938,0.229441,0.429313,
12,True,0.13958182340752529,0.1387699892206694,4.227357673598531,200,True,635.80,0.576658,2.031734,1.883043,0.154940,0.366192,
13,True,0.11818875809729816,0.11769002532238002,4.29643139243297,200,True,583.73,0.532232,2.746448,2.370881,0.093877,0.409380,
14,True,0.11259409072856644,0.11238100201393267,4.3366064858990585,200,True,625.13,0.503927,2.095488,2.324398,0.057064,0.285650,
15,True,0.11157004829272643,0.11154629922018114,4.239158874357547,82,True,255.50,0.593593,4.742384,1.460143,0.219772,0.431297,
16,True,0.10586148978652718,0.10567246003929386,4.214603948150421,72,True,242.20,0.486678,4.195617,1.695579,0.133332,0.477864,
17,True,0.1663431972298637,0.16657378731158465,4.227649368708213,56,True,172.58,0.699550,4.896658,1.916144,0.125355,0.540994,
18,True,0.1373918155471523,0.13767846648000004,4.211676237595142,108,True,330.68,0.639238,4.778221,2.186615,0.196476,0.416191,
19,True,0.15250411057921576,0.14974634323818484,4.120251028197369,43,True,137.93,0.646849,2.458291,1.117371,0.153528,0.436229,
20,True,0.12468640245724308,0.12508219442044052,4.223544693703752,200,True,634.25,0.560457,2.678018,1.502024,0.230123,0.383327,
21,True,0.12122427937038671,0.12144893855830725,4.131767169465639,200,True,591.67,0.671416,4.853038,1.021833,0.209614,0.484584,
22,True,0.13892003741759754,0.13892851655713878,4.204948646688421,99,True,312.02,0.582721,3.847858,2.220821,0.099683,0.398939,
23,True,0.14886103395632727,0.14873919963383703,4.194448566745257,50,True,159.53,0.605717,4.654489,1.578416,0.248272,0.360236,
24,True,0.13776549481515407,0.1382121393032325,4.174762790396008,82,True,250.90,0.542080,3.341009,1.537467,0.144337,0.345750,
25,True,0.15606368037076176,0.15618616302242608,4.218129830343883,75,True,242.99,0.652530,4.980208,1.775664,0.061586,0.498474,
26,True,0.13028184527485365,0.12995896761218761,4.252403586249255,200,True,614.85,0.629147,3.384493,1.672568,0.072613,0.324455,
27,True,0.09951490350239037,0.09895711281522221,4.230649327529273,119,True,377.25,0.469886,3.082486,2.035531,0.234869,0.465504,
28,True,0.09280322527334349,0.09230586947075249,4.54776727166455,200,True,622.17,0.507567,4.070558,2.081865,0.063713,0.301159,
29,True,0.11870703781730267,0.1186677991459798,4.192028735826585,200,True,601.11,0.498665,4.320106,2.394380,0.116244,0.309870,
30,True,0.14816186581796956,0.14776220160343648,4.199874460556579,49,True,157.08,0.600869,4.526230,1.805793,0.199784,0.525349,
31,True,0.13693766545667904,0.13742483931849467,4.25149834708906,75,True,235.94,0.516639,2.883126,1.640217,0.179092,0.257388,
32,True,0.1595902787058288,0.15959311495883063,4.165506945336907,200,True,606.01,0.689461,2.305039,2.073094,0.165850,0.450671,
33,True,0.09118356427002529,0.09118357704155848,4.489192949399259,41,True,107.96,0.463145,3.990213,1.035752,0.136731,0.346283,
34,True,0.10003306680827947,0.10031392045561854,4.156319372386639,119,True,373.37,0.453545,2.269097,1.262321,0.202256,0.447012,
35,True,0.1327160815983487,0.13451398461631345,4.156302213276692,200,True,497.85,0.569775,2.213894,1.600229,0.210433,0.455508,
36,True,0.15139880779937884,0.1518426681019536,4.203085981047206,94,True,288.01,0.675546,3.206393,2.304434,0.184736,0.371368,
37,True,0.15491053704726757,0.154970705100707,4.165915308295769,200,True,547.15,0.641692,3.297581,1.147166,0.187013,0.548425,
38,True,0.13449550861923149,0.1346867608527503,4.180769715086893,111,True,351.53,0.535316,3.065542,1.746317,0.086676,0.357080,
39,True,0.14915934972340822,0.1489537972865408,4.127340467534578,200,True,494.88,0.664104,2.804037,1.183763,0.085214,0.536138,
40,True,0.159824190938723,0.16088107047279673,4.210252543550787,70,True,207.76,0.656113,2.901690,2.244978,0.245424,0.297916,
41,True,0.020143698220414057,0.020156218871373668,4.377513358570684,200,True,416.64,0.478852,3.012091,1.159670,0.141513,0.390962,
42,True,0.10165471367033467,0.10180023527955682,4.318110851663533,200,True,513.51,0.556529,4.125133,1.834007,0.074784,0.377708,
43,True,0.153011557030319,0.15270246319764863,4.194934856893461,131,True,169.18,0.616305,4.392137,1.566287,0.110290,0.271615,
44,True,0.13022225335478776,0.1300537692494046,4.186388403392154,106,True,302.40,0.523495,3.530685,1.940114,0.174178,0.494281,
45,True,0.11222800606467707,0.11203282701120573,4.378708985759251,91,True,202.82,0.490376,4.458508,2.483344,0.223464,0.315365,
46,True,0.12198782123531887,0.1203890197108393,4.435405710677279,200,True,491.25,0.589298,3.594853,1.841013,0.103616,0.250402,
47,True,0.1577235559326471,0.15874751964080588,4.179813637513825,200,True,221.02,0.680978,2.631957,2.416457,0.161929,0.531345,
48,True,0.14571199569633292,0.14751984200725873,4.247450230679469,200,True,478.34,0.620853,2.132191,2.013021,0.119877,0.330364,
49,True,0.12324719500193741,0.12324156230517534,4.139925562856426,32,True,46.09,0.480661,3.943814,1.077623,0.240503,0.277445,
