Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.881406
1,0.286723,0.281804,3.459721,0.687698
2,0.284878,0.280336,5.013431,0.593593
3,0.170485,0.164072,5.542650,0.593593
4,0.268663,0.225666,5.581902,0.593593
5,0.069440,0.079644,5.577892,0.593592
6,0.156964,0.107077,5.528591,0.593593
7,0.090996,0.072084,5.682419,0.593593
8,0.116737,0.150001,5.475451,0.593593
9,0.122514,0.174982,5.052509,0.593594
10,0.107931,0.132505,4.775053,0.593593
11,0.087946,0.091454,4.640019,0.593592
12,0.089911,0.088429,4.547929,0.593593
13,0.093349,0.094811,4.493823,0.593593
14,0.094736,0.096128,4.452974,0.593593
15,0.098879,0.099448,4.399145,0.593593
16,0.100752,0.100074,4.347998,0.593593
17,0.101285,0.100395,4.314526,0.593593
18,0.102212,0.101461,4.290860,0.593594
19,0.102959,0.102345,4.281820,0.593593
20,0.103262,0.102990,4.278206,0.593593
21,0.103642,0.103729,4.275063,0.593594
22,0.104079,0.104499,4.272291,0.593593
23,0.104279,0.104653,4.271127,0.593593
24,0.104581,0.104867,4.269639,0.593593
25,0.104822,0.105100,4.268411,0.593593
26,0.105075,0.105267,4.267318,0.593592
27,0.105383,0.105365,4.266231,0.593593
28,0.105650,0.105471,4.265278,0.593592
29,0.105924,0.105623,4.264271,0.593593
30,0.106185,0.105821,4.263182,0.593592
31,0.106420,0.106066,4.261947,0.593593
32,0.106612,0.106423,4.260816,0.593593
33,0.106846,0.106838,4.259506,0.593593
34,0.107162,0.107308,4.258004,0.593594
35,0.107527,0.107708,4.256659,0.593593
36,0.107895,0.107954,4.255565,0.593593
37,0.108214,0.108196,4.254598,0.593593
38,0.108529,0.108444,4.253765,0.593593
39,0.108748,0.108611,4.253447,0.593593
40,0.108911,0.108803,4.253231,0.593594
41,0.109109,0.109074,4.252852,0.593592
42,0.109340,0.109409,4.252323,0.593593
43,0.109613,0.109770,4.251696,0.593594
44,0.109953,0.110158,4.250911,0.593594
45,0.110339,0.110450,4.250230,0.593592
46,0.110736,0.110742,4.249517,0.593593
47,0.111166,0.111063,4.248767,0.593593
48,0.111737,0.111544,4.248319,0.593594
49,0.112575,0.112274,4.247946,0.593593
50,0.113455,0.113075,4.247533,0.593592
51,0.113869,0.113469,4.247062,0.593593
52,0.114113,0.113812,4.246521,0.593593
53,0.114223,0.114058,4.245978,0.593592
54,0.114130,0.114097,4.245405,0.593593
55,0.113924,0.113967,4.244823,0.593594
56,0.113865,0.113844,4.244454,0.593594
57,0.113742,0.113648,4.244098,0.593593
58,0.113599,0.113447,4.243824,0.593593
59,0.113597,0.113468,4.243805,0.593593
60,0.113547,0.113433,4.243769,0.593594
61,0.113465,0.113357,4.243707,0.593592
62,0.113345,0.113235,4.243623,0.593593
63,0.113165,0.113046,4.243499,0.593593
64,0.112904,0.112773,4.243341,0.593592
65,0.112614,0.112477,4.243133,0.593593
66,0.112308,0.112172,4.242876,0.593592
67,0.112026,0.111892,4.242582,0.593593
68,0.111780,0.111654,4.242254,0.593592
69,0.111586,0.111517,4.241952,0.593593
70,0.111435,0.111457,4.241606,0.593593
71,0.111322,0.111450,4.241206,0.593593
72,0.111239,0.111479,4.240825,0.593593
73,0.111194,0.111471,4.240582,0.593593
74,0.111160,0.111422,4.240405,0.593594
75,0.111159,0.111395,4.240211,0.593592
76,0.111192,0.111388,4.240006,0.593593
77,0.111263,0.111401,4.239776,0.593594
78,0.111380,0.111431,4.239532,0.593593
79,0.111506,0.111472,4.239313,0.593594
80,0.111573,0.111525,4.239203,0.593593
81,0.111574,0.111553,4.239173,0.593594
