sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta_second,error
0,True,3.127598270878096e-25,3.1275982708688905e-25,-282.2442269223213,12,True,5.06,0.529808,1.524890,2.814140,0.166513,0.299058,43.243880,1.269554,
1,True,3.127598270878096e-25,3.1275982708688905e-25,-248.3687322071461,10,True,4.17,0.433711,2.589751,4.454961,0.263146,0.650732,4.241043,1.667090,
2,True,3.127598270878096e-25,3.1275982708688905e-25,-229.80680968663552,15,True,5.89,0.348453,4.821821,1.544542,0.119681,0.311724,36.663004,2.389676,
3,True,3.127598270878096e-25,3.1275982708688905e-25,-32.88782184403679,12,True,5.35,0.237164,3.882344,5.810688,0.191108,0.638054,49.559902,0.738248,
4,True,3.127598270878096e-25,3.1275982708688905e-25,-172.4763835482681,11,True,4.57,0.582766,2.145356,1.925524,0.220162,0.476742,2.933173,0.641218,
5,True,3.127598270878096e-25,3.1275982708688905e-25,-38.72193349932643,12,True,4.56,0.206484,1.949606,1.752430,0.173865,0.393302,58.613127,1.146693,
6,True,3.127598270878096e-25,3.1275982708688905e-25,-94.80291696101878,17,True,7.42,0.258398,1.215011,5.316774,0.095976,0.466125,19.281009,1.792700,
7,True,3.127598270878096e-25,3.1275982708688905e-25,-120.43855034741287,24,True,9.14,0.294882,3.864007,4.699264,0.056065,0.673351,22.130702,1.748771,
8,True,3.127598270878096e-25,3.1275982708688905e-25,-247.8302948731548,16,True,6.18,0.364329,1.434501,2.586020,0.109427,0.413316,67.552027,2.357391,
9,True,3.127598270878096e-25,3.1275982708688905e-25,-133.3576887262203,25,True,9.49,0.401880,3.189223,4.544642,0.052204,0.496960,73.744528,1.042531,
10,True,3.127598270878096e-25,3.1275982708688905e-25,-102.33476670422138,18,True,7.76,0.390283,4.407318,5.414660,0.088830,0.649417,46.293509,0.848256,
11,True,3.127598270878096e-25,3.1275982708688905e-25,-636.1356587430366,10,True,3.70,0.586705,3.115437,2.721610,0.281678,0.585936,11.134763,2.333321,
12,True,3.127598270878096e-25,3.1275982708688905e-25,-19.696031552332315,10,True,4.81,0.215818,4.112796,4.827764,0.287691,0.358387,27.898119,0.533908,
13,True,3.127598270878096e-25,3.1275982708688905e-25,-412.5125257493752,13,True,4.92,0.498429,4.644307,3.461898,0.163492,0.433697,42.548737,2.096494,
14,True,3.127598270878096e-25,3.1275982708688905e-25,-121.65106323592256,12,True,4.75,0.319056,2.923048,1.209142,0.196501,0.617341,79.255483,1.508850,
15,True,3.127598270878096e-25,3.1275982708688905e-25,-145.56262143259286,17,True,6.34,0.410265,3.524051,3.372776,0.094518,0.280974,78.379603,1.091905,
16,True,3.127598270878096e-25,3.1275982708688905e-25,-177.87811934007237,22,True,9.00,0.573552,3.033662,4.782323,0.065717,0.512415,76.104967,0.682716,
17,True,3.127598270878096e-25,3.1275982708688905e-25,-381.89910856278846,10,True,3.99,0.490982,3.353272,3.535015,0.259578,0.235842,53.925094,2.000240,
18,True,3.127598270878096e-25,3.1275982708688905e-25,-328.1154609815713,13,True,5.14,0.509361,3.788438,2.089660,0.147062,0.508294,37.934784,1.596758,
19,True,3.127598270878096e-25,3.1275982708688905e-25,-529.0052666513942,11,True,4.72,0.517225,3.992727,4.997720,0.245207,0.245177,88.591077,2.496691,
20,True,3.127598270878096e-25,3.1275982708688905e-25,-154.55884916679923,10,True,5.16,0.300107,2.800743,5.606217,0.277141,0.555265,35.519444,2.166737,
21,True,3.127598270878096e-25,3.1275982708688905e-25,-277.7105972608593,12,True,4.35,0.395835,2.484887,1.497839,0.180869,0.331038,41.147552,2.237839,
22,True,3.127598270878096e-25,3.1275982708688905e-25,-65.28849038304492,10,True,4.01,0.223131,2.226221,4.071877,0.251703,0.212730,81.416435,1.655690,
23,True,3.127598270878096e-25,3.1275982708688905e-25,-65.49599681230623,14,True,5.20,0.240672,4.181583,2.296259,0.132226,0.696291,68.706378,1.427670,
