Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.957200
1,0.304981,0.285605,-32.500367,0.776817
2,0.342071,0.324391,-51.790476,0.596435
3,0.342071,0.324391,-63.432209,0.416052
4,0.342071,0.324391,-67.647644,0.235669
5,0.342071,0.324391,-68.587601,0.055286
6,0.342072,0.324392,-68.662417,0.000000
7,0.000000,0.000000,-68.662514,0.000000
8,0.000000,0.000000,-68.662514,0.000000
9,0.000000,0.000000,-68.662514,0.000000
10,0.000000,0.000000,-68.662514,0.000000
11,0.000000,0.000000,-68.662514,0.000000
