sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,error
0,True,0.1879581353255271,0.1880436598927849,102.25798405285158,58,True,21.31,0.593808,4.804890,2.814140,0.066513,0.279058,32.443880,
1,True,0.12360124268792462,0.1234097947450184,66.10327870547174,39,True,14.92,0.489911,3.177115,5.087189,0.247748,0.696292,66.731823,
2,True,0.43653145646220054,0.3006528425211851,10.783360960439415,150,True,55.71,0.298849,1.334179,1.655659,0.138864,0.664454,21.485129,
3,True,0.16374157220002952,0.16376038187400993,39.88073522832862,37,True,13.93,0.377379,4.629467,3.924191,0.298227,0.590293,30.792382,
4,True,0.16237476368556325,0.16248790368998936,21.204245168764142,40,True,14.31,0.305773,4.024429,2.953328,0.109781,0.408457,77.970512,
5,True,0.16761740140120815,0.16761740140115425,9.363693282040407,132,True,48.87,0.274042,1.562599,4.967417,0.238148,0.525304,39.258952,
6,True,0.1829478179711878,0.1940900616322066,72.73790894507556,150,True,55.32,0.534961,2.001944,2.177309,0.146651,0.375628,29.101179,
7,True,0.10919703874006541,0.10922775544122525,39.375218261584216,43,True,15.08,0.418398,4.975011,3.016774,0.085976,0.416125,82.281009,
8,True,0.29999999998982846,0.2999999999898249,11.77097112991709,44,True,17.30,0.234540,3.628820,5.580009,0.064963,0.252131,34.803268,
9,True,0.155633297231875,0.1573897865927419,14.393541557093577,74,True,25.98,0.266359,2.857542,2.754108,0.122156,0.468602,17.793846,
10,True,0.15954788282035764,0.15954788282035554,9.74048370251382,150,True,57.77,0.250653,1.682312,5.643476,0.216175,0.493653,53.003557,
11,True,0.05725917460723541,0.057262694822552,39.458631509608196,37,True,13.09,0.451526,2.975684,2.296918,0.092816,0.297854,2.864648,
12,True,0.0766761370696589,0.0766752989188386,20.6448507367269,37,True,13.74,0.353173,2.501285,1.794170,0.208593,0.357064,25.808550,
13,True,0.08821063909282215,0.08821002116116611,17.616371776821552,51,True,17.74,0.331544,3.337288,1.533569,0.052968,0.431860,10.499449,
14,True,0.13883850560676525,0.13464374067817628,56.68619843912022,150,True,55.42,0.447818,1.792796,4.227764,0.232691,0.208387,72.898119,
15,True,0.1749524130973551,0.16942559017931322,88.23319831350241,150,True,54.81,0.558782,2.144294,3.355384,0.163095,0.476985,13.265491,
16,True,0.13144291453382076,0.13144305950954865,102.47635192728346,53,True,20.30,0.565105,4.752988,5.888199,0.225191,0.680914,68.940527,
17,True,0.18595454693741467,0.1874812952412218,28.279420127054998,150,True,50.84,0.429873,2.042466,1.022125,0.081416,0.445506,24.709965,
18,True,0.20485318031657954,0.20484872911699847,29.617741649192094,57,True,20.31,0.327229,4.367792,3.754422,0.273988,0.366940,76.357405,
19,True,0.30000000003145977,0.30000000003145705,8.482783806075652,96,True,35.04,0.214586,2.211471,5.224148,0.221403,0.395679,74.470844,
20,True,0.30000000001185817,0.30000000001187843,8.847512301174461,29,True,10.87,0.219327,3.748012,3.291556,0.267921,0.249584,71.110817,
21,True,0.3504867503661385,0.3370190556145996,103.52418499516577,150,True,53.49,0.549361,1.148438,5.789660,0.077062,0.508294,43.334784,
22,True,0.300000000006035,0.3000000000060395,3.76018138375679,21,True,7.20,0.203352,3.692250,1.440908,0.279886,0.230414,58.531854,
23,True,0.29999999999343324,0.2999999999934329,10.810948578105531,87,True,32.45,0.225738,4.353382,4.851334,0.072546,0.510622,83.570890,
24,True,0.16243832908587238,0.162724962190375,21.758013641046517,26,True,9.34,0.340212,4.898642,2.066843,0.157397,0.285611,1.761098,
