Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.852000
1,-1.000000,-1.000000,-4.687697,0.740788
2,-1.000000,-1.000000,-5.801045,0.629291
3,-1.000000,-1.000000,-4.411396,0.517795
4,-1.000000,-1.000000,-3.085753,0.406298
5,-1.000000,-1.000000,-1.893488,0.294802
6,-1.000000,-1.000000,-0.929568,0.257382
7,-1.000000,-1.000000,-1.069900,0.257382
8,-1.000000,-1.000000,-1.576185,0.257382
9,-1.000000,-1.000000,-2.470453,0.257382
10,-1.000000,-1.000000,-3.862113,0.257382
11,-1.000000,-1.000000,-5.880345,0.257382
12,-1.000000,-1.000000,-8.604456,0.257382
13,-1.000000,-1.000000,-11.916768,0.257382
14,-1.000000,-1.000000,-15.697637,0.257382
15,-1.000000,-1.000000,-19.895984,0.257382
16,-1.000000,-1.000000,-23.931872,0.257382
17,-1.000000,-1.000000,-27.806488,0.257382
18,-1.000000,-1.000000,-33.443270,0.257382
19,-1.000000,-1.000000,-43.677470,0.257382
20,-1.000000,-1.000000,-61.915951,0.257382
21,-1.000000,-1.000000,-91.540441,0.257382
22,-1.000000,-1.000000,-135.544244,0.257382
23,-1.000000,-1.000000,-201.239486,0.257382
24,-1.000000,-1.000000,-291.260420,0.257382
25,-1.000000,-1.000000,-414.310777,0.257382
26,-1.000000,-1.000000,-581.756341,0.257382
27,-1.000000,-1.000000,-802.057519,0.257382
28,-1.000000,-1.000000,-1097.370958,0.257382
29,-1.000000,-1.000000,-1492.086226,0.257382
30,-1.000000,-1.000000,-1985.040040,0.257382
31,-1.000000,-1.000000,-2615.436422,0.257382
32,-1.000000,-1.000000,-3433.064061,0.257382
33,-1.000000,-1.000000,-4482.230877,0.257382
34,-1.000000,-1.000000,-5823.289004,0.257382
35,-1.000000,-1.000000,-7554.611912,0.257382
36,-1.000000,-1.000000,-9792.359031,0.257382
37,-1.000000,-1.000000,-12692.385249,0.257382
38,-1.000000,-1.000000,-16443.186002,0.257382
39,-1.000000,-1.000000,-21294.579725,0.257382
40,-1.000000,-1.000000,-27583.877777,0.257382
41,-1.000000,-1.000000,-35732.909973,0.257382
42,-1.000000,-1.000000,-46303.716865,0.257382
43,-1.000000,-1.000000,-59995.650797,0.257382
44,-1.000000,-1.000000,-77743.866415,0.257382
45,-1.000000,-1.000000,-100726.013740,0.257382
46,-1.000000,-1.000000,-130492.697386,0.257382
47,-1.000000,-1.000000,-169109.029358,0.257382
48,-1.000000,-1.000000,-219197.187219,0.257382
49,-1.000000,-1.000000,-284106.174585,0.257382
50,-1.000000,-1.000000,-368216.697143,0.257382
51,-1.000000,-1.000000,-477205.645717,0.257382
52,-1.000000,-1.000000,-618425.697428,0.257382
53,-1.000000,-1.000000,-801449.689610,0.257382
54,-1.000000,-1.000000,-1038786.827942,0.257382
55,-1.000000,-1.000000,-1346365.640044,0.257382
56,-1.000000,-1.000000,-1744979.440946,0.257382
57,-1.000000,-1.000000,-2262006.217935,0.257382
58,-1.000000,-1.000000,-2932166.485991,0.257382
59,-1.000000,-1.000000,-3800799.490664,0.257382
60,-1.000000,-1.000000,-4926920.898505,0.257382
61,-1.000000,-1.000000,-6387618.083086,0.257382
62,-1.000000,-1.000000,-8281316.576406,0.257382
63,-1.000000,-1.000000,-10737349.834143,0.257382
64,-1.000000,-1.000000,-13921971.086900,0.257382
65,-1.000000,-1.000000,-18051115.022897,0.257382
