sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,error
0,True,0.11705682479238248,0.1158125882377063,4.279610780355336,200,True,647.81,0.551130,3.173667,2.114242,0.067211,0.405435,
1,True,0.13093109351826576,0.13158329395413554,4.125324101562597,157,True,497.39,0.630122,2.494332,1.306418,0.193488,0.517298,
2,True,0.11284147033863054,0.11286133280456692,4.187430661480904,60,True,191.92,0.528146,4.584394,1.220684,0.094709,0.265340,
3,True,0.1062410793731708,0.10798303200254515,4.348071345753487,200,True,640.12,0.473864,3.466725,2.468085,0.078689,0.480210,
4,True,0.12803179608386206,0.12832594543900555,4.152915145785466,200,True,642.63,0.666210,3.898728,1.390879,0.166428,0.509330,
5,True,0.15013003792191465,0.15036839945880687,4.200635973144806,141,True,455.33,0.694027,4.251997,2.288686,0.149383,0.335902,
6,True,0.10801740483556403,0.10769563495553268,4.169365396340439,96,True,304.41,0.571276,2.541949,1.290225,0.128518,0.421183,
7,True,0.13998257473618705,0.14037420335512235,4.176875454803442,200,True,635.37,0.614053,2.412205,2.155729,0.053092,0.467981,
8,True,0.11405219890535992,0.11361421997977078,4.146155025963382,67,True,225.37,0.512814,3.690039,1.338992,0.172751,0.317006,
9,True,0.12085969207567292,0.12092223801492474,4.191448208682689,110,True,353.10,0.545976,3.776751,1.981350,0.215270,0.507161,
10,True,0.10653164436453863,0.10643367568315268,4.242399620383589,80,True,261.46,0.459000,4.519558,1.366392,0.107341,0.287769,
11,True,0.12974542320066204,0.1295875054258258,4.1359739953818195,59,True,193.08,0.596096,3.652465,1.432938,0.229441,0.429313,
12,True,0.14108726609976713,0.1403075938114966,4.218342131943816,200,True,640.83,0.576658,2.031734,1.883043,0.154940,0.366192,
13,True,0.12893080769649737,0.12987628967606604,4.265477022118758,200,True,605.43,0.532232,2.746448,2.370881,0.093877,0.409380,
14,True,0.12285084587663966,0.1228918129316113,4.2880103595657015,200,True,639.69,0.503927,2.095488,2.324398,0.057064,0.285650,
15,True,0.13811032088590097,0.13782861542927102,4.163836977062823,27,True,87.79,0.593593,4.742384,1.460143,0.219772,0.431297,
16,True,0.10512079955529907,0.10517212885865862,4.237792982007102,37,True,121.15,0.486678,4.195617,1.695579,0.133332,0.477864,
17,True,0.14814114626670286,0.14815832209647267,4.188305921720665,157,True,513.45,0.699550,4.896658,1.916144,0.125355,0.540994,
18,True,0.13253850774360604,0.13227944024961252,4.220924718641963,127,True,409.45,0.639238,4.778221,2.186615,0.196476,0.416191,
19,True,0.1330349270455218,0.13355181746674355,4.110917547644634,200,True,650.45,0.646849,2.458291,1.117371,0.153528,0.436229,
20,True,0.12479182606097824,0.12472437545899762,4.135330336115226,101,True,322.47,0.560457,2.678018,1.502024,0.230123,0.383327,
21,True,0.12420069485389025,0.12420069877857008,4.1448498128942965,28,True,90.71,0.671416,4.853038,1.021833,0.209614,0.484584,
22,True,0.1166846790111804,0.11643095033923015,4.258250105945663,120,True,395.73,0.582721,3.847858,2.220821,0.099683,0.398939,
23,True,0.13786141711546307,0.1377418057401424,4.174352380126989,46,True,153.80,0.605717,4.654489,1.578416,0.248272,0.360236,
24,True,0.11812529780233513,0.11738061537894749,4.161286240721989,91,True,293.03,0.542080,3.341009,1.537467,0.144337,0.345750,
25,True,0.14356001536253557,0.14349326968203086,4.194339793511686,118,True,389.22,0.652530,4.980208,1.775664,0.061586,0.498474,
26,True,0.13680876340165726,0.13629582527966685,4.18438005838105,200,True,661.95,0.629147,3.384493,1.672568,0.072613,0.324455,
27,True,0.04450830607730184,0.044339440150430655,4.4638503698550105,200,True,598.23,0.469886,3.082486,2.035531,0.234869,0.465504,
28,True,0.1042400761941791,0.1039037108661664,4.31945127638779,200,True,637.35,0.507567,4.070558,2.081865,0.063713,0.301159,
29,True,0.10889956346900563,0.10885779462378813,4.3453452388351685,111,True,348.15,0.498665,4.320106,2.394380,0.116244,0.309870,
30,True,0.13311245469065175,0.13318121605472155,4.189129808553375,144,True,463.14,0.600869,4.526230,1.805793,0.199784,0.525349,
31,True,0.11281179493602275,0.11261193027728968,4.157704401335192,55,True,183.32,0.516639,2.883126,1.640217,0.179092,0.257388,
32,True,0.15356948949467186,0.1523431089209134,4.1742913952903,200,True,643.12,0.689461,2.305039,2.073094,0.165850,0.450671,
33,True,0.10447660884010486,0.10447601369607602,4.134134530215533,31,True,83.76,0.463145,3.990213,1.035752,0.136731,0.346283,
34,True,0.11419074231801582,0.11290008146780652,4.202548081351022,169,True,545.90,0.453545,2.269097,1.262321,0.202256,0.447012,
35,True,0.12873950437825993,0.12874056674918635,4.131377056748782,200,True,397.65,0.569775,2.213894,1.600229,0.210433,0.455508,
36,True,0.1522094014249458,0.15133599598551722,4.186611549703496,49,True,156.68,0.675546,3.206393,2.304434,0.184736,0.371368,
37,True,0.1175116808998869,0.1172901050614993,4.1367880294758885,200,True,574.42,0.641692,3.297581,1.147166,0.187013,0.548425,
38,True,0.11999572274291126,0.1199230289203071,4.250137444226164,200,True,599.41,0.535316,3.065542,1.746317,0.086676,0.357080,
39,True,0.14493494242626623,0.1448569014754681,4.099758102311933,113,True,215.22,0.664104,2.804037,1.183763,0.085214,0.536138,
40,True,0.14831783202869558,0.14880719213033022,4.173981864335211,146,True,450.00,0.656113,2.901690,2.244978,0.245424,0.297916,
41,True,0.10128633690717063,0.10130612347783044,4.1201914230651475,63,True,159.08,0.478852,3.012091,1.159670,0.141513,0.390962,
42,True,0.11661071140526738,0.11656213209701366,4.258337016407091,200,True,577.11,0.556529,4.125133,1.834007,0.074784,0.377708,
