Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.550511
1,0.246834,0.207352,5.729625,0.593592
2,0.096858,0.099973,5.634402,0.593593
3,0.331957,0.262489,5.604252,0.593592
4,0.080423,0.089849,5.494688,0.593594
5,0.100619,0.089549,5.167342,0.593594
6,0.119971,0.109681,4.702696,0.593594
7,0.120605,0.117749,4.432659,0.593593
8,0.128724,0.127234,4.304434,0.593593
9,0.133031,0.132330,4.233180,0.593593
10,0.134679,0.134219,4.190468,0.593593
11,0.135208,0.134757,4.179312,0.593593
12,0.135952,0.135552,4.174541,0.593593
13,0.136506,0.136295,4.171609,0.593594
14,0.137010,0.137114,4.169647,0.593594
15,0.137406,0.137442,4.168542,0.593592
16,0.137625,0.137407,4.167655,0.593592
17,0.137862,0.137415,4.166720,0.593592
18,0.138077,0.137432,4.165831,0.593592
19,0.138237,0.137542,4.165315,0.593592
20,0.138362,0.137720,4.164945,0.593593
21,0.138433,0.137848,4.164634,0.593594
22,0.138445,0.137916,4.164392,0.593593
23,0.138388,0.137923,4.164205,0.593593
24,0.138285,0.137895,4.164050,0.593593
25,0.138158,0.137853,4.163923,0.593592
26,0.138096,0.137829,4.163859,0.593593
