sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta_second,error
0,True,-0.9999999999984769,-0.9999999999998208,96.48247487190214,24,True,4.65,0.389681,2.808150,3.023567,0.210855,0.215097,48.073133,0.982591,
1,True,-0.9999999999988918,-0.9999999999996892,67.06352119783068,33,True,5.94,0.309519,3.782918,2.758269,0.080243,0.684554,46.068405,1.245149,
2,True,-0.9999999999983931,-1.0000000000002485,293.666619908717,22,True,4.23,0.540754,4.836368,3.240903,0.091135,0.352873,19.105007,1.449461,
3,True,-0.9999999998777549,-1.0000000000126625,102.71214448510216,40,True,7.65,0.288606,1.003907,4.851146,0.051847,0.396756,28.599837,1.563746,
4,True,-0.9999999999988745,-0.9999999999997364,93.38270830786792,24,True,4.33,0.304609,1.575593,1.709206,0.275271,0.311236,25.888621,1.802030,
5,True,-0.9999999999976491,-1.0000000000006501,71.18019539830355,23,True,4.26,0.450807,3.249344,3.754049,0.189776,0.505503,40.688544,0.511155,
6,True,-0.9999999999872167,-1.000000000003618,118.48944686201881,22,True,4.17,0.337330,4.691684,2.861290,0.176627,0.660209,59.135016,1.387834,
7,True,-0.999999999998138,-0.9999999999995881,70.34307744262111,22,True,4.33,0.384803,2.573346,3.998773,0.068442,0.672252,9.884504,0.714618,
8,True,-0.999999999999147,-1.000000000000025,230.19135053987458,24,True,4.71,0.487214,2.657501,4.643367,0.124046,0.238860,4.586711,1.595651,
9,True,-0.9999999999989436,-1.0000000000002875,252.5555724339264,21,True,3.72,0.456467,1.182038,1.574403,0.262007,0.544934,80.907546,2.004219,
10,True,-0.9999999999994209,-1.0000000000001943,343.63301629548255,22,True,4.34,0.557139,1.345530,3.524433,0.273051,0.449028,38.155848,2.080427,
11,True,-0.9999999999957584,-0.9999999999972136,19.708497268975854,24,True,5.12,0.204508,3.592396,5.202684,0.152797,0.576560,12.557939,0.688868,
12,True,-0.9999999999986093,-1.0000000000005174,272.32932063823773,21,True,4.34,0.573031,1.921327,5.546273,0.062818,0.530645,67.496866,1.223179,
13,True,-0.9999999999971008,-0.9999999999979016,98.4834467469214,26,True,5.11,0.257382,2.940512,5.436496,0.130821,0.289495,82.914562,2.160823,
14,True,-0.999999999998971,-0.9999999999997856,156.82069878157674,27,True,4.92,0.371760,3.005080,2.181903,0.094169,0.228902,30.092471,1.914750,
15,True,-0.9999999999991842,-1.0000000000003073,233.34742169379177,23,True,4.23,0.577108,2.006752,2.621293,0.232530,0.268290,61.632671,1.153176,
16,True,-0.9999999999973168,-0.9999999999985456,31.318597032744805,25,True,4.89,0.275921,2.122771,4.803871,0.134528,0.604025,87.841611,0.604527,
17,True,-0.9999999999977114,-0.9999999999989057,76.12067155563201,23,True,4.49,0.324969,4.122120,4.225026,0.149296,0.409737,77.875157,1.067067,
18,True,-0.9999999999980351,-0.999999999999859,110.72140917749041,30,True,6.08,0.355602,1.780730,5.982766,0.111770,0.497157,42.224640,1.327929,
19,True,-0.9999999999965625,-0.9999999999976275,82.2623415381929,23,True,4.67,0.248708,4.387878,5.829533,0.217012,0.425295,0.651794,1.894485,
20,True,-0.9999999999991591,-1.0000000000003963,460.05009866137243,6,True,1.18,0.593511,3.867906,1.177029,0.253569,0.592109,53.199073,2.211229,
21,True,-0.9999999999982293,-0.9999999999996196,95.10232600171294,23,True,4.64,0.419724,3.474812,5.163065,0.201448,0.551731,86.579253,0.796398,
22,True,-0.9999999999976248,-0.9999999999991875,30.032900929103683,27,True,4.92,0.225219,2.377035,2.453128,0.102838,0.471217,54.694058,0.959484,
23,True,-0.9999999999989392,-0.999999999999944,225.83186419197625,22,True,4.33,0.467787,2.302638,4.493765,0.245376,0.460485,6.510631,1.646117,
24,True,-0.9999999999986965,-1.0000000000000844,288.2674447781195,26,True,4.96,0.435771,4.872947,3.451514,0.195708,0.262401,63.191869,2.422359,
25,True,-0.9999999999984951,-1.0000000000005285,437.4750967829187,23,True,4.12,0.532735,4.008654,1.334604,0.292569,0.320857,15.327623,2.240437,
26,True,-0.9999999999894899,-1.0000000000027547,92.49359346619033,25,True,4.54,0.233082,3.357876,2.037998,0.286153,0.627106,23.716600,2.450214,
27,True,-0.9999999999984586,-1.0000000000004072,152.42771041399337,25,True,4.52,0.503167,4.208425,1.126505,0.165644,0.336148,71.540147,0.888049,
28,True,-0.9999999999963194,-1.0000000000013454,268.19181661755874,23,True,4.49,0.405342,4.483392,4.133928,0.172414,0.637043,33.084521,2.333284,
29,True,-0.9999999999991579,-1.0000000000003373,275.29948227540376,21,True,3.74,0.518081,1.531475,1.961724,0.240568,0.372039,74.634502,1.732911,
