Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.845600
1,-1.000000,-1.000000,63.723551,0.766034
2,-1.000000,-1.000000,96.157796,0.686398
3,-1.000000,-1.000000,123.841570,0.606762
4,-1.000000,-1.000000,148.104543,0.527126
5,-1.000000,-1.000000,168.150874,0.447490
6,-1.000000,-1.000000,183.738259,0.371760
7,-1.000000,-1.000000,194.395775,0.371760
8,-1.000000,-1.000000,193.987665,0.371760
9,-1.000000,-1.000000,194.006747,0.371760
10,-1.000000,-1.000000,192.072435,0.371760
11,-1.000000,-1.000000,186.714886,0.371760
12,-1.000000,-1.000000,178.739138,0.371760
13,-1.000000,-1.000000,170.448739,0.371760
14,-1.000000,-1.000000,167.769056,0.371760
15,-1.000000,-1.000000,165.851030,0.371760
16,-1.000000,-1.000000,164.219226,0.371760
17,-1.000000,-1.000000,162.717417,0.371760
18,-1.000000,-1.000000,161.403188,0.371760
19,-1.000000,-1.000000,160.276364,0.371760
20,-1.000000,-1.000000,159.205237,0.371760
21,-1.000000,-1.000000,158.229587,0.371760
22,-1.000000,-1.000000,157.586694,0.371760
23,-1.000000,-1.000000,157.201985,0.371760
24,-1.000000,-1.000000,157.035462,0.371760
25,-1.000000,-1.000000,156.933818,0.371760
26,-1.000000,-1.000000,156.870406,0.371760
