sample_id,objective,seed,batch,volfrac,move,rmin,penal,void_size_frac,rotation_deg,beta,beta_second,best_obj_value,poisson_ratio,eigenfreq_1,eigenfreq_2,compliance,volume_fraction_final,n_iter,converged,elapsed_time,topology_path
auxetic_circle_000,auxetic,circle,phase1,0.593808,0.066513,2.81414,4.80489,0.279058,32.44388,,,102.83071048162637,0.18590293011074535,,,,0.593808,36,True,13.43,./circle/auxetic/sample_0000/iteration_00036.png
auxetic_circle_001,auxetic,circle,phase1,0.489911,0.247748,5.087189,3.177115,0.696292,66.731823,,,65.4393970353902,0.1098517305032715,,,,0.489911,29,True,11.88,./circle/auxetic/sample_0001/iteration_00029.png
auxetic_circle_002,auxetic,circle,phase1,0.298849,0.138864,1.655659,1.334179,0.664454,21.485129,,,10.396977050700979,0.10925975610635981,,,,0.29885,35,True,13.33,./circle/auxetic/sample_0002/iteration_00035.png
auxetic_circle_003,auxetic,circle,phase1,0.377379,0.298227,3.924191,4.629467,0.590293,30.792382,,,34.09335732099762,0.17818034596251786,,,,0.377378,32,True,11.66,./circle/auxetic/sample_0003/iteration_00032.png
auxetic_circle_004,auxetic,circle,phase1,0.305773,0.109781,2.953328,4.024429,0.408457,77.970512,,,23.120317231952562,0.12266471652073489,,,,0.305773,33,True,12.47,./circle/auxetic/sample_0004/iteration_00033.png
auxetic_circle_005,auxetic,circle,phase1,0.274042,0.238148,4.967417,1.562599,0.525304,39.258952,,,8.894743376620543,0.264463475272482,,,,0.274042,150,True,53.9,./circle/auxetic/sample_0005/iteration_00150.png
auxetic_circle_006,auxetic,circle,phase1,0.534961,0.146651,2.177309,2.001944,0.375628,29.101179,,,65.49850322387334,0.10082086600015246,,,,0.534961,105,True,34.94,./circle/auxetic/sample_0006/iteration_00105.png
auxetic_circle_007,auxetic,circle,phase1,0.418398,0.085976,3.016774,4.975011,0.416125,82.281009,,,41.51136026892932,0.09045824651345413,,,,0.418397,33,True,11.53,./circle/auxetic/sample_0007/iteration_00033.png
auxetic_circle_008,auxetic,circle,phase1,0.23454,0.064963,5.580009,3.62882,0.252131,34.803268,,,13.727978731622946,0.300000000018021,,,,0.234539,59,True,23.55,./circle/auxetic/sample_0008/iteration_00059.png
auxetic_circle_009,auxetic,circle,phase1,0.266359,0.122156,2.754108,2.857542,0.468602,17.793846,,,15.029589055652545,0.15859477643215955,,,,0.266359,37,True,12.85,./circle/auxetic/sample_0009/iteration_00037.png
auxetic_circle_010,auxetic,circle,phase1,0.250653,0.216175,5.643476,1.682312,0.493653,53.003557,,,5.67564636230493,0.2999999999869837,,,,0.250652,67,True,25.31,./circle/auxetic/sample_0010/iteration_00067.png
auxetic_circle_011,auxetic,circle,phase1,0.451526,0.092816,2.296918,2.975684,0.297854,2.864648,,,48.84525005865867,0.18617471384405332,,,,0.451527,33,True,12.06,./circle/auxetic/sample_0011/iteration_00033.png
