sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,error
0,True,0.32051702224723116,0.31361038123397145,0.1769059030528935,150,True,54.55,0.493014,4.008150,3.856900,0.144189,0.199058,48.073133,
1,True,0.29929366095027166,0.29929366095026316,-0.16144449619777387,50,True,16.74,0.253185,2.495191,1.145314,0.062913,0.356292,18.219705,
2,True,0.30173786305721095,0.33625191856024783,-0.2869351466106179,150,True,54.18,0.588082,2.756965,2.259431,0.239773,0.304454,44.808548,
3,True,0.35025083818943664,0.3296481392281461,0.6554524780630607,150,True,51.34,0.505632,1.715778,5.206985,0.272046,0.290293,39.320637,
4,True,0.29999999106615194,0.3000000092112788,-0.01792483329724695,59,True,21.66,0.359622,3.774048,4.755546,0.282968,0.278457,12.950853,
5,True,0.3098250545005355,0.3296269895665499,-0.026802710659244416,150,True,53.24,0.453403,4.070999,2.612362,0.088580,0.395304,68.431586,
6,True,0.3027965936845085,0.3010878402309048,0.05897079146433487,150,True,53.53,0.474934,4.936573,5.128848,0.261085,0.315628,84.501965,
7,True,0.30847339801162005,0.351371077065293,0.11221750839817637,150,True,49.69,0.613996,3.625018,4.527957,0.134960,0.446125,65.135016,
8,True,0.34072948561995153,0.3681019288932044,0.35529058757047494,150,True,55.90,0.627567,3.514700,3.300015,0.191605,0.162131,52.005447,
9,True,0.30000724256214717,0.30000464231995555,0.035608877355001456,118,True,38.44,0.400598,4.629236,4.923514,0.170260,0.258602,11.656410,
10,True,0.33277099827309997,0.37453517049601764,0.49534499718994285,150,True,57.70,0.641088,3.203854,5.405794,0.068625,0.213653,37.339262,
11,True,0.3000001842547299,0.30000018424718145,0.4432782238940925,43,True,15.41,0.309211,4.559473,2.494864,0.163027,0.377854,79.774414,
12,True,0.5069842805726835,0.34430142734195535,0.717982019511975,150,True,56.79,0.385288,1.902141,5.990283,0.230988,0.347064,73.014250,
13,True,0.300141829847184,0.3107017085705851,-0.31144523164750604,150,True,47.38,0.562573,1.962147,1.555948,0.296613,0.401860,62.499081,
14,True,0.29584539815829725,0.3316723502149362,-0.2618684171874015,150,True,55.11,0.343031,1.254660,4.046273,0.054484,0.228387,46.496866,
15,True,0.2999999999884372,0.2999999999885582,0.14834677340889774,47,True,18.09,0.274636,2.907157,5.592307,0.155158,0.186985,58.109152,
16,True,0.34692179122928096,0.32244346085856757,-0.012617845524988208,150,True,53.68,0.551842,2.188313,2.980332,0.175318,0.260914,6.900879,
17,True,0.3382238355071812,0.3230725829096615,0.6861490024390284,150,True,48.94,0.433122,3.804110,3.370208,0.077359,0.245506,2.183275,
18,True,0.2993111571626418,0.29931117047114786,0.18837767215311793,43,True,14.90,0.302048,4.212986,1.757371,0.223314,0.286940,82.262341,
19,True,0.3005873026719557,0.3098358368278969,-0.40440130886587455,150,True,53.37,0.447643,2.219118,2.040247,0.194004,0.175679,55.118073,
20,True,0.30000011089288503,0.3000001109145006,-0.05274977441852202,150,True,54.83,0.415545,4.380020,2.819259,0.288202,0.159584,25.518028,
21,True,0.29399970404719744,0.30314716299324995,-0.26616716319618494,150,True,50.10,0.525602,4.847397,3.149433,0.103436,0.238294,75.224640,
22,True,0.32662846260577716,0.3138113100706929,-0.08104515826008862,150,True,44.01,0.535586,2.687084,1.901514,0.249810,0.410414,70.553090,
23,True,0.3409308036086784,0.3623676238160287,0.5742191859641532,150,True,29.19,0.599564,3.388969,4.252224,0.254244,0.320622,4.284816,
24,True,0.3026041708644417,0.30048256652963795,-0.3105408346476039,150,True,41.69,0.323687,1.631070,1.444739,0.112328,0.435611,29.935164,
25,True,0.29781076541522544,0.29484826015091775,0.04338217295861038,150,True,29.34,0.372316,1.413845,3.809958,0.120383,0.428914,15.983280,
26,True,0.3182511853806342,0.31782611202350725,-0.4267969160859608,150,True,41.28,0.486250,1.312077,1.212168,0.126928,0.388923,87.251964,
27,True,0.2999999999937347,0.29999999999377,0.030893497805998038,150,True,28.82,0.286930,3.128345,4.407525,0.213576,0.201702,30.575246,
28,True,0.3005219461027735,0.3009036126859208,-0.019982932680591703,150,True,41.02,0.352438,2.339613,5.784847,0.204041,0.367440,33.191869,
29,True,0.2876532935201019,0.279854103412047,0.33320854614441664,150,True,29.35,0.581139,1.127345,3.594150,0.091730,0.331083,21.754176,
