Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.822000
1,0.134381,0.134381,80.265249,0.759824
2,0.166214,0.166214,187.139340,0.696381
3,0.166214,0.166214,191.807820,0.632939
4,0.166214,0.166214,196.470419,0.569497
5,0.166214,0.166214,201.119325,0.549362
6,0.179322,0.179320,209.952382,0.549362
7,0.194927,0.194914,213.156895,0.549362
8,0.227654,0.227606,211.865402,0.549362
9,0.267242,0.267195,205.919855,0.549362
10,0.293458,0.293386,196.738816,0.549361
11,0.284929,0.284882,194.341317,0.549362
12,0.281840,0.281421,188.086381,0.549361
13,0.281688,0.279057,182.063396,0.549361
14,0.288170,0.279621,175.053724,0.549361
15,0.292690,0.273443,170.289858,0.549360
16,0.303427,0.268803,166.192442,0.549361
17,0.320794,0.266820,163.077053,0.549361
18,0.342211,0.267397,160.320053,0.549360
19,0.364497,0.269617,158.243361,0.549361
20,0.381072,0.272898,157.864428,0.549360
21,0.387897,0.278664,158.444964,0.549361
22,0.386601,0.286800,158.942949,0.549361
23,0.379102,0.296554,159.062061,0.549362
24,0.367100,0.307369,158.359060,0.549361
25,0.354624,0.319920,156.425600,0.549360
26,0.345419,0.335761,152.967792,0.549360
27,0.342233,0.357577,147.697181,0.549361
28,0.346291,0.385424,140.886183,0.549362
29,0.355080,0.415013,133.318202,0.549361
30,0.365605,0.440845,126.028425,0.549361
31,0.376100,0.458672,119.906500,0.549361
32,0.385495,0.470053,114.925983,0.549361
33,0.393544,0.476938,111.032123,0.549361
34,0.400495,0.480098,108.089051,0.549362
35,0.406409,0.481158,105.955613,0.549362
36,0.411525,0.480777,104.467898,0.549361
37,0.415882,0.479322,103.432759,0.549361
38,0.419374,0.476989,102.711241,0.549362
39,0.422108,0.474107,102.176073,0.549361
40,0.424310,0.470876,101.830498,0.549360
41,0.425921,0.467438,101.643624,0.549361
42,0.427299,0.464124,101.625816,0.549361
43,0.428838,0.460978,101.749937,0.549362
44,0.430452,0.458298,101.961239,0.549361
45,0.432250,0.455968,102.219145,0.549361
46,0.433990,0.454158,102.491178,0.549361
47,0.435553,0.452877,102.746944,0.549360
48,0.437209,0.452009,103.013860,0.549361
49,0.438862,0.451454,103.288010,0.549361
50,0.440555,0.451167,103.569965,0.549361
51,0.442167,0.451011,103.846244,0.549362
52,0.443604,0.450869,104.111248,0.549362
53,0.444894,0.450868,104.356659,0.549361
54,0.446109,0.450692,104.582804,0.549361
55,0.447061,0.450382,104.791696,0.549361
56,0.447688,0.449872,104.975755,0.549362
57,0.447981,0.449196,105.121521,0.549361
58,0.447891,0.448454,105.222288,0.549362
59,0.447498,0.447626,105.292834,0.549361
60,0.446970,0.446569,105.337700,0.549362
61,0.446327,0.445275,105.364696,0.549362
62,0.445615,0.443844,105.379231,0.549360
63,0.444887,0.442272,105.375108,0.549362
64,0.444222,0.440606,105.350796,0.549361
65,0.443673,0.439134,105.330803,0.549362
66,0.443181,0.437944,105.320011,0.549361
67,0.442744,0.436976,105.326584,0.549361
68,0.442506,0.436275,105.360280,0.549361
69,0.442425,0.435838,105.420470,0.549361
70,0.442546,0.435559,105.493388,0.549361
71,0.442907,0.435431,105.590738,0.549361
72,0.443405,0.435619,105.710210,0.549362
73,0.443861,0.435854,105.838933,0.549361
74,0.444232,0.436139,105.979190,0.549361
75,0.444638,0.436690,106.141080,0.549361
