Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.967600
1,-1.000000,-1.000000,-12.042666,0.763566
2,-1.000000,-1.000000,-4.716861,0.559545
3,-1.000000,-1.000000,-1.638624,0.389681
4,-1.000000,-1.000000,-0.525510,0.389681
5,-1.000000,-1.000000,-0.472634,0.389681
6,-1.000000,-1.000000,-0.411443,0.389681
7,-1.000000,-1.000000,-0.302578,0.389681
8,-1.000000,-1.000000,-0.169734,0.389681
9,-1.000000,-1.000000,-0.124843,0.389681
10,-1.000000,-1.000000,-0.142642,0.389681
11,-1.000000,-1.000000,-0.166383,0.389681
12,-1.000000,-1.000000,-0.223806,0.389681
13,-1.000000,-1.000000,-0.292629,0.389681
14,-1.000000,-1.000000,-0.368714,0.389681
15,-1.000000,-1.000000,-0.449275,0.389681
16,-1.000000,-1.000000,-0.526461,0.389681
17,-1.000000,-1.000000,-0.591966,0.389681
18,-1.000000,-1.000000,-0.653642,0.389681
19,-1.000000,-1.000000,-0.719383,0.389681
20,-1.000000,-1.000000,-0.784721,0.389681
21,-1.000000,-1.000000,-0.851784,0.389681
22,-1.000000,-1.000000,-0.917482,0.389681
23,-1.000000,-1.000000,-0.975994,0.389681
24,-1.000000,-1.000000,-1.027484,0.389681
25,-1.000000,-1.000000,-1.066052,0.389681
26,-1.000000,-1.000000,-1.092747,0.389681
27,-1.000000,-1.000000,-1.110002,0.389681
28,-1.000000,-1.000000,-1.120010,0.389681
29,-1.000000,-1.000000,-1.126746,0.389681
30,-1.000000,-1.000000,-1.132357,0.389681
31,-1.000000,-1.000000,-1.136669,0.389681
32,-1.000000,-1.000000,-1.140028,0.389681
33,-1.000000,-1.000000,-1.142757,0.389681
34,-1.000000,-1.000000,-1.145339,0.389681
35,-1.000000,-1.000000,-1.147553,0.389681
36,-1.000000,-1.000000,-1.148996,0.389681
37,-1.000000,-1.000000,-1.150331,0.389681
38,-1.000000,-1.000000,-1.151765,0.389681
39,-1.000000,-1.000000,-1.153262,0.389681
40,-1.000000,-1.000000,-1.154836,0.389681
41,-1.000000,-1.000000,-1.156399,0.389681
42,-1.000000,-1.000000,-1.157431,0.389681
43,-1.000000,-1.000000,-1.158395,0.389681
