sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,error
0,True,0.117623378817665,0.11762370238320755,4.497516197347686,51,True,164.79,0.551130,3.173667,2.114242,0.067211,0.405435,
1,True,0.13057993347254918,0.13057993347388275,4.193306649186251,28,True,90.07,0.630122,2.494332,1.306418,0.193488,0.517298,
2,True,0.10480250617699403,0.10484907079654615,4.474467915248006,200,True,623.18,0.528146,4.584394,1.220684,0.094709,0.265340,
3,True,0.09994478733813371,0.09986103705496649,4.460530918679103,185,True,468.83,0.473864,3.466725,2.468085,0.078689,0.480210,
4,True,0.1420375621338512,0.14203756211659282,4.247222427376219,40,True,124.47,0.666210,3.898728,1.390879,0.166428,0.509330,
5,True,0.1717141516806874,0.1717141516856399,4.351114871132202,121,True,380.83,0.694027,4.251997,2.288686,0.149383,0.335902,
6,True,0.1451997472783147,0.14431966537189653,4.393092893155213,200,True,627.67,0.571276,2.541949,1.290225,0.128518,0.421183,
7,True,0.14127638979192017,0.14121398718206307,4.324415151976876,200,True,517.67,0.614053,2.412205,2.155729,0.053092,0.467981,
8,True,0.1111130224533215,0.11119968759135093,4.4401258469155085,199,True,629.28,0.512814,3.690039,1.338992,0.172751,0.317006,
9,True,0.1202154617555702,0.12027263271953037,4.365959343355575,76,True,235.12,0.545976,3.776751,1.981350,0.215270,0.507161,
10,True,0.0831572391496031,0.08315723949270637,4.546603027255053,52,True,165.87,0.459000,4.519558,1.366392,0.107341,0.287769,
11,True,0.11073451317596075,0.11078420662358181,4.354512588692421,85,True,277.02,0.596096,3.652465,1.432938,0.229441,0.429313,
12,True,0.1459555798071057,0.14551699261248957,4.227502177501165,200,True,637.00,0.576658,2.031734,1.883043,0.154940,0.366192,
13,True,0.11669312763381924,0.11669312896601435,4.529051515026659,46,True,144.48,0.532232,2.746448,2.370881,0.093877,0.409380,
14,True,0.10497123693622201,0.10478150476320813,4.336900085597078,200,True,631.55,0.503927,2.095488,2.324398,0.057064,0.285650,
15,True,0.12023343585680496,0.12023343585285598,4.388232512993584,45,True,137.59,0.593593,4.742384,1.460143,0.219772,0.431297,
16,True,0.09546280423449208,0.09546280419277042,4.607686087165549,86,True,272.73,0.486678,4.195617,1.695579,0.133332,0.477864,
17,True,0.17254935184520775,0.17254935184532344,4.330387162589353,72,True,230.88,0.699550,4.896658,1.916144,0.125355,0.540994,
