Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.945469
1,0.298795,0.298795,2.937755,0.855924
2,0.295070,0.295070,3.668451,0.766380
3,0.295070,0.295070,4.429120,0.676836
4,0.295070,0.295070,5.049447,0.587291
5,0.295070,0.295070,5.483945,0.528145
6,0.270190,0.270190,5.669966,0.528146
7,0.240588,0.240588,5.661531,0.528146
8,0.264081,0.264081,5.655629,0.528147
9,0.235631,0.235631,5.637136,0.528145
10,0.225608,0.225608,5.615262,0.528147
11,0.146633,0.146633,5.532478,0.528147
12,0.088323,0.088323,5.385608,0.528147
13,0.065113,0.065113,5.191034,0.528147
14,0.063859,0.063859,5.014802,0.528146
15,0.070072,0.070072,4.891234,0.528145
16,0.075979,0.075979,4.800789,0.528146
17,0.081502,0.081502,4.737325,0.528146
18,0.080877,0.080877,4.698489,0.528145
19,0.080216,0.080216,4.666581,0.528146
20,0.081057,0.081057,4.636410,0.528146
21,0.084212,0.084212,4.605113,0.528146
22,0.088614,0.088614,4.571325,0.528145
23,0.093845,0.093845,4.536657,0.528145
24,0.096763,0.096763,4.510046,0.528147
25,0.096861,0.096861,4.499620,0.528146
26,0.096802,0.096802,4.496608,0.528145
27,0.097078,0.097078,4.493992,0.528145
28,0.097584,0.097584,4.491780,0.528146
29,0.098183,0.098183,4.490139,0.528147
30,0.098885,0.098885,4.488826,0.528146
31,0.099572,0.099572,4.487591,0.528145
32,0.100162,0.100162,4.486426,0.528145
33,0.100522,0.100522,4.485396,0.528145
34,0.100670,0.100670,4.484445,0.528145
35,0.100758,0.100758,4.483506,0.528146
36,0.100831,0.100831,4.482618,0.528146
37,0.100834,0.100834,4.482013,0.528146
38,0.100789,0.100789,4.481578,0.528146
39,0.100739,0.100739,4.481357,0.528146
40,0.100682,0.100682,4.481073,0.528145
41,0.100607,0.100607,4.480720,0.528147
42,0.100525,0.100525,4.480287,0.528146
43,0.100446,0.100446,4.479787,0.528147
44,0.100380,0.100380,4.479227,0.528146
45,0.100331,0.100331,4.478637,0.528146
46,0.100307,0.100307,4.478070,0.528146
47,0.100306,0.100306,4.477574,0.528145
48,0.100309,0.100309,4.477295,0.528145
49,0.100314,0.100314,4.477174,0.528146
50,0.100337,0.100337,4.477096,0.528146
51,0.100376,0.100376,4.477050,0.528146
52,0.100431,0.100431,4.477030,0.528146
53,0.100494,0.100494,4.477013,0.528147
54,0.100565,0.100565,4.476993,0.528147
55,0.100645,0.100644,4.476976,0.528146
56,0.100731,0.100730,4.476957,0.528146
57,0.100802,0.100801,4.476938,0.528146
58,0.100864,0.100863,4.476919,0.528145
59,0.100935,0.100934,4.476897,0.528146
60,0.101016,0.101015,4.476866,0.528146
61,0.101077,0.101075,4.476834,0.528146
62,0.101130,0.101128,4.476797,0.528146
63,0.101195,0.101192,4.476751,0.528147
64,0.101271,0.101268,4.476687,0.528146
65,0.101357,0.101354,4.476608,0.528147
66,0.101408,0.101405,4.476508,0.528146
67,0.101474,0.101472,4.476374,0.528147
68,0.101550,0.101549,4.476202,0.528146
69,0.101625,0.101625,4.476018,0.528147
70,0.101694,0.101696,4.475815,0.528146
71,0.101756,0.101759,4.475619,0.528145
72,0.101807,0.101811,4.475438,0.528146
73,0.101824,0.101830,4.475338,0.528145
74,0.101820,0.101829,4.475314,0.528146
75,0.101823,0.101836,4.475297,0.528146
76,0.101833,0.101850,4.475288,0.528146
77,0.101851,0.101871,4.475284,0.528147
78,0.101872,0.101895,4.475280,0.528146
79,0.101898,0.101923,4.475283,0.528146
80,0.101931,0.101959,4.475284,0.528146
81,0.101966,0.101997,4.475283,0.528146
82,0.102003,0.102035,4.475287,0.528146
83,0.102014,0.102048,4.475287,0.528145
84,0.102016,0.102052,4.475293,0.528146
85,0.102017,0.102054,4.475294,0.528146
86,0.102018,0.102057,4.475298,0.528146
87,0.102019,0.102059,4.475299,0.528147
88,0.102019,0.102061,4.475299,0.528146
89,0.102020,0.102064,4.475303,0.528146
90,0.102020,0.102066,4.475303,0.528147
91,0.102020,0.102069,4.475303,0.528145
92,0.102021,0.102072,4.475311,0.528147
93,0.102021,0.102074,4.475308,0.528146
94,0.102023,0.102077,4.475314,0.528147
95,0.102024,0.102079,4.475314,0.528146
96,0.102026,0.102082,4.475321,0.528147
97,0.102028,0.102082,4.475321,0.528146
98,0.102029,0.102081,4.475321,0.528146
99,0.102032,0.102080,4.475321,0.528146
100,0.102036,0.102078,4.475319,0.528146
101,0.102039,0.102075,4.475313,0.528145
102,0.102043,0.102073,4.475311,0.528146
103,0.102046,0.102072,4.475305,0.528146
104,0.102049,0.102070,4.475298,0.528146
105,0.102053,0.102070,4.475291,0.528146
106,0.102058,0.102071,4.475284,0.528146
107,0.102063,0.102073,4.475280,0.528146
108,0.102069,0.102076,4.475275,0.528146
109,0.102077,0.102081,4.475275,0.528145
110,0.102086,0.102088,4.475278,0.528147
111,0.102093,0.102094,4.475271,0.528146
112,0.102102,0.102103,4.475269,0.528146
113,0.102111,0.102112,4.475267,0.528145
114,0.102120,0.102124,4.475267,0.528147
115,0.102130,0.102135,4.475262,0.528146
116,0.102141,0.102149,4.475265,0.528146
117,0.102153,0.102162,4.475265,0.528146
118,0.102165,0.102176,4.475265,0.528146
119,0.102178,0.102190,4.475268,0.528145
120,0.102191,0.102204,4.475269,0.528146
121,0.102205,0.102219,4.475267,0.528147
122,0.102220,0.102236,4.475265,0.528146
123,0.102237,0.102255,4.475268,0.528146
124,0.102254,0.102275,4.475268,0.528147
125,0.102274,0.102296,4.475267,0.528146
126,0.102294,0.102319,4.475266,0.528147
127,0.102317,0.102343,4.475259,0.528146
128,0.102342,0.102369,4.475252,0.528146
129,0.102369,0.102396,4.475244,0.528146
130,0.102401,0.102426,4.475232,0.528146
131,0.102439,0.102463,4.475220,0.528147
132,0.102479,0.102503,4.475204,0.528145
133,0.102523,0.102547,4.475199,0.528146
134,0.102568,0.102592,4.475183,0.528146
135,0.102616,0.102640,4.475174,0.528146
136,0.102667,0.102691,4.475163,0.528147
137,0.102722,0.102748,4.475154,0.528145
138,0.102780,0.102809,4.475149,0.528146
139,0.102843,0.102876,4.475140,0.528146
140,0.102912,0.102949,4.475131,0.528146
141,0.102986,0.103029,4.475118,0.528147
142,0.103070,0.103117,4.475099,0.528147
143,0.103164,0.103216,4.475077,0.528146
144,0.103273,0.103328,4.475047,0.528147
145,0.103401,0.103457,4.475008,0.528146
146,0.103546,0.103601,4.474967,0.528146
147,0.103705,0.103757,4.474917,0.528146
148,0.103850,0.103903,4.474876,0.528146
149,0.103978,0.104025,4.474837,0.528147
150,0.104097,0.104135,4.474802,0.528147
151,0.104199,0.104227,4.474774,0.528146
152,0.104254,0.104273,4.474761,0.528146
153,0.104304,0.104315,4.474743,0.528146
154,0.104352,0.104357,4.474722,0.528147
155,0.104398,0.104399,4.474696,0.528147
156,0.104443,0.104441,4.474674,0.528146
157,0.104485,0.104483,4.474655,0.528146
158,0.104526,0.104526,4.474634,0.528147
159,0.104560,0.104562,4.474614,0.528145
160,0.104579,0.104579,4.474606,0.528146
161,0.104585,0.104587,4.474592,0.528146
162,0.104588,0.104593,4.474578,0.528145
163,0.104573,0.104585,4.474572,0.528146
164,0.104537,0.104553,4.474567,0.528146
165,0.104500,0.104520,4.474565,0.528146
166,0.104469,0.104493,4.474560,0.528146
167,0.104449,0.104478,4.474559,0.528146
168,0.104444,0.104477,4.474552,0.528146
169,0.104451,0.104489,4.474550,0.528147
170,0.104480,0.104522,4.474540,0.528146
171,0.104515,0.104562,4.474532,0.528147
172,0.104562,0.104613,4.474522,0.528146
173,0.104624,0.104677,4.474512,0.528146
174,0.104684,0.104739,4.474501,0.528147
175,0.104739,0.104796,4.474491,0.528146
176,0.104791,0.104847,4.474487,0.528146
177,0.104838,0.104894,4.474484,0.528146
178,0.104878,0.104931,4.474481,0.528147
179,0.104909,0.104960,4.474477,0.528146
180,0.104927,0.104975,4.474479,0.528146
181,0.104935,0.104981,4.474479,0.528147
182,0.104935,0.104980,4.474476,0.528146
183,0.104928,0.104973,4.474479,0.528146
184,0.104922,0.104966,4.474478,0.528147
185,0.104917,0.104960,4.474472,0.528146
186,0.104910,0.104953,4.474474,0.528145
187,0.104903,0.104945,4.474476,0.528146
188,0.104899,0.104940,4.474474,0.528146
189,0.104892,0.104933,4.474477,0.528147
190,0.104883,0.104924,4.474474,0.528146
191,0.104874,0.104915,4.474476,0.528146
192,0.104865,0.104906,4.474473,0.528145
193,0.104857,0.104899,4.474476,0.528145
194,0.104852,0.104894,4.474474,0.528147
195,0.104844,0.104886,4.474470,0.528147
196,0.104833,0.104876,4.474468,0.528145
197,0.104820,0.104864,4.474474,0.528147
198,0.104809,0.104855,4.474471,0.528146
199,0.104807,0.104853,4.474470,0.528146
