sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta_second,error
0,True,-0.9999999999990082,-0.9999999999998986,87.9063405025187,24,True,4.41,0.389681,2.808150,3.023567,0.210855,0.215097,48.073133,0.982591,
1,True,-0.9999998766322772,-0.9999999254854531,94.47816200271002,27,True,5.02,0.309519,3.782918,2.758269,0.080243,0.684554,46.068405,1.245149,
2,True,-0.9999999999993395,-1.0000000000001372,244.4616482945416,30,True,5.50,0.540754,4.836368,3.240903,0.091135,0.352873,19.105007,1.449461,
3,True,-0.9999999999862227,-1.0000000000030498,100.05547253816202,44,True,8.10,0.288606,1.003907,4.851146,0.051847,0.396756,28.599837,1.563746,
4,True,-0.9999999999982083,-0.9999999999994398,107.46647115525997,27,True,4.80,0.304609,1.575593,1.709206,0.275271,0.311236,25.888621,1.802030,
5,True,-0.9999999999967789,-0.9999999999998015,76.00869139105512,24,True,4.55,0.450807,3.249344,3.754049,0.189776,0.505503,40.688544,0.511155,
6,True,-0.9999999999704914,-0.9999999999861636,123.83514720963886,24,True,4.37,0.337330,4.691684,2.861290,0.176627,0.660209,59.135016,1.387834,
7,True,-0.9999999999946556,-0.9999999999989999,79.02178986128321,24,True,4.53,0.384803,2.573346,3.998773,0.068442,0.672252,9.884504,0.714618,
8,True,-0.9999999999991345,-0.9999999999997686,237.2268036373714,25,True,4.70,0.487214,2.657501,4.643367,0.124046,0.238860,4.586711,1.595651,
9,True,-0.9999999999988441,-1.0000000000000846,266.4454036781735,25,True,4.50,0.456467,1.182038,1.574403,0.262007,0.544934,80.907546,2.004219,
10,True,-0.9999999999986039,-1.0000000000011877,429.5923586623994,27,True,4.97,0.557139,1.345530,3.524433,0.273051,0.449028,38.155848,2.080427,
11,True,-0.9999999999921122,-0.9999999999940798,21.267102756301828,25,True,4.93,0.204508,3.592396,5.202684,0.152797,0.576560,12.557939,0.688868,
12,True,-0.9999999999989456,-0.9999999999997755,267.90845757166727,25,True,4.99,0.573031,1.921327,5.546273,0.062818,0.530645,67.496866,1.223179,
13,True,-0.99999999999701,-0.9999999999984654,97.89547213929723,26,True,5.10,0.257382,2.940512,5.436496,0.130821,0.289495,82.914562,2.160823,
14,True,-0.9999999999989516,-0.9999999999998394,155.63880991988236,27,True,4.86,0.371760,3.005080,2.181903,0.094169,0.228902,30.092471,1.914750,
15,True,-0.9999999999992,-1.0000000000001708,239.42798198504727,25,True,4.50,0.577108,2.006752,2.621293,0.232530,0.268290,61.632671,1.153176,
16,True,-0.9999999999967456,-0.9999999999974943,32.23175353124664,25,True,4.64,0.275921,2.122771,4.803871,0.134528,0.604025,87.841611,0.604527,
17,True,-0.9999999999978376,-0.9999999999989969,76.4624599963523,25,True,4.78,0.324969,4.122120,4.225026,0.149296,0.409737,77.875157,1.067067,
18,True,-0.9999999999963194,-1.0000000000001334,120.81532901960819,26,True,5.05,0.355602,1.780730,5.982766,0.111770,0.497157,42.224640,1.327929,
19,True,-0.9885553096266965,-0.9920452363709877,92.81286081552528,24,True,4.76,0.248708,4.387878,5.829533,0.217012,0.425295,0.651794,1.894485,
20,True,-0.9999999999994216,-1.0000000000002303,433.5182257740604,24,True,4.26,0.593511,3.867906,1.177029,0.253569,0.592109,53.199073,2.211229,
21,True,-0.999999999998043,-0.9999999999992932,96.7846807128453,23,True,4.48,0.419724,3.474812,5.163065,0.201448,0.551731,86.579253,0.796398,
22,True,-0.999999999979094,-0.9999999999845458,37.71763918407794,28,True,5.10,0.225219,2.377035,2.453128,0.102838,0.471217,54.694058,0.959484,
23,True,-0.999999999998656,-0.999999999999675,241.69035772150784,23,True,4.33,0.467787,2.302638,4.493765,0.245376,0.460485,6.510631,1.646117,
24,True,-0.9999999999989888,-0.9999999999999647,284.31559151684894,29,True,5.32,0.435771,4.872947,3.451514,0.195708,0.262401,63.191869,2.422359,
25,True,-0.999999999999471,-1.0000000000001192,337.6573782710311,23,True,4.01,0.532735,4.008654,1.334604,0.292569,0.320857,15.327623,2.240437,
26,True,-0.999999999996884,-0.9999999999982758,90.85710981347401,23,True,4.13,0.233082,3.357876,2.037998,0.286153,0.627106,23.716600,2.450214,
27,True,-0.9999999999994034,-1.000000000000159,115.61949491872059,29,True,4.95,0.503167,4.208425,1.126505,0.165644,0.336148,71.540147,0.888049,
28,True,-0.9999999999547945,-0.9999999999749509,302.0857998786495,23,True,4.45,0.405342,4.483392,4.133928,0.172414,0.637043,33.084521,2.333284,
29,True,-0.9999999999990924,-1.0000000000002884,276.64863544340085,23,True,4.21,0.518081,1.531475,1.961724,0.240568,0.372039,74.634502,1.732911,
