Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.945200
1,-1.000000,-1.000000,56.848142,0.759731
2,-1.000000,-1.000000,247.198911,0.574866
3,-1.000000,-1.000000,332.125777,0.435771
4,-1.000000,-1.000000,356.139120,0.435771
5,-1.000000,-1.000000,357.474934,0.435771
6,-1.000000,-1.000000,357.091126,0.435771
7,-1.000000,-1.000000,355.356323,0.435771
8,-1.000000,-1.000000,345.706491,0.435771
9,-1.000000,-1.000000,328.196807,0.435771
10,-1.000000,-1.000000,314.039682,0.435771
11,-1.000000,-1.000000,304.221195,0.435771
12,-1.000000,-1.000000,297.256892,0.435771
13,-1.000000,-1.000000,293.086024,0.435771
14,-1.000000,-1.000000,290.376727,0.435771
15,-1.000000,-1.000000,288.420122,0.435771
16,-1.000000,-1.000000,287.005391,0.435771
17,-1.000000,-1.000000,286.146383,0.435771
18,-1.000000,-1.000000,285.615106,0.435771
19,-1.000000,-1.000000,285.304973,0.435771
20,-1.000000,-1.000000,285.081589,0.435771
21,-1.000000,-1.000000,284.899627,0.435771
22,-1.000000,-1.000000,284.770869,0.435771
23,-1.000000,-1.000000,284.654795,0.435771
24,-1.000000,-1.000000,284.559697,0.435771
25,-1.000000,-1.000000,284.498258,0.435771
26,-1.000000,-1.000000,284.439133,0.435771
27,-1.000000,-1.000000,284.397670,0.435771
28,-1.000000,-1.000000,284.358575,0.435771
