sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,error
0,True,0.13866653441012586,0.1384942261123259,4.1899811017135615,126,True,391.02,0.551130,3.173667,2.114242,0.067211,0.405435,
1,True,0.18320453438607462,0.17583565045684352,4.6941795057365105,86,True,268.96,0.630122,2.494332,1.306418,0.193488,0.517298,
2,True,0.13748990090442292,0.1374606217645211,4.171905245951962,57,True,174.00,0.528146,4.584394,1.220684,0.094709,0.265340,
3,True,0.1168608844671424,0.11609545298796099,4.227166587068844,117,True,351.07,0.473864,3.466725,2.468085,0.078689,0.480210,
4,True,0.15596694228889207,0.15546192325583327,4.200977091791414,200,True,653.48,0.666210,3.898728,1.390879,0.166428,0.509330,
5,True,0.16547759957284425,0.16526752803832082,4.2342461302254755,120,True,351.26,0.694027,4.251997,2.288686,0.149383,0.335902,
6,True,0.1472483878991782,0.1452086994345657,4.2163643149328,111,True,339.26,0.571276,2.541949,1.290225,0.128518,0.421183,
7,True,0.1859908048521728,0.16829728359423973,4.393993074588063,127,True,395.58,0.614053,2.412205,2.155729,0.053092,0.467981,
8,True,0.1372048695022941,0.1367774612909278,4.171222356848123,78,True,244.82,0.512814,3.690039,1.338992,0.172751,0.317006,
9,True,0.1353702821844261,0.13538386216094594,4.191875430567548,50,True,154.37,0.545976,3.776751,1.981350,0.215270,0.507161,
10,True,0.11572284826455749,0.11551884484655812,4.178495146897745,42,True,130.67,0.459000,4.519558,1.366392,0.107341,0.287769,
11,True,0.15660079107308197,0.14997168520684867,4.2208570769381115,63,True,195.61,0.596096,3.652465,1.432938,0.229441,0.429313,
12,True,0.14365128339355643,0.1431394089639607,4.1941142438000485,143,True,451.63,0.576658,2.031734,1.883043,0.154940,0.366192,
13,True,0.13490835201691306,0.1349860393317315,4.192703094196837,132,True,398.64,0.532232,2.746448,2.370881,0.093877,0.409380,
14,True,0.3693224809645709,0.36325017204496257,5.0069653206887335,200,True,631.47,0.503927,2.095488,2.324398,0.057064,0.285650,
15,True,0.0373233651043311,0.035650580471166635,4.526978889596981,95,True,286.94,0.593593,4.742384,1.460143,0.219772,0.431297,
16,True,0.12332381435759439,0.12312221180971716,4.204505783879431,59,True,179.67,0.486678,4.195617,1.695579,0.133332,0.477864,
17,True,0.16268753443821743,0.16238957063901144,4.226549036932386,99,True,326.56,0.699550,4.896658,1.916144,0.125355,0.540994,
18,True,0.1555169694163433,0.15526657644007222,4.219052234517335,79,True,249.54,0.639238,4.778221,2.186615,0.196476,0.416191,
19,True,0.16651410745304973,0.15639246979554702,4.763306451511165,200,True,639.70,0.646849,2.458291,1.117371,0.153528,0.436229,
20,True,0.14849197197835676,0.14821119061835875,4.177878396719613,85,True,255.89,0.560457,2.678018,1.502024,0.230123,0.383327,
21,True,0.16813761485962558,0.16893516786670423,4.197759253280449,200,True,628.71,0.671416,4.853038,1.021833,0.209614,0.484584,
