Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.179130
1,0.105030,0.181481,5.999979,0.402554
2,0.209207,0.368335,5.957540,0.490376
3,0.210641,0.540302,5.783077,0.490376
4,0.372137,0.803485,5.849654,0.490376
5,0.257942,0.760673,5.893173,0.490376
6,0.038584,0.501225,5.887924,0.490375
7,0.017147,0.059020,5.736660,0.490376
8,0.049215,0.079724,5.494706,0.490376
9,0.075527,0.077626,5.048118,0.490376
10,0.090230,0.081135,4.731028,0.490376
11,0.095833,0.089419,4.588935,0.490375
12,0.106366,0.104275,4.457447,0.490375
13,0.116425,0.117255,4.341801,0.490376
14,0.122045,0.122683,4.282560,0.490377
15,0.123943,0.123782,4.264058,0.490375
16,0.124100,0.124333,4.257274,0.490376
17,0.123845,0.124412,4.253219,0.490377
18,0.123705,0.124179,4.250795,0.490375
19,0.123639,0.123842,4.249181,0.490377
20,0.123516,0.123544,4.247911,0.490375
21,0.123377,0.123300,4.246902,0.490375
22,0.123235,0.123164,4.246329,0.490376
23,0.123092,0.123006,4.245729,0.490376
24,0.122952,0.122807,4.245134,0.490376
25,0.122820,0.122600,4.244602,0.490376
26,0.122731,0.122436,4.244207,0.490376
27,0.122661,0.122318,4.243936,0.490375
28,0.122583,0.122229,4.243782,0.490376
29,0.122504,0.122171,4.243687,0.490376
30,0.122423,0.122120,4.243607,0.490376
31,0.122331,0.122054,4.243523,0.490375
32,0.122242,0.122008,4.243468,0.490376
33,0.122165,0.121976,4.243407,0.490376
34,0.122077,0.121940,4.243351,0.490376
35,0.121982,0.121895,4.243297,0.490376
36,0.121905,0.121859,4.243254,0.490376
37,0.121823,0.121818,4.243207,0.490376
38,0.121737,0.121772,4.243163,0.490376
39,0.121659,0.121732,4.243116,0.490375
40,0.121574,0.121685,4.243074,0.490375
41,0.121495,0.121642,4.243028,0.490376
42,0.121426,0.121605,4.242983,0.490376
43,0.121359,0.121568,4.242938,0.490376
44,0.121308,0.121537,4.242911,0.490376
45,0.121257,0.121505,4.242885,0.490376
46,0.121204,0.121472,4.242860,0.490376
47,0.121151,0.121439,4.242836,0.490375
48,0.121103,0.121408,4.242813,0.490376
49,0.121055,0.121378,4.242785,0.490376
50,0.121009,0.121349,4.242754,0.490376
51,0.120985,0.121328,4.242743,0.490376
52,0.120964,0.121307,4.242731,0.490377
53,0.120944,0.121288,4.242719,0.490377
54,0.120934,0.121274,4.242708,0.490375
55,0.120922,0.121258,4.242702,0.490375
56,0.120909,0.121242,4.242690,0.490376
57,0.120897,0.121225,4.242677,0.490377
58,0.120883,0.121208,4.242663,0.490376
59,0.120870,0.121193,4.242654,0.490377
