sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,error
0,True,0.30022640477090806,0.308225497899204,-0.3357463539466394,133,True,48.74,0.493014,4.008150,3.856900,0.144189,0.199058,48.073133,
1,True,0.2999999999986467,0.29999999999864707,-0.3516075325066852,41,True,14.44,0.253185,2.495191,1.145314,0.062913,0.356292,18.219705,
2,True,0.29999218132939276,0.29999218852258486,-0.8104229838785335,125,True,42.33,0.588082,2.756965,2.259431,0.239773,0.304454,44.808548,
3,True,0.3153266949015077,0.31391907639671396,-0.06371407032251292,150,True,52.87,0.505632,1.715778,5.206985,0.272046,0.290293,39.320637,
4,True,0.2992233458158927,0.29922334582068333,-0.02451005172972448,30,True,11.54,0.359622,3.774048,4.755546,0.282968,0.278457,12.950853,
5,True,0.2999999999943479,0.2999999999943373,-0.5136006555931861,34,True,12.14,0.453403,4.070999,2.612362,0.088580,0.395304,68.431586,
6,True,0.3000170519715865,0.30001697068519084,-0.204663508326587,150,True,55.34,0.474934,4.936573,5.128848,0.261085,0.315628,84.501965,
7,True,0.3670802041501227,0.3534870205017178,0.5393502293603991,150,True,41.71,0.613996,3.625018,4.527957,0.134960,0.446125,65.135016,
8,True,0.38921055613224065,0.309107146985421,0.1287161371615231,150,True,55.67,0.627567,3.514700,3.300015,0.191605,0.162131,52.005447,
9,True,0.30058469813576183,0.3005843654388141,-0.02754865822438171,110,True,32.89,0.400598,4.629236,4.923514,0.170260,0.258602,11.656410,
10,True,0.284442367825891,0.28255926073135484,0.1507983692727657,150,True,56.68,0.641088,3.203854,5.405794,0.068625,0.213653,37.339262,
11,True,0.29999999999663984,0.29999999999660965,-0.2236044021415147,26,True,9.52,0.309211,4.559473,2.494864,0.163027,0.377854,79.774414,
12,True,0.2790240837941883,0.27902735508384496,-0.0255421439803849,48,True,19.73,0.385288,1.902141,5.990283,0.230988,0.347064,73.014250,
13,True,0.3392413725407861,0.3098324519112389,-0.4353509889715671,61,True,21.36,0.562573,1.962147,1.555948,0.296613,0.401860,62.499081,
14,True,0.330139345692609,0.32638184277481797,0.2374899722825467,150,True,55.64,0.343031,1.254660,4.046273,0.054484,0.228387,46.496866,
15,True,0.3303642929012322,0.33114897527792,0.46268250549355494,150,True,46.54,0.274636,2.907157,5.592307,0.155158,0.186985,58.109152,
16,True,0.3019786357241588,0.301496667323124,-0.7157711568863814,150,True,52.11,0.551842,2.188313,2.980332,0.175318,0.260914,6.900879,
17,True,0.2999935509632868,0.29999355096350633,-0.39540373882188806,54,True,18.81,0.433122,3.804110,3.370208,0.077359,0.245506,2.183275,
18,True,0.29999999999743565,0.29999999999743665,-0.3050765116306635,26,True,9.91,0.302048,4.212986,1.757371,0.223314,0.286940,82.262341,
19,True,0.3294984711607861,0.35089795302462246,0.019524755940483307,150,True,53.09,0.447643,2.219118,2.040247,0.194004,0.175679,55.118073,
20,True,0.2983386128306375,0.2998443617395985,-0.22016528127216956,150,True,53.79,0.415545,4.380020,2.819259,0.288202,0.159584,25.518028,
21,True,0.3010129500475555,0.3075458185953389,-0.45230465934021447,150,True,42.09,0.525602,4.847397,3.149433,0.103436,0.238294,75.224640,
22,True,0.3050018089848966,0.30302723414778326,-0.6672402761974972,150,True,49.89,0.535586,2.687084,1.901514,0.249810,0.410414,70.553090,
23,True,0.30053477030941333,0.30053363421088813,-0.6540146442631496,102,True,25.95,0.599564,3.388969,4.252224,0.254244,0.320622,4.284816,
24,True,0.2999999999978041,0.29999999999780924,-0.487342760841443,33,True,11.63,0.323687,1.631070,1.444739,0.112328,0.435611,29.935164,
25,True,0.3003454443519651,0.30446018052363444,-0.4802926209156105,150,True,46.12,0.372316,1.413845,3.809958,0.120383,0.428914,15.983280,
26,True,0.3105874839470272,0.30444757721962595,-0.6469776377178744,150,True,41.93,0.486250,1.312077,1.212168,0.126928,0.388923,87.251964,
27,True,0.3223117721283236,0.29985955972073963,0.23036205885407235,150,True,28.14,0.286930,3.128345,4.407525,0.213576,0.201702,30.575246,
28,True,0.2998603037613447,0.2998602988110559,-0.18461665433088117,56,True,20.29,0.352438,2.339613,5.784847,0.204041,0.367440,33.191869,
29,True,0.32435128041719025,0.3018287963617982,0.543202987166986,150,True,33.53,0.581139,1.127345,3.594150,0.091730,0.331083,21.754176,
