Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.951600
1,0.332383,0.332383,112.491925,0.874125
2,0.333970,0.333970,122.554718,0.796650
3,0.333970,0.333970,132.020765,0.719175
4,0.333970,0.333970,140.884061,0.641700
5,0.333970,0.333970,149.054470,0.564225
6,0.333970,0.333970,156.452851,0.486750
7,0.333970,0.333970,163.011090,0.479873
8,0.162051,0.162051,156.636100,0.479872
9,0.165750,0.165750,139.204305,0.479874
10,0.194940,0.194940,116.243954,0.479873
11,0.212459,0.212459,92.592266,0.479873
12,0.219018,0.219018,71.427511,0.479873
13,0.218455,0.218455,53.862160,0.479873
14,0.217496,0.217496,52.241224,0.479873
15,0.216641,0.216641,51.399083,0.479873
16,0.213931,0.213931,51.198272,0.479873
17,0.211284,0.211284,51.121202,0.479872
18,0.208933,0.208933,51.005042,0.479873
19,0.207157,0.207157,50.803175,0.479874
20,0.205570,0.205570,50.531145,0.479873
21,0.204218,0.204218,50.220902,0.479874
22,0.202777,0.202777,49.890750,0.479873
23,0.201411,0.201411,49.650626,0.479872
24,0.200135,0.200135,49.500067,0.479872
25,0.199209,0.199209,49.432074,0.479873
26,0.198506,0.198506,49.361680,0.479872
27,0.198105,0.198105,49.297973,0.479873
28,0.197866,0.197866,49.256892,0.479874
29,0.197698,0.197698,49.202414,0.479873
30,0.197547,0.197547,49.163711,0.479872
31,0.197395,0.197395,49.127264,0.479873
32,0.197269,0.197269,49.068624,0.479873
33,0.197175,0.197175,48.979616,0.479873
34,0.197157,0.197157,48.905883,0.479873
35,0.197192,0.197192,48.883509,0.479872
36,0.197236,0.197236,48.860545,0.479874
37,0.197300,0.197300,48.835474,0.479873
38,0.197394,0.197394,48.806981,0.479873
