Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.980400
1,0.325028,0.325028,1.034539,0.901703
2,0.369750,0.369750,0.507635,0.823007
3,0.369750,0.369750,0.277031,0.744310
4,0.369750,0.369750,0.132876,0.684743
5,0.402732,0.402732,0.037153,0.642007
6,0.442370,0.441814,-0.038678,0.633170
7,0.420501,0.421248,-0.127997,0.656652
8,0.375379,0.375167,-0.206155,0.675185
9,0.364163,0.373785,-0.374595,0.696851
10,0.339132,0.354866,-0.512854,0.716669
11,0.327363,0.341687,-0.753305,0.727630
12,0.321905,0.339881,-1.072737,0.746634
13,0.312479,0.322799,-1.214270,0.757765
14,0.308313,0.315137,-1.265982,0.771504
15,0.308227,0.312055,-1.321532,0.776930
16,0.311888,0.317639,-1.356070,0.782531
17,0.320349,0.323849,-1.389362,0.785418
18,0.327565,0.327916,-1.409888,0.789064
19,0.332202,0.330205,-1.434772,0.790569
20,0.335698,0.331731,-1.458446,0.791879
21,0.338485,0.332689,-1.489542,0.791386
22,0.340477,0.333464,-1.520238,0.790844
23,0.342182,0.333372,-1.556890,0.787644
24,0.342552,0.333904,-1.585489,0.784687
25,0.343046,0.334889,-1.612975,0.780857
26,0.344558,0.336562,-1.639170,0.777923
27,0.346325,0.338704,-1.665719,0.775455
28,0.348773,0.341410,-1.692520,0.773784
29,0.351221,0.343959,-1.713202,0.772533
30,0.353095,0.346157,-1.726601,0.771768
31,0.354631,0.348016,-1.737956,0.771207
32,0.355948,0.349815,-1.748406,0.770451
33,0.357394,0.351673,-1.759113,0.769800
34,0.358418,0.352917,-1.766842,0.769437
35,0.359143,0.354339,-1.772779,0.769245
36,0.359613,0.355813,-1.777946,0.768795
37,0.359882,0.357449,-1.784184,0.768363
38,0.360094,0.358506,-1.788873,0.767964
39,0.360049,0.359617,-1.793481,0.767735
40,0.359674,0.359793,-1.793527,0.767598
41,0.359443,0.360071,-1.794108,0.767576
42,0.359348,0.360549,-1.796952,0.767706
43,0.359724,0.360990,-1.801008,0.767806
44,0.359774,0.361295,-1.803229,0.767889
45,0.359575,0.361722,-1.804133,0.767991
46,0.359337,0.362043,-1.804275,0.767976
47,0.359284,0.362356,-1.804529,0.767912
48,0.359246,0.362404,-1.804365,0.767833
49,0.359225,0.362462,-1.804178,0.767769
50,0.359200,0.362505,-1.803962,0.767672
51,0.359253,0.362599,-1.804053,0.767640
52,0.359339,0.362704,-1.804600,0.767608
53,0.359426,0.362811,-1.805181,0.767640
54,0.359342,0.362812,-1.805104,0.767672
55,0.359259,0.362816,-1.805065,0.767705
56,0.359176,0.362822,-1.805064,0.767722
57,0.359180,0.362849,-1.805324,0.767754
58,0.359191,0.362851,-1.805547,0.767754
