Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.859844
1,0.273391,0.273391,4.007993,0.716742
2,0.271453,0.271453,4.893342,0.666209
3,0.160309,0.160309,5.048322,0.666210
4,0.224740,0.224740,4.969895,0.666209
5,0.099147,0.099147,4.759206,0.666209
6,0.156295,0.156295,4.617056,0.666210
7,0.111564,0.111564,4.402113,0.666210
8,0.132119,0.132119,4.327243,0.666210
9,0.125987,0.125987,4.272862,0.666209
10,0.136974,0.136974,4.239736,0.666210
11,0.139356,0.139356,4.213746,0.666209
12,0.144080,0.144080,4.200633,0.666209
13,0.147949,0.147949,4.189754,0.666209
14,0.149856,0.149856,4.183701,0.666209
15,0.150709,0.150709,4.179949,0.666209
16,0.151341,0.151341,4.177831,0.666210
17,0.151909,0.151909,4.176709,0.666210
18,0.152185,0.152185,4.176277,0.666210
19,0.152395,0.152395,4.176159,0.666210
20,0.152620,0.152620,4.176084,0.666210
21,0.152817,0.152817,4.176034,0.666209
22,0.152981,0.152981,4.176000,0.666209
23,0.153113,0.153113,4.175975,0.666210
24,0.153219,0.153219,4.175956,0.666209
25,0.153302,0.153302,4.175944,0.666210
26,0.153372,0.153372,4.175931,0.666210
27,0.153430,0.153430,4.175922,0.666210
28,0.153479,0.153479,4.175915,0.666210
29,0.153524,0.153524,4.175907,0.666209
30,0.153563,0.153563,4.175902,0.666209
31,0.153600,0.153600,4.175894,0.666209
32,0.153599,0.153599,4.175889,0.666209
33,0.153592,0.153592,4.175888,0.666210
