sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta_second,error
0,True,-0.999999999998777,-0.9999999999995182,91.64767025880607,24,True,4.35,0.389681,2.808150,3.023567,0.210855,0.215097,48.073133,0.982591,
1,True,-0.9999999999976168,-0.9999999999987114,81.43994266914345,24,True,4.32,0.309519,3.782918,2.758269,0.080243,0.684554,46.068405,1.245149,
2,True,-0.9999999999994652,-1.0000000000001237,225.3544178173945,37,True,6.89,0.540754,4.836368,3.240903,0.091135,0.352873,19.105007,1.449461,
3,True,-0.9999999999930634,-1.0000000000013318,97.18638114253622,47,True,8.74,0.288606,1.003907,4.851146,0.051847,0.396756,28.599837,1.563746,
4,True,-0.9999997081672365,-0.9999999342347851,132.42936832362528,28,True,5.08,0.304609,1.575593,1.709206,0.275271,0.311236,25.888621,1.802030,
5,True,-0.9999999999992578,-0.9999999999999646,56.01335941869649,23,True,4.41,0.450807,3.249344,3.754049,0.189776,0.505503,40.688544,0.511155,
6,True,-0.9999999999978477,-0.9999999999994971,105.15677619901038,27,True,4.91,0.337330,4.691684,2.861290,0.176627,0.660209,59.135016,1.387834,
7,True,-0.999999999998227,-0.9999999999996988,70.4546312597402,25,True,4.81,0.384803,2.573346,3.998773,0.068442,0.672252,9.884504,0.714618,
8,True,-0.9999999999965021,-1.0000000000003348,279.5555282424274,25,True,4.62,0.487214,2.657501,4.643367,0.124046,0.238860,4.586711,1.595651,
9,True,-0.9999999999972159,-1.000000000000849,300.12886000424146,24,True,4.37,0.456467,1.182038,1.574403,0.262007,0.544934,80.907546,2.004219,
10,True,-0.9999999999984983,-1.0000000000006524,444.0303231879486,22,True,4.17,0.557139,1.345530,3.524433,0.273051,0.449028,38.155848,2.080427,
11,True,-0.9989318312389311,-0.999080575959925,22.818764412489806,25,True,4.99,0.204508,3.592396,5.202684,0.152797,0.576560,12.557939,0.688868,
12,True,-0.9999999999975053,-1.0000000000008402,290.8925121303832,26,True,5.28,0.573031,1.921327,5.546273,0.062818,0.530645,67.496866,1.223179,
13,True,-0.9999999999802274,-0.999999999985338,111.12004557536773,26,True,5.06,0.257382,2.940512,5.436496,0.130821,0.289495,82.914562,2.160823,
14,True,-0.9999999999311622,-0.999999999972436,208.6903154372332,27,True,4.95,0.371760,3.005080,2.181903,0.094169,0.228902,30.092471,1.914750,
15,True,-0.9999999999993591,-1.0000000000002431,217.43992640845843,23,True,4.32,0.577108,2.006752,2.621293,0.232530,0.268290,61.632671,1.153176,
16,True,-0.9999999999571636,-0.9999999999819846,36.08986217040383,32,True,6.01,0.275921,2.122771,4.803871,0.134528,0.604025,87.841611,0.604527,
17,True,-0.9999996452953281,-0.9999998082236349,89.25076821984476,25,True,4.73,0.324969,4.122120,4.225026,0.149296,0.409737,77.875157,1.067067,
18,True,-0.9999999999971527,-0.9999999999987936,119.24543064183433,35,True,6.86,0.355602,1.780730,5.982766,0.111770,0.497157,42.224640,1.327929,
19,True,-0.9999999999939995,-0.9999999999946949,86.49022375909838,24,True,4.71,0.248708,4.387878,5.829533,0.217012,0.425295,0.651794,1.894485,
20,True,-0.9999999999992734,-1.0000000000004032,440.0016143762714,23,True,4.04,0.593511,3.867906,1.177029,0.253569,0.592109,53.199073,2.211229,
21,True,-0.9999999999978577,-0.9999999999999163,97.33803389581945,27,True,5.31,0.419724,3.474812,5.163065,0.201448,0.551731,86.579253,0.796398,
22,True,-0.9999999998372903,-0.9999999999065335,38.42866165047876,28,True,4.97,0.225219,2.377035,2.453128,0.102838,0.471217,54.694058,0.959484,
23,True,-0.9999999999720265,-0.999999999998877,282.6265213320888,27,True,5.30,0.467787,2.302638,4.493765,0.245376,0.460485,6.510631,1.646117,
24,True,-0.9999999999991745,-1.0000000000000144,258.0399644833171,39,True,7.23,0.435771,4.872947,3.451514,0.195708,0.262401,63.191869,2.422359,
25,True,-0.9999999999994678,-1.0000000000001485,316.35855701766513,31,True,5.38,0.532735,4.008654,1.334604,0.292569,0.320857,15.327623,2.240437,
26,True,-0.994352908020863,-0.9954722655452907,105.42830555377392,23,True,4.15,0.233082,3.357876,2.037998,0.286153,0.627106,23.716600,2.450214,
27,True,-0.999999999999467,-1.0000000000001417,109.87641640249825,32,True,5.57,0.503167,4.208425,1.126505,0.165644,0.336148,71.540147,0.888049,
28,True,-0.9999999999983862,-0.9999999999997244,251.2890974676302,26,True,5.05,0.405342,4.483392,4.133928,0.172414,0.637043,33.084521,2.333284,
29,True,-0.999999999999209,-1.0000000000002478,275.0185482577392,23,True,4.27,0.518081,1.531475,1.961724,0.240568,0.372039,74.634502,1.732911,
