Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.758000
1,-1.000000,-1.000000,73.642410,0.624117
2,-1.000000,-1.000000,106.365400,0.490234
3,-1.000000,-1.000000,118.894462,0.356350
4,-1.000000,-1.000000,123.680977,0.337330
5,-1.000000,-1.000000,122.160569,0.337330
6,-1.000000,-1.000000,118.289281,0.337330
7,-1.000000,-1.000000,111.691845,0.337330
8,-1.000000,-1.000000,108.314824,0.337330
9,-1.000000,-1.000000,107.181521,0.337330
10,-1.000000,-1.000000,106.486368,0.337330
11,-1.000000,-1.000000,105.867264,0.337330
12,-1.000000,-1.000000,105.359081,0.337330
13,-1.000000,-1.000000,105.168294,0.337330
14,-1.000000,-1.000000,105.141498,0.337330
15,-1.000000,-1.000000,105.137586,0.337330
16,-1.000000,-1.000000,105.132556,0.337330
17,-1.000000,-1.000000,105.125997,0.337330
18,-1.000000,-1.000000,105.123318,0.337330
19,-1.000000,-1.000000,105.118305,0.337330
20,-1.000000,-1.000000,105.118633,0.337330
21,-1.000000,-1.000000,105.123225,0.337330
22,-1.000000,-1.000000,105.130193,0.337330
23,-1.000000,-1.000000,105.137751,0.337330
24,-1.000000,-1.000000,105.145617,0.337330
25,-1.000000,-1.000000,105.150532,0.337330
26,-1.000000,-1.000000,105.153508,0.337330
