sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,error
0,True,0.3000343808650719,0.30788111562672016,-0.35420305274575875,118,True,41.66,0.493014,4.008150,3.856900,0.144189,0.199058,48.073133,
1,True,0.29999999999959726,0.2999999999995957,-0.3528893011553081,50,True,16.53,0.253185,2.495191,1.145314,0.062913,0.356292,18.219705,
2,True,0.34545646507189504,0.3454597604779689,0.09184271017188994,150,True,53.99,0.588082,2.756965,2.259431,0.239773,0.304454,44.808548,
3,True,0.36346920836027463,0.32216725035401095,0.19668542958520463,150,True,38.17,0.505632,1.715778,5.206985,0.272046,0.290293,39.320637,
4,True,0.2999990876640277,0.29999908766395605,-0.08025104543472839,45,True,16.63,0.359622,3.774048,4.755546,0.282968,0.278457,12.950853,
5,True,0.29999999999500027,0.29999999999499144,-0.5221878803712214,82,True,27.50,0.453403,4.070999,2.612362,0.088580,0.395304,68.431586,
6,True,0.29998584183285937,0.2999858418338352,-0.21870175027322442,30,True,11.73,0.474934,4.936573,5.128848,0.261085,0.315628,84.501965,
7,True,0.36842170200314056,0.4321457349205881,0.7684171374460513,139,True,51.14,0.613996,3.625018,4.527957,0.134960,0.446125,65.135016,
8,True,0.2574325302673957,0.26280410997574044,-0.47233244688137077,115,True,41.11,0.627567,3.514700,3.300015,0.191605,0.162131,52.005447,
9,True,0.29976509510231525,0.2997650952230012,-0.04756234873127932,30,True,10.62,0.400598,4.629236,4.923514,0.170260,0.258602,11.656410,
10,True,0.3222294051742439,0.3000905994843601,-0.41306465208223175,150,True,54.73,0.641088,3.203854,5.405794,0.068625,0.213653,37.339262,
11,True,0.299999999996924,0.2999999999968989,-0.22739611556966266,42,True,13.98,0.309211,4.559473,2.494864,0.163027,0.377854,79.774414,
12,True,0.3009300452660628,0.3009786290793305,-0.32969735516257764,150,True,56.01,0.385288,1.902141,5.990283,0.230988,0.347064,73.014250,
13,True,0.34838915149141975,0.3458620164568766,-0.01962542528770153,46,True,13.94,0.562573,1.962147,1.555948,0.296613,0.401860,62.499081,
14,True,0.2832364114260899,0.29406316410378586,-0.26307452956368815,150,True,56.03,0.343031,1.254660,4.046273,0.054484,0.228387,46.496866,
15,True,0.32829576925856624,0.2986211812434071,0.42137743889120904,66,True,19.82,0.274636,2.907157,5.592307,0.155158,0.186985,58.109152,
16,True,0.3070569699226342,0.29991756174702583,-0.6818861273383855,150,True,53.52,0.551842,2.188313,2.980332,0.175318,0.260914,6.900879,
17,True,0.29998546850841057,0.2999854685108604,-0.3953704412531871,74,True,22.04,0.433122,3.804110,3.370208,0.077359,0.245506,2.183275,
18,True,0.29999999999851296,0.2999999999985136,-0.31309785107127674,28,True,9.82,0.302048,4.212986,1.757371,0.223314,0.286940,82.262341,
19,True,0.30685979799025553,0.3054369293859562,-0.4132410386404634,150,True,53.03,0.447643,2.219118,2.040247,0.194004,0.175679,55.118073,
20,True,0.3003171229137432,0.2995803888212555,-0.3570620731525962,50,True,17.63,0.415545,4.380020,2.819259,0.288202,0.159584,25.518028,
21,True,0.3001231501749251,0.30006433740383787,-0.5559222894965322,146,True,50.10,0.525602,4.847397,3.149433,0.103436,0.238294,75.224640,
22,True,0.31600504463957635,0.3068100753818982,-0.4810250830610571,79,True,25.95,0.535586,2.687084,1.901514,0.249810,0.410414,70.553090,
23,True,0.2999088063728271,0.2999080215165142,-0.6590408719997745,111,True,22.48,0.599564,3.388969,4.252224,0.254244,0.320622,4.284816,
24,True,0.30000000000626226,0.3000000000034952,-0.47148983584313553,64,True,20.61,0.323687,1.631070,1.444739,0.112328,0.435611,29.935164,
25,True,0.3006157088631045,0.3003226675185219,-0.5148604485065075,150,True,29.80,0.372316,1.413845,3.809958,0.120383,0.428914,15.983280,
26,True,0.3011179779338282,0.3034646077966223,-0.7193364593826099,150,True,35.59,0.486250,1.312077,1.212168,0.126928,0.388923,87.251964,
27,True,0.2991603155344696,0.3135420946810317,0.2080816841624113,102,True,18.76,0.286930,3.128345,4.407525,0.213576,0.201702,30.575246,
28,True,0.2999917725232403,0.2999917725744427,-0.20261346787105278,42,True,11.94,0.352438,2.339613,5.784847,0.204041,0.367440,33.191869,
29,True,0.4436553764589736,0.4289452871964346,0.7628045981233051,150,True,29.90,0.581139,1.127345,3.594150,0.091730,0.331083,21.754176,
