Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.956400
1,0.385435,0.385435,41.670613,0.779331
2,0.362284,0.362284,54.208519,0.602263
3,0.362284,0.362284,63.784807,0.425194
4,0.362284,0.362284,68.093614,0.296429
5,0.295760,0.295760,65.225553,0.296428
6,0.346717,0.346717,54.690773,0.296429
7,0.337815,0.337815,37.211727,0.296428
8,0.324349,0.324349,29.558366,0.296429
9,0.307178,0.307178,25.870057,0.296429
10,0.300042,0.300042,25.421725,0.296428
11,0.293012,0.293012,25.346777,0.296429
12,0.293397,0.293397,25.190612,0.296429
13,0.293422,0.293422,25.053380,0.296428
14,0.293567,0.293567,24.947042,0.296429
15,0.293638,0.293638,24.852881,0.296429
16,0.293732,0.293732,24.789430,0.296428
17,0.293795,0.293795,24.753979,0.296429
18,0.293822,0.293822,24.739599,0.296429
19,0.293851,0.293851,24.726651,0.296429
20,0.293890,0.293890,24.714863,0.296429
21,0.293930,0.293930,24.704521,0.296428
22,0.293945,0.293945,24.696202,0.296429
23,0.293940,0.293940,24.688392,0.296429
24,0.293919,0.293919,24.682728,0.296428
25,0.293885,0.293885,24.678950,0.296428
26,0.293842,0.293842,24.675945,0.296428
27,0.293807,0.293807,24.670837,0.296429
28,0.293774,0.293774,24.664326,0.296429
29,0.293734,0.293734,24.657389,0.296429
