sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta,error
0,True,0.3000000000174319,0.30000000001747323,-2.9633941321262562,18,True,6.95,0.529808,1.524890,2.814140,0.166513,0.299058,43.243880,0.761733,
1,True,3.127598270878096e-25,3.1275982708688905e-25,3.295114620710352e-35,10,True,4.37,0.433711,2.589751,4.454961,0.263146,0.650732,4.241043,1.000254,
2,True,3.127598270878096e-25,3.1275982708688905e-25,7.382585919804605e-33,15,True,5.82,0.348453,4.821821,1.544542,0.119681,0.311724,36.663004,1.433806,
3,True,0.30090200308838183,0.30092982287313974,-1.7660947822797637,150,True,51.42,0.237164,3.882344,5.810688,0.191108,0.638054,49.559902,0.442949,
4,True,0.508683053883827,0.5086830538838617,-2.0477621658535647,10,True,4.25,0.582766,2.145356,1.925524,0.220162,0.476742,2.933173,0.384731,
5,True,0.3000000000119234,0.3000000000118803,-1.2987165606923057,150,True,49.20,0.206484,1.949606,1.752430,0.173865,0.393302,58.613127,0.688016,
6,True,3.127598270878096e-25,3.1275982708688905e-25,1.142577903954167e-34,17,True,6.98,0.258398,1.215011,5.316774,0.095976,0.466125,19.281009,1.075620,
7,True,3.127598270878096e-25,3.1275982708688905e-25,1.0490551119027779e-34,24,True,9.51,0.294882,3.864007,4.699264,0.056065,0.673351,22.130702,1.049263,
8,True,3.127598270878096e-25,3.1275982708688905e-25,8.514912134976219e-33,16,True,6.05,0.364329,1.434501,2.586020,0.109427,0.413316,67.552027,1.414434,
9,True,0.4878421251867329,0.487842125186689,-1.9800159943581008,14,True,5.96,0.401880,3.189223,4.544642,0.052204,0.496960,73.744528,0.625519,
10,True,0.4098132336180877,0.40981325917447914,-2.1513412720630942,20,True,8.99,0.390283,4.407318,5.414660,0.088830,0.649417,46.293509,0.508954,
11,True,3.127598270878096e-25,3.1275982708688905e-25,9.593729840887087e-34,10,True,3.88,0.586705,3.115437,2.721610,0.281678,0.585936,11.134763,1.399993,
12,True,0.45385239612967826,0.4417999014283488,-1.8488126046292215,33,True,13.25,0.215818,4.112796,4.827764,0.287691,0.358387,27.898119,0.320345,
13,True,3.127598270878096e-25,3.1275982708688905e-25,6.547076928267689e-34,13,True,5.10,0.498429,4.644307,3.461898,0.163492,0.433697,42.548737,1.257896,
14,True,3.127598270878096e-25,3.1275982708688905e-25,9.743562235631786e-36,12,True,4.83,0.319056,2.923048,1.209142,0.196501,0.617341,79.255483,0.905310,
15,True,0.31753514436059355,0.36033375581676,-1.952180772139641,150,True,49.62,0.410265,3.524051,3.372776,0.094518,0.280974,78.379603,0.655143,
16,True,0.49758981266827657,0.49758981266822383,-2.0164930775168703,10,True,4.55,0.573552,3.033662,4.782323,0.065717,0.512415,76.104967,0.409630,
17,True,3.127598270878096e-25,3.1275982708688905e-25,2.053737776475685e-34,10,True,3.93,0.490982,3.353272,3.535015,0.259578,0.235842,53.925094,1.200144,
18,True,3.127598270878096e-25,3.1275982708688905e-25,1.8695592631713195e-35,13,True,5.20,0.509361,3.788438,2.089660,0.147062,0.508294,37.934784,0.958055,
19,True,3.127598270878096e-25,3.1275982708688905e-25,2.828131418761628e-33,11,True,4.78,0.517225,3.992727,4.997720,0.245207,0.245177,88.591077,1.498014,
20,True,3.127598270878096e-25,3.1275982708688905e-25,4.572455721615706e-34,10,True,4.98,0.300107,2.800743,5.606217,0.277141,0.555265,35.519444,1.300042,
21,True,3.127598270878096e-25,3.1275982708688905e-25,1.1389699673853354e-33,12,True,4.27,0.395835,2.484887,1.497839,0.180869,0.331038,41.147552,1.342703,
22,True,3.127598270878096e-25,3.1275982708688905e-25,3.074536268302285e-35,10,True,4.23,0.223131,2.226221,4.071877,0.251703,0.212730,81.416435,0.993414,
23,True,3.127598270878096e-25,3.1275982708688905e-25,1.733188580600853e-36,18,True,6.85,0.240672,4.181583,2.296259,0.132226,0.696291,68.706378,0.856602,
24,True,3.127598270878096e-25,3.1275982708688905e-25,1.4505515331948942e-35,14,True,5.58,0.525463,1.963768,3.770908,0.127425,0.457440,5.515122,0.944049,
25,True,3.127598270878096e-25,3.1275982708688905e-25,4.502901554100742e-35,14,True,5.63,0.599641,3.445192,3.800762,0.135542,0.442514,14.596574,1.022557,
26,True,3.127598270878096e-25,3.1275982708688905e-25,6.258623094204431e-32,20,True,7.78,0.555849,4.974726,4.222799,0.071692,0.326263,75.429960,1.458077,
27,True,0.3168391141305927,0.32147822827753353,-2.1106491873001154,150,True,46.87,0.445900,1.725055,2.675903,0.239386,0.261689,60.924088,0.535698,
28,True,3.127598270878096e-25,3.1275982708688905e-25,1.949160752263348e-33,13,True,4.57,0.547205,4.450035,2.380357,0.143448,0.372226,86.450712,1.367982,
29,True,3.127598270878096e-25,3.1275982708688905e-25,9.805977605506425e-35,11,True,4.32,0.430849,1.158885,2.177034,0.229341,0.403223,48.380701,1.103848,
30,True,0.4575876744393121,0.45752762340806,-1.92909577218018,64,True,23.46,0.562446,3.673511,5.180022,0.060979,0.422846,54.469829,0.728855,
31,True,3.127598270878096e-25,3.1275982708688905e-25,4.083495858316412e-34,13,True,5.13,0.479010,3.245795,3.260242,0.153495,0.595114,20.406844,1.213065,
32,True,0.4338375417233337,0.43383754172329747,-1.1882731783640588,16,True,6.51,0.485708,2.286015,5.997514,0.102224,0.343660,8.809385,0.680632,
33,True,0.30000030494785485,0.3000003049478597,-1.6742006063306183,150,True,43.32,0.276647,3.562701,1.140396,0.230335,0.601956,24.358713,0.593166,
34,True,0.4817597791266988,0.48268708666495125,-0.6601371049024,150,True,45.65,0.271857,2.671268,5.017057,0.201016,0.207674,51.244615,0.453456,
35,True,3.127598270878096e-25,3.1275982708688905e-25,6.530551255409587e-34,11,True,2.35,0.537058,4.711751,1.358743,0.243129,0.625741,61.826524,1.311180,
36,True,0.3000126769117194,0.3000126778356588,-1.101812153265478,150,True,44.75,0.380369,2.420173,5.776334,0.271270,0.481834,30.410499,0.490403,
37,True,3.127598270878096e-25,3.1275982708688905e-25,1.895516598372931e-36,14,True,2.93,0.251245,4.588306,2.917534,0.188448,0.258561,12.742253,0.824027,
38,True,3.127598270878096e-25,3.1275982708688905e-25,1.5935626635958766e-36,13,True,5.06,0.325722,1.627711,3.088451,0.219894,0.529446,86.085645,0.802719,
39,True,3.127598270878096e-25,3.1275982708688905e-25,4.528391426831421e-36,15,True,6.31,0.451271,2.865543,4.160637,0.158410,0.304955,65.024991,0.879573,
40,True,3.127598270878096e-25,3.1275982708688905e-25,3.646501439893876e-34,14,True,5.62,0.311652,2.745480,4.376326,0.123753,0.364288,83.850728,1.186818,
41,True,0.4575227289278133,0.4575227289277971,-2.1590199311105254,18,True,6.44,0.421011,1.278100,2.489833,0.110833,0.549480,63.135285,0.585621,
42,True,0.30000000126793336,0.30004941800582374,-2.429832369546245,150,True,44.72,0.337251,4.207788,3.102043,0.265990,0.562205,56.443530,0.329304,
43,True,0.35095464542154753,0.3374424211624261,-1.4765374808807554,150,True,26.48,0.374924,1.837115,3.948578,0.075712,0.225372,31.706839,0.356650,
44,True,3.127598270878096e-25,3.1275982708688905e-25,1.4535873100768893e-34,12,True,4.36,0.333868,1.068819,1.852212,0.177916,0.667674,10.138479,1.131207,
45,True,3.127598270878096e-25,3.1275982708688905e-25,1.5772042224851859e-34,11,True,3.97,0.469380,2.089643,1.031426,0.208516,0.530511,25.350574,1.152458,
46,True,0.30000000140958144,0.3000000014095707,-1.6674370618137841,12,True,4.82,0.357373,4.877165,3.615144,0.296737,0.681956,71.041100,0.548810,
47,True,3.127598270878096e-25,3.1275982708688905e-25,3.5973484581674065e-34,10,True,4.14,0.461695,4.301209,5.279760,0.291526,0.571393,17.762215,1.269255,
