Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.951600
1,0.264202,0.264202,4.603652,0.837712
2,0.284277,0.284277,3.827865,0.723823
3,0.284277,0.284277,2.773935,0.609935
4,0.284277,0.284277,1.768869,0.496047
5,0.284277,0.284277,0.946070,0.382158
6,0.284277,0.284277,0.388460,0.268270
7,0.284277,0.284277,0.101634,0.154381
8,0.284277,0.284277,0.010184,0.040493
9,0.284298,0.284298,0.000023,0.000000
10,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000,0.000000
