sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,error
0,True,0.12385587118657158,0.12385613250728957,4.3124166078366954,60,True,182.34,0.551130,3.173667,2.114242,0.067211,0.405435,
1,True,0.1362683668082662,0.1362683728998524,4.091695919169651,32,True,102.93,0.630122,2.494332,1.306418,0.193488,0.517298,
2,True,0.11006301826767295,0.11006301826777341,4.2581788889245,74,True,234.91,0.528146,4.584394,1.220684,0.094709,0.265340,
3,True,0.10334084299910067,0.10333818691281904,4.390145786912546,84,True,267.59,0.473864,3.466725,2.468085,0.078689,0.480210,
4,True,0.13304734569334814,0.13314575457943245,4.146500995560327,200,True,673.18,0.666210,3.898728,1.390879,0.166428,0.509330,
5,True,0.15924914680378777,0.15924914645294366,4.282592549880282,43,True,130.45,0.694027,4.251997,2.288686,0.149383,0.335902,
6,True,0.13152093715148036,0.13136772174990308,4.186268131081814,200,True,635.40,0.571276,2.541949,1.290225,0.128518,0.421183,
7,True,0.1379987082741603,0.13745359569935428,4.195809495007938,200,True,497.17,0.614053,2.412205,2.155729,0.053092,0.467981,
8,True,0.10928461191051567,0.10907713919220677,4.264343057152836,100,True,306.23,0.512814,3.690039,1.338992,0.172751,0.317006,
9,True,0.10840544081139432,0.10840543880090156,4.246785235356382,36,True,114.91,0.545976,3.776751,1.981350,0.215270,0.507161,
10,True,0.07999239949194405,0.07999261805939276,4.434353160698154,62,True,201.88,0.459000,4.519558,1.366392,0.107341,0.287769,
11,True,0.1191793465620292,0.11901105443680945,4.186982338693615,97,True,318.68,0.596096,3.652465,1.432938,0.229441,0.429313,
12,True,0.13556585538550528,0.13542137399379292,4.238506218505337,200,True,625.51,0.576658,2.031734,1.883043,0.154940,0.366192,
13,True,0.11358087444993221,0.11358086557607072,4.312475209509485,79,True,235.75,0.532232,2.746448,2.370881,0.093877,0.409380,
14,True,0.11761560971972113,0.11771769049013671,4.275096328685877,200,True,629.06,0.503927,2.095488,2.324398,0.057064,0.285650,
15,True,0.12248792989617804,0.12248775469514732,4.269201599560725,46,True,148.06,0.593593,4.742384,1.460143,0.219772,0.431297,
16,True,0.09791021306609213,0.09812866379454847,4.3636510622159275,144,True,458.63,0.486678,4.195617,1.695579,0.133332,0.477864,
17,True,0.15677099557486898,0.15677099557501106,4.214366675281324,200,True,569.31,0.699550,4.896658,1.916144,0.125355,0.540994,
18,True,0.12845093731086155,0.12845093731336102,4.277753750716805,50,True,158.70,0.639238,4.778221,2.186615,0.196476,0.416191,
19,True,0.14150951799589623,0.14149747914936858,4.060220240877686,73,True,230.39,0.646849,2.458291,1.117371,0.153528,0.436229,
20,True,0.12113011614932506,0.12112655955306749,4.1900897844905085,47,True,141.39,0.560457,2.678018,1.502024,0.230123,0.383327,
21,True,0.14598535504642265,0.14598535504653612,4.094632430033393,29,True,96.35,0.671416,4.853038,1.021833,0.209614,0.484584,
22,True,0.1284947335829598,0.1284947339647019,4.3816634982741975,44,True,134.96,0.582721,3.847858,2.220821,0.099683,0.398939,
23,True,0.12010121702958645,0.12010121703022819,4.2897514720875325,66,True,209.84,0.605717,4.654489,1.578416,0.248272,0.360236,
24,True,0.11214441352401376,0.11240506125364824,4.2951001963774065,138,True,422.25,0.542080,3.341009,1.537467,0.144337,0.345750,
25,True,0.14536197711306295,0.14536197712160334,4.206198971002378,64,True,203.93,0.652530,4.980208,1.775664,0.061586,0.498474,
26,True,0.1369875535068425,0.13698758924029872,4.257288461921379,51,True,160.04,0.629147,3.384493,1.672568,0.072613,0.324455,
27,True,0.11180921040526623,0.11181412704409238,4.276920579246346,157,True,494.42,0.469886,3.082486,2.035531,0.234869,0.465504,
28,True,0.10561836895977715,0.10549873302107717,4.406655890757353,188,True,588.50,0.507567,4.070558,2.081865,0.063713,0.301159,
29,True,0.11438917149236524,0.11438917158383158,4.362413812639497,63,True,201.76,0.498665,4.320106,2.394380,0.116244,0.309870,
30,True,0.12863075433354704,0.12863075433793433,4.212413029152369,44,True,144.81,0.600869,4.526230,1.805793,0.199784,0.525349,
31,True,0.0850442591398791,0.08495556418808214,4.44638184935158,200,True,591.32,0.516639,2.883126,1.640217,0.179092,0.257388,
32,True,0.1552309261410687,0.15523158559625658,4.136015547700248,50,True,158.75,0.689461,2.305039,2.073094,0.165850,0.450671,
33,True,0.06821838728688188,0.0682195106600625,4.400015881034559,155,True,472.16,0.463145,3.990213,1.035752,0.136731,0.346283,
34,True,0.09275072092439034,0.09265675666154174,4.252220686387327,200,True,611.20,0.453545,2.269097,1.262321,0.202256,0.447012,
35,True,0.12193656346633736,0.12238374988130003,4.17182879097399,200,True,368.32,0.569775,2.213894,1.600229,0.210433,0.455508,
36,True,0.14370542879492554,0.14369638149083105,4.220653592930244,57,True,180.53,0.675546,3.206393,2.304434,0.184736,0.371368,
37,True,0.14199739890968552,0.14199739547043969,4.1095851961236445,34,True,108.40,0.641692,3.297581,1.147166,0.187013,0.548425,
38,True,0.12100953073642536,0.12085679570942993,4.283698016642619,200,True,582.68,0.535316,3.065542,1.746317,0.086676,0.357080,
39,True,0.14401091446215017,0.1439867016481563,4.128942665136155,200,True,339.41,0.664104,2.804037,1.183763,0.085214,0.536138,
40,True,0.14625330390526342,0.14583506550176287,4.222116903604348,200,True,541.80,0.656113,2.901690,2.244978,0.245424,0.297916,
41,True,0.10159640603571038,0.10159849655641334,4.236730962616678,177,True,293.22,0.478852,3.012091,1.159670,0.141513,0.390962,
42,True,0.11891065185142803,0.11905187777067519,4.315241888616523,168,True,475.20,0.556529,4.125133,1.834007,0.074784,0.377708,
43,True,0.12404456711162157,0.12421424045291153,4.358153322024037,200,True,338.39,0.616305,4.392137,1.566287,0.110290,0.271615,
44,True,0.0973072649312524,0.09730692117211735,4.315758027702776,42,True,128.50,0.523495,3.530685,1.940114,0.174178,0.494281,
45,True,0.10724110219326942,0.10724110219300884,4.37850665847912,56,True,152.06,0.490376,4.458508,2.483344,0.223464,0.315365,
46,True,0.13973151040380244,0.13973942311696008,4.299751270745194,200,True,487.43,0.589298,3.594853,1.841013,0.103616,0.250402,
47,True,0.16151059951724844,0.1615106003667509,4.183960336206067,51,True,91.29,0.680978,2.631957,2.416457,0.161929,0.531345,
48,True,0.14153518324384057,0.141536587683496,4.188761897782198,200,True,459.81,0.620853,2.132191,2.013021,0.119877,0.330364,
49,True,0.13352488361762144,0.13352488361774253,4.306062024078344,50,True,87.88,0.480661,3.943814,1.077623,0.240503,0.277445,
