Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.786094
1,0.210489,0.210489,3.656052,0.744358
2,0.213251,0.213251,3.919563,0.702623
3,0.213251,0.213251,4.141536,0.660887
4,0.213251,0.213251,4.358392,0.619151
5,0.213251,0.213251,4.567434,0.614053
6,0.181304,0.181304,4.522208,0.614052
7,0.155819,0.155819,4.481626,0.614052
8,0.139403,0.139403,4.460644,0.614052
9,0.142555,0.142555,4.444732,0.614053
10,0.130086,0.130086,4.433528,0.614053
11,0.142128,0.142128,4.424510,0.614053
12,0.125151,0.125151,4.413319,0.614054
13,0.135584,0.135584,4.400926,0.614053
14,0.123537,0.123537,4.387629,0.614053
15,0.129200,0.129200,4.371509,0.614052
16,0.125664,0.125664,4.352145,0.614052
17,0.125444,0.125444,4.327888,0.614052
18,0.123676,0.123676,4.299871,0.614052
19,0.124646,0.124646,4.271189,0.614053
20,0.128385,0.128385,4.244098,0.614052
21,0.132762,0.132762,4.217962,0.614052
22,0.133972,0.133972,4.198973,0.614053
23,0.134194,0.134194,4.185044,0.614052
24,0.134552,0.134552,4.174974,0.614053
25,0.134989,0.134989,4.168300,0.614053
26,0.135457,0.135457,4.164215,0.614052
27,0.135879,0.135879,4.161503,0.614053
28,0.136224,0.136224,4.159674,0.614053
29,0.136459,0.136459,4.158289,0.614053
30,0.136580,0.136580,4.157181,0.614052
31,0.136642,0.136642,4.156348,0.614053
32,0.136576,0.136576,4.155777,0.614052
33,0.136537,0.136537,4.155344,0.614053
34,0.136504,0.136504,4.154977,0.614053
35,0.136448,0.136448,4.154679,0.614052
36,0.136372,0.136372,4.154426,0.614052
37,0.136281,0.136281,4.154203,0.614053
38,0.136179,0.136179,4.154006,0.614052
39,0.136087,0.136088,4.153895,0.614054
40,0.136036,0.136038,4.153854,0.614053
41,0.136014,0.136017,4.153907,0.614054
42,0.136014,0.136017,4.154092,0.614052
43,0.136040,0.136043,4.154445,0.614053
44,0.136095,0.136098,4.154964,0.614052
45,0.136178,0.136179,4.155712,0.614053
46,0.136271,0.136265,4.156735,0.614053
47,0.136331,0.136329,4.157899,0.614053
48,0.136388,0.136381,4.159147,0.614052
49,0.136441,0.136432,4.160516,0.614053
50,0.136506,0.136502,4.162042,0.614052
51,0.136568,0.136562,4.163646,0.614054
52,0.136635,0.136628,4.165182,0.614053
53,0.136693,0.136694,4.166458,0.614052
54,0.136775,0.136776,4.167619,0.614052
55,0.136855,0.136857,4.168707,0.614052
56,0.136945,0.136947,4.169824,0.614052
57,0.137045,0.137045,4.171073,0.614052
58,0.137161,0.137161,4.172334,0.614052
59,0.137305,0.137309,4.173637,0.614052
60,0.137484,0.137490,4.175115,0.614053
61,0.137719,0.137726,4.176829,0.614053
62,0.138028,0.138037,4.178911,0.614052
63,0.138389,0.138407,4.181231,0.614052
64,0.138774,0.138799,4.183590,0.614053
65,0.139178,0.139201,4.185940,0.614052
66,0.139595,0.139622,4.188337,0.614053
67,0.140000,0.140027,4.190476,0.614053
68,0.140362,0.140388,4.192264,0.614052
69,0.140703,0.140733,4.193831,0.614052
70,0.141024,0.141053,4.195190,0.614053
71,0.141311,0.141339,4.196369,0.614052
72,0.141576,0.141598,4.197518,0.614054
73,0.141807,0.141830,4.198519,0.614052
