sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta_second,error
0,True,-0.9999999999988571,-0.9999999999996435,90.02105273212098,24,True,4.51,0.389681,2.808150,3.023567,0.210855,0.215097,48.073133,0.982591,
1,True,-0.9999999999951915,-0.999999999998272,87.0057323895862,22,True,4.13,0.309519,3.782918,2.758269,0.080243,0.684554,46.068405,1.245149,
2,True,-0.9999999999975566,-1.0000000000003746,307.3553820076887,25,True,4.73,0.540754,4.836368,3.240903,0.091135,0.352873,19.105007,1.449461,
3,True,-0.9999999999883944,-0.9999999999976275,99.83065554159799,46,True,8.44,0.288606,1.003907,4.851146,0.051847,0.396756,28.599837,1.563746,
4,True,-0.9999999998757212,-0.9999999999844807,132.01962867950465,28,True,5.00,0.304609,1.575593,1.709206,0.275271,0.311236,25.888621,1.802030,
5,True,-0.9999999999992828,-0.99999999999996,55.92149437628493,25,True,4.72,0.450807,3.249344,3.754049,0.189776,0.505503,40.688544,0.511155,
6,True,-0.9999999999834894,-0.9999999999945246,122.59906809653013,22,True,4.07,0.337330,4.691684,2.861290,0.176627,0.660209,59.135016,1.387834,
7,True,-0.9999999999718696,-0.9999999999953822,82.9577782520123,21,True,3.97,0.384803,2.573346,3.998773,0.068442,0.672252,9.884504,0.714618,
8,True,-0.9999999999980353,-0.9999999999997136,265.665994778295,25,True,4.76,0.487214,2.657501,4.643367,0.124046,0.238860,4.586711,1.595651,
9,True,-0.9999999999985573,-1.0000000000004206,272.0832994081169,22,True,4.02,0.456467,1.182038,1.574403,0.262007,0.544934,80.907546,2.004219,
10,True,-0.9999999999993362,-1.0000000000002713,363.1787207286759,23,True,4.31,0.557139,1.345530,3.524433,0.273051,0.449028,38.155848,2.080427,
11,True,-0.9914265572567408,-0.9951089671166481,22.81876442264164,24,True,4.69,0.204508,3.592396,5.202684,0.152797,0.576560,12.557939,0.688868,
12,True,-0.9999999999992499,-1.0000000000002849,234.10035253991975,21,True,4.34,0.573031,1.921327,5.546273,0.062818,0.530645,67.496866,1.223179,
13,True,-0.9999999999454796,-0.9999999999520682,112.54911025510489,26,True,5.19,0.257382,2.940512,5.436496,0.130821,0.289495,82.914562,2.160823,
14,True,-0.9999999999967468,-0.9999999999993331,191.13783020843408,27,True,4.91,0.371760,3.005080,2.181903,0.094169,0.228902,30.092471,1.914750,
15,True,-0.9999999999994904,-1.0000000000002123,195.94656128725637,23,True,4.29,0.577108,2.006752,2.621293,0.232530,0.268290,61.632671,1.153176,
16,True,-0.9999999999749968,-0.9999999999920918,35.84394747454538,24,True,4.60,0.275921,2.122771,4.803871,0.134528,0.604025,87.841611,0.604527,
17,True,-0.999999990835479,-0.9999999959624453,89.24757617576569,25,True,4.75,0.324969,4.122120,4.225026,0.149296,0.409737,77.875157,1.067067,
18,True,-0.9999999999836572,-0.9999999999973456,130.30256790662352,35,True,6.80,0.355602,1.780730,5.982766,0.111770,0.497157,42.224640,1.327929,
19,True,-0.9999999999938195,-0.9999999999945898,86.58696499877789,24,True,4.76,0.248708,4.387878,5.829533,0.217012,0.425295,0.651794,1.894485,
20,True,-0.9999999999987484,-1.0000000000007334,510.398737608609,21,True,3.67,0.593511,3.867906,1.177029,0.253569,0.592109,53.199073,2.211229,
21,True,-0.9999999999967855,-0.9999999999994611,102.29486786230234,23,True,4.56,0.419724,3.474812,5.163065,0.201448,0.551731,86.579253,0.796398,
22,True,-0.9999999999078003,-0.9999999999410685,38.342261946562395,28,True,5.02,0.225219,2.377035,2.453128,0.102838,0.471217,54.694058,0.959484,
23,True,-0.9999999999992648,-1.0000000000000384,201.99885061872877,24,True,4.68,0.467787,2.302638,4.493765,0.245376,0.460485,6.510631,1.646117,
24,True,-0.9999999999992214,-1.0000000000000184,256.9302425899125,39,True,7.31,0.435771,4.872947,3.451514,0.195708,0.262401,63.191869,2.422359,
25,True,-0.9999999999994932,-1.0000000000000921,316.14645397887466,31,True,5.37,0.532735,4.008654,1.334604,0.292569,0.320857,15.327623,2.240437,
26,True,-0.9999999204285906,-0.9999999627242669,105.42767322044833,23,True,4.31,0.233082,3.357876,2.037998,0.286153,0.627106,23.716600,2.450214,
27,True,-0.9999999999994664,-1.000000000000129,109.86719252395059,34,True,5.91,0.503167,4.208425,1.126505,0.165644,0.336148,71.540147,0.888049,
28,True,-0.9999999999949715,-0.9999999999985468,287.0317927973253,22,True,4.27,0.405342,4.483392,4.133928,0.172414,0.637043,33.084521,2.333284,
29,True,-0.9999999999992883,-1.0000000000001852,258.6347932778765,23,True,4.25,0.518081,1.531475,1.961724,0.240568,0.372039,74.634502,1.732911,
