Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.959600
1,0.407598,0.407598,-130.654774,0.868900
2,0.370870,0.370870,-141.506539,0.778201
3,0.370870,0.370870,-154.420772,0.687501
4,0.370870,0.370870,-164.364922,0.596802
5,0.370870,0.370870,-171.659958,0.506102
6,0.370870,0.370870,-176.710116,0.415403
7,0.370870,0.370870,-179.956088,0.324703
8,0.370870,0.370870,-181.839181,0.234004
9,0.370870,0.370870,-182.774193,0.143304
10,0.370870,0.370870,-183.128357,0.052605
11,0.370870,0.370870,-183.202571,0.000000
12,0.000000,0.000000,-183.204805,0.000000
13,0.000000,0.000000,-183.204805,0.000000
14,0.000000,0.000000,-183.204805,0.000000
15,0.000000,0.000000,-183.204805,0.000000
16,0.000000,0.000000,-183.204805,0.000000
