Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.950050
1,0.289396,0.289396,52.046032,0.950050
2,0.289396,0.289396,51.661291,0.947703
3,0.289396,0.289396,48.209755,0.926109
4,0.289399,0.289399,26.353107,0.757226
5,0.288394,0.288394,12.126234,0.584121
6,0.288700,0.288700,5.779018,0.455101
7,0.252563,0.252563,2.771272,0.379240
8,0.133424,0.133424,0.998967,0.384475
9,0.133463,0.133463,0.999367,0.384464
10,0.133845,0.133845,1.003358,0.384355
11,0.137516,0.137516,1.042201,0.383305
12,0.156981,0.156981,1.257634,0.377749
13,0.109549,0.109549,0.964312,0.394619
14,0.076604,0.076604,0.629533,0.396042
15,0.057285,0.057285,0.474183,0.396386
16,0.039972,0.039972,0.324775,0.394774
17,0.030526,0.030526,0.248138,0.395609
18,0.022345,0.022345,0.185196,0.394491
19,0.018348,0.018348,0.150010,0.394465
20,0.015889,0.015889,0.182910,0.395861
21,0.017259,0.017259,0.146459,0.396165
22,0.017044,0.017044,0.136375,0.397312
23,0.017071,0.017071,0.135837,0.396839
24,0.017071,0.017071,0.135841,0.396839
25,0.017074,0.017074,0.135880,0.396838
26,0.017080,0.017080,0.135974,0.396836
27,0.015454,0.015454,0.129112,0.396522
28,0.013842,0.013842,0.129051,0.395494
29,0.014099,0.014099,0.120420,0.397499
30,0.014618,0.014618,0.117175,0.397580
31,0.015454,0.015454,0.129112,0.396522
